Stock Name,Ticker,Market Cap,Exchange,Country,Sector,Industry
Microsoft,MSFT,"$3,278,093",NASDAQ,United States,Computer and Technology,Computer Software
Apple,AAPL,"$3,267,233",NASDAQ,United States,Computer and Technology,Computers - Minicomputers
NVIDIA,NVDA,"$3,079,920",NASDAQ,United States,Computer and Technology,Semiconductor - General
Alphabet,GOOG,"$2,219,003",NASDAQ,United States,Computer and Technology,Internet Services
Alphabet,GOOGL,"$2,197,129",NASDAQ,United States,Computer and Technology,Internet Services
Amazon,AMZN,"$1,944,895",NASDAQ,United States,Retail/Wholesale,Internet Commerce
Meta Platforms,META,"$1,290,690",NASDAQ,United States,Computer and Technology,Internet Software
Taiwan Semiconductor Manufacturing,TSM,"$897,146",NYSE,Taiwan,Computer and Technology,Semiconductor - Fabrication Foundries
Berkshire Hathaway,BRK.A,"$884,480",NYSE,United States,Finance,"Property, Casualty and Title Insurance"
Berkshire Hathaway,BRK.B,"$880,978",NYSE,United States,Finance,"Property, Casualty and Title Insurance"
Eli Lilly,LLY,"$824,287",NYSE,United States,Medical,Large Cap Pharmaceutical
Broadcom,AVGO,"$693,051",NASDAQ,United States,Computer and Technology,Semiconductors
Novo Nordisk,NVO,"$642,884",NYSE,Denmark,Medical,Large Cap Pharmaceutical
Tesla,TSLA,"$565,413",NASDAQ,United States,Auto/Tires/Trucks,Auto Manufacturers - Domestic
JPMorgan Chase,JPM,"$550,011",NYSE,United States,Finance,Banks - Major Regional
Walmart,WMT,"$533,367",NYSE,United States,Retail/Wholesale,Retail - Supermarket Chains
Visa,V,"$494,399",NYSE,United States,Business Services,Financial Transaction Services
UnitedHealth Group,UNH,"$453,814",NYSE,United States,Medical,Medical - Health Maintenance Organizations
Exxon,XOM,"$437,398",NYSE,United States,Oils/Energy,Oil & Gas - International Integrated
ASML Holding,ASML,"$421,761",NASDAQ,Netherlands,Computer and Technology,Semiconductor - Wafer Fabrication Equipment
Mastercard,MA,"$411,820",NYSE,United States,Business Services,Financial Transaction Services
Procter & Gamble,PG,"$389,847",NYSE,United States,Consumer Staples,Soap and Cleaning Preparations
Oracle,ORCL,"$385,834",NYSE,United States,Computer and Technology,Computer Software
Costco,COST,"$375,864",NASDAQ,United States,Retail/Wholesale,Retail - Discount & Variety
Johnson & Johnson,JNJ,"$349,955",NYSE,United States,Medical,Large Cap Pharmaceutical
Home Depot,HD,"$341,254",NYSE,United States,Retail/Wholesale,Building Products - Retail & Wholesale
Merck,MRK,"$329,771",NYSE,United States,Medical,Large Cap Pharmaceutical
Bank Of America,BAC,"$308,201",NYSE,United States,Finance,Banks - Major Regional
AbbVie,ABBV,"$293,293",NYSE,United States,Medical,Large Cap Pharmaceutical
Chevron,CVX,"$284,222",NYSE,United States,Oils/Energy,Oil & Gas - International Integrated
Netflix,NFLX,"$280,176",NASDAQ,United States,Consumer Discretionary,Broadcasting - Radio & TV
Toyota,TM,"$277,096",NYSE,Japan,Auto/Tires/Trucks,Auto Manufacturers - Foreign
CocaCola,KO,"$270,884",NYSE,United States,Consumer Staples,Beverages - Soft Drinks
AMD,AMD,"$258,998",NASDAQ,United States,Computer and Technology,Semiconductors
AstraZeneca,AZN,"$248,255",NASDAQ,United Kingdom,Medical,Large Cap Pharmaceutical
QUALCOMM,QCOM,"$240,375",NASDAQ,United States,Computer and Technology,Wireless Equipment Manufacturers
Salesforce,CRM,"$228,490",NYSE,United States,Computer and Technology,Computer Software
PepsiCo,PEP,"$225,231",NASDAQ,United States,Consumer Staples,Beverages - Soft Drinks
Shell,SHEL,"$223,886",NYSE,United Kingdom,Oils/Energy,Oil & Gas - International Integrated
Thermo Fisher Scientific,TMO,"$219,750",NYSE,United States,Medical,Medical Instruments Manufacturing
Novartis AG,NVS,"$215,744",NYSE,Switzerland,Medical,Large Cap Pharmaceutical
Linde,LIN,"$208,695",NASDAQ,United Kingdom,Basic Materials,Chemicals - Specialty
PDD Holdings,PDD,"$207,757",NASDAQ,Ireland,Multi-Sector Conglomerates,Diversified Operations
Adobe,ADBE,"$206,022",NASDAQ,United States,Computer and Technology,Computer Software
T-Mobile US,TMUS,"$203,657",NASDAQ,United States,Computer and Technology,Wireless - National Providers
Wells Fargo,WFC,"$199,766",NYSE,United States,Finance,Banks - Major Regional
Alibaba,BABA,"$198,027",NYSE,China,Retail/Wholesale,Internet Commerce
Applied Materials,AMAT,"$196,768",NASDAQ,United States,Computer and Technology,Semiconductor - Wafer Fabrication Equipment
Danaher,DHR,"$195,993",NYSE,United States,Multi-Sector Conglomerates,Diversified Operations
Accenture,ACN,"$191,650",NYSE,Ireland,Business Services,Consulting Services
Cisco,CSCO,"$183,795",NASDAQ,United States,Computer and Technology,Computer Networks
Disney,DIS,"$183,763",NYSE,United States,Consumer Discretionary,Media Conglomerates
McDonald's,MCD,"$183,399",NYSE,United States,Retail/Wholesale,Retail - Food & Restaurants
Abbott Laboratories,ABT,"$181,583",NYSE,United States,Medical,Medical Products Manufacturing
Texas Instruments,TXN,"$181,168",NASDAQ,United States,Computer and Technology,Semiconductor - General
GE Aerospace,GE,"$176,286",NYSE,United States,Transportation,Transportation - Airlines
Verizon,VZ,"$167,402",NYSE,United States,Computer and Technology,Wireless - National Providers
Intuit,INTU,"$165,553",NASDAQ,United States,Computer and Technology,Computer Software
HSBC,HSBC,"$164,552",NYSE,United Kingdom,Finance,Banks - Foreign
ARM Holdings,ARM,"$163,033",NASDAQ,United Kingdom,Business Services,Technology Services
TotalEnergies SE,TTE,"$162,291",NYSE,France,Oils/Energy,Oil Refining & Marketing
Amgen,AMGN,"$161,510",NASDAQ,United States,Medical,Medical - Biomedical and Genetics
American Express,AXP,"$161,153",NYSE,United States,Finance,Finance - Miscellaneous Services
Caterpillar,CAT,"$160,766",NYSE,United States,Industrial Products,Construction and Mining Machinery
Philip Morris,PM,"$159,575",NYSE,United States,Consumer Staples,Tobacco Products
Pfizer,PFE,"$156,738",NYSE,United States,Medical,Large Cap Pharmaceutical
Micron Technology,MU,"$155,862",NASDAQ,United States,Computer and Technology,Semiconductor - Memory
Morgan Stanley,MS,"$155,447",NYSE,United States,Finance,Finance - Investment Banks
IBM,IBM,"$155,244",NYSE,United States,Computer and Technology,Computers - Integrated Systems
Uber Technologies,UBER,"$152,848",NYSE,United States,Computer and Technology,Internet Services
Intuitive Surgical,ISRG,"$151,847",NASDAQ,United States,Medical,Medical Instruments Manufacturing
Royal Bank Of Canada,RY,"$149,290",NYSE,Canada,Finance,Banks - Foreign
NextEra Energy,NEE,"$148,461",NYSE,United States,Utilities,Utility - Electric Power Distribution
Comcast,CMCSA,"$148,431",NASDAQ,United States,Consumer Discretionary,Cable TV Providers
ServiceNow,NOW,"$147,908",NYSE,United States,Computer and Technology,Information Technology Services
BHP Group,BHP,"$145,364",NYSE,Australia,Basic Materials,Mining - Miscellaneous
Goldman Sachs,GS,"$144,689",NYSE,United States,Finance,Finance - Investment Banks
RTX,RTX,"$141,951",NYSE,United States,Aerospace,Aerospace and Defense General
NIKE,NKE,"$141,397",NYSE,United States,Consumer Discretionary,Shoes & Related Apparel
Unilever,UL,"$140,327",NYSE,United Kingdom,Consumer Staples,Soap and Cleaning Preparations
Union Pacific,UNP,"$138,174",NYSE,United States,Transportation,Transportation - Rail
S&P Global,SPGI,"$137,754",NYSE,United States,Business Services,Business Information Services
Honeywell,HON,"$135,772",NASDAQ,United States,Multi-Sector Conglomerates,Diversified Operations
Lam Research,LRCX,"$135,661",NASDAQ,United States,Computer and Technology,Semiconductor - Wafer Fabrication Equipment
Stryker,SYK,"$131,965",NYSE,United States,Medical,Medical Products Manufacturing
