Stock Name,Ticker,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Year
Altria,MO,"$3,686",$71,"$1,215",-,$117,"$5,585","$1,652","$10,011","$20,477",$845,"$32,985","$38,570","$11,319","$25,112","$1,621","$30,741","$42,060",$935,"$31,094","$-2,673",-,"$-3,490","$38,570",2023
Altria,MO,"$4,030","$1,769","$1,180",-,$138,"$7,220","$1,608","$9,600","$17,561",$965,"$29,734","$36,954","$8,616","$25,124",$324,"$32,261","$40,877",$935,"$29,792","$-2,771",-,"$-3,923","$36,954",2022
Altria,MO,"$4,544",$47,"$1,194",-,$298,"$6,083","$1,553","$13,481","$17,483",$923,"$33,440","$39,523","$8,579","$26,939",$283,"$32,550","$41,129",$935,"$30,664","$-3,056",-,"$-1,606","$39,523",2021
Altria,MO,"$4,945",$137,"$1,966",-,$69,"$7,117","$2,012","$19,529","$17,792",$964,"$40,297","$47,414","$9,063","$27,971",$421,"$35,426","$44,489",$935,"$34,679","$-4,341",-,"$2,925","$47,414",2020
Altria,MO,"$2,117",$152,"$2,293",-,$262,"$4,824","$1,999","$23,581","$17,864","$1,003","$44,447","$49,271","$8,174","$27,042",$345,"$34,778","$42,952",$935,"$36,539","$-2,864",-,"$6,319","$49,271",2019
Altria,MO,"$1,333",$142,"$2,331",-,$326,"$4,299","$1,938","$30,496","$17,475","$1,251","$51,160","$55,459","$21,193","$11,898",$254,"$19,477","$40,670",$935,"$43,962","$-2,547",-,"$14,789","$55,459",2018
Altria,MO,"$1,253",$142,"$2,225",-,$263,"$4,344","$1,914","$17,952","$17,707","$1,285","$38,858","$43,202","$6,792","$13,030",$283,"$21,030","$27,822",$935,"$42,251","$-1,897",-,"$15,380","$43,202",2017
Altria,MO,"$4,569",$151,"$2,051",-,$220,"$7,260","$1,958","$18,880","$17,321",$513,"$38,672","$45,932","$7,375","$13,881",$465,"$25,784","$33,159",$935,"$36,906","$-2,052",-,"$12,773","$45,932",2016
Altria,MO,"$2,369",$124,"$2,031",-,$387,"$4,911","$1,982","$6,722","$17,313",$531,"$26,548","$31,459","$7,070","$12,843",$484,"$21,516","$28,586",$935,"$27,257","$-3,280",-,"$2,873","$31,459",2015
Altria,MO,"$3,321",$124,"$2,040",-,$250,"$6,878","$1,983","$7,797","$17,334",$483,"$27,597","$34,475","$7,673","$13,693",$503,"$23,792","$31,465",$935,"$26,277","$-2,682",-,"$3,010","$34,475",2014
Duke Energy,DUK,$253,"$4,131","$4,292",-,"$4,093","$12,769","$115,315",$492,"$19,303","$4,161","$163,032","$176,893","$17,283","$72,452","$24,149","$109,423","$126,706",$1,"$2,235",$-6,-,"$50,187","$176,893",2023
Duke Energy,DUK,$409,"$4,415","$3,584",-,"$4,814","$13,222","$111,748",$455,"$19,303","$9,034","$163,822","$178,086","$18,873","$65,873","$28,966","$107,360","$126,233",$1,"$2,637",$-140,-,"$51,853","$178,086",2022
Duke Energy,DUK,$341,"$3,522","$3,111",-,"$2,966","$9,940","$105,536",$457,"$19,303","$10,327","$158,511","$169,587","$15,931","$60,448","$30,065","$102,520","$118,451",$1,"$3,265",$-303,-,"$51,136","$169,587",2021
Duke Energy,DUK,$259,"$3,153","$3,167",-,"$2,103","$8,682","$106,782",$961,"$19,303","$3,601","$152,182","$162,388","$16,305","$55,625","$29,034","$96,899","$113,204",$1,"$2,471",$-237,-,"$49,184","$162,388",2020
Duke Energy,DUK,$311,"$3,060","$3,232",-,"$2,560","$9,163","$102,127","$1,936","$19,303","$3,289","$148,017","$158,838","$14,752","$54,985","$29,282","$96,135","$110,887",$1,"$4,108",$-130,-,"$47,951","$158,838",2019
