Stock Name,Ticker,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Year
Anheuser-Busch,BUD,"$10,904","$6,846","$5,583",-,-,"$23,367","$26,818","$5,094","$158,329",$12,"$195,973","$219,340","$37,156","$74,163","$3,471","$89,508","$126,664","$1,736","$42,215","$-31,155","$54,896","$92,676","$219,340",2023
Anheuser-Busch,BUD,"$10,401","$6,143","$6,612",-,-,"$23,186","$26,671","$4,891","$153,219",$11,"$189,757","$212,943","$34,383","$78,880","$3,583","$94,281","$128,665","$1,736","$38,823","$-35,553","$54,477","$84,278","$212,943",2022
Anheuser-Busch,BUD,"$13,092","$5,427","$5,399",-,-,"$23,949","$26,678","$6,083","$156,226",$5,"$193,678","$217,627","$34,184","$87,369","$4,531","$104,104","$138,287","$1,736","$33,882","$-34,577","$54,001","$79,340","$217,627",2021
Anheuser-Busch,BUD,"$16,475","$5,488","$4,482",-,-,"$26,519","$26,419","$6,418","$162,498",$6,"$199,890","$226,410","$32,352","$95,478","$7,603","$115,708","$148,059","$1,736","$30,870","$-30,841","$51,220","$78,351","$226,410",2020
Anheuser-Busch,BUD,"$7,560","$6,814","$4,427",-,-,"$28,814","$27,544","$6,103","$170,566",$14,"$207,834","$236,648","$34,841","$97,564","$6,866","$117,254","$152,095","$1,736","$31,484",-,"$24,882","$84,553","$236,648",2019
Anheuser-Busch,BUD,"$7,177","$6,832","$4,234",-,-,"$18,281","$27,615","$6,535","$178,142",$16,"$215,586","$233,868","$34,826","$106,997","$6,991","$127,153","$161,979","$1,736","$26,068",-,"$19,061","$71,889","$233,868",2018
Anheuser-Busch,BUD,"$12,234","$7,474","$4,119",-,-,"$23,960","$27,184","$5,388","$186,814",$22,"$222,166","$246,126","$36,211","$108,949","$7,639","$129,695","$165,906","$1,736","$28,394","$-14,784","$45,726","$80,220","$246,126",2017
Anheuser-Busch,BUD,"$15,209","$7,464","$3,889",-,-,"$43,017","$26,219","$4,552","$180,653",$10,"$213,569","$256,586","$40,369","$113,941","$6,148","$134,792","$175,161","$1,736","$28,214","$-15,626","$45,726","$81,425","$256,586",2016
Anheuser-Busch,BUD,"$10,246","$5,138","$2,862",-,-,"$18,294","$18,952",$555,"$94,738",$2,"$116,341","$134,635","$28,456","$43,541","$4,958","$60,460","$88,916","$1,736","$35,949",-,"$-14,110","$45,719","$134,635",2015
Anheuser-Busch,BUD,"$10,395","$5,071","$2,974",-,-,"$18,541","$20,263",$735,"$100,681",$10,"$124,009","$142,550","$27,208","$43,630","$4,754","$61,085","$88,293","$1,736","$35,174",-,"$-6,226","$54,257","$142,550",2014
Prologis,PLD,$530.388,-,-,-,-,$530.388,"$77,735.09",-,-,"$14,755.36","$92,490.45","$93,020.84","$1,766.018","$29,000.5","$4,430.601","$33,431.1","$35,197.12",$9.244,$-627.068,$-514.201,-,"$57,823.72","$93,020.84",2023
Prologis,PLD,$278.483,-,-,-,-,$278.483,"$72,587.31",-,-,"$15,031.65","$87,618.97","$87,897.45","$1,711.885","$23,875.96","$4,446.509","$28,322.47","$30,034.36",$9.231,$-457.695,$-443.609,-,"$57,863.09","$87,897.45",2022
Prologis,PLD,$556.117,-,-,-,-,$556.117,"$45,337",-,-,"$12,593.1","$57,930.1","$58,486.22","$1,252.767","$17,715.05","$1,776.189","$19,491.24","$20,744.01",$7.398,"$-1,327.828",$-878.253,-,"$37,742.21","$58,486.22",2021
Prologis,PLD,$598.086,-,-,-,-,$598.086,"$43,845.17",-,-,"$11,621.75","$55,466.92","$56,065","$1,143.372","$16,849.08","$1,747.977","$18,597.05","$19,740.43",$7.394,"$-2,394.69","$-1,193.739",-,"$36,324.58","$56,065",2020
Prologis,PLD,"$1,088.855",-,-,-,-,"$1,088.855","$29,786.75",-,-,"$8,669.913","$38,456.66","$40,031.85",$704.954,"$11,905.88",$877.601,"$12,783.48","$13,960.07",$6.318,"$-2,151.168",$-990.398,-,"$26,071.78","$40,031.85",2019
Prologis,PLD,$343.856,-,-,-,-,$343.856,"$29,930.31",-,-,"$8,143.501","$38,073.81","$38,417.66",$760.515,"$11,089.82",$766.446,"$11,856.26","$12,616.78",$6.296,"$-2,378.467","$-1,084.671",-,"$25,800.89","$38,417.66",2018
Prologis,PLD,$447.046,$34.26,-,-,-,$481.306,"$21,779.3",-,-,"$7,220.473","$28,999.77","$29,481.07",$702.804,"$9,412.631",$659.899,"$10,072.53","$10,775.33",$5.322,"$-2,904.461",$-901.658,-,"$18,705.74","$29,481.07",2017
Prologis,PLD,$807.316,$32.1,-,-,-,$839.416,"$23,360.96",-,-,"$6,049.558","$29,410.52","$30,249.93",$556.179,"$10,608.29",$627.319,"$11,235.61","$11,791.79",$5.287,"$-3,610.007",$-937.473,-,"$18,458.14","$30,249.93",2016
Prologis,PLD,$264.08,$235.05,-,-,-,$499.13,"$24,247.08",-,-,"$6,648.553","$30,895.64","$31,394.77",$712.725,"$11,626.83",$634.375,"$12,261.21","$12,973.93",$5.245,"$-3,926.483",$-791.429,-,"$18,420.84","$31,394.77",2015
Prologis,PLD,$350.692,-,-,-,-,$350.692,"$19,399.36",-,-,"$6,024.945","$25,424.31","$25,775",$627.999,"$9,336.977",$626.426,"$9,963.402","$10,591.4",$5.095,"$-3,974.493",$-600.337,-,"$15,183.6","$25,775",2014
Marsh & McLennan,MMC,"$14,152","$6,418",-,-,"$1,178","$21,748",$882,-,"$19,861","$1,590","$24,741","$48,030","$19,795","$11,844","$1,581","$15,865","$35,660",$561,"$22,759","$-5,295",-,"$12,370","$48,030",2023
Marsh & McLennan,MMC,"$12,102","$5,852",-,-,"$1,005","$18,959",$871,-,"$18,788","$1,449","$23,593","$44,114","$17,832","$11,227","$1,718","$15,533","$33,365",$561,"$20,301","$-5,314",-,"$10,749","$44,114",2022
Marsh & McLennan,MMC,"$1,752","$5,586",-,-,$926,"$8,264",$847,-,"$19,127","$1,461","$24,256","$34,388","$6,654","$10,933","$2,067","$16,512","$23,166",$561,"$18,389","$-4,575",-,"$11,222","$34,388",2021
Marsh & McLennan,MMC,"$2,089","$5,326",-,-,$740,"$8,155",$856,-,"$18,216","$1,458","$23,000","$33,049","$6,556","$10,796","$1,851","$17,233","$23,789",$561,"$16,272","$-5,110",-,"$9,260","$33,049",2020
Marsh & McLennan,MMC,"$1,155","$5,236",-,-,$677,"$7,068",$858,-,"$17,445","$1,757","$22,368","$31,357","$6,679","$10,741","$1,732","$16,735","$23,414",$561,"$15,199","$-5,055",-,"$7,943","$31,357",2019
