Stock Name,Ticker,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Year
Canadian Pacific Kansas City,CP,$343.731,"$1,397.89",$296.32,-,$185.941,"$2,223.882","$38,331.96",$394.846,"$15,336.78",$431.146,"$56,967.52","$59,191.4","$4,229.968","$14,335.22",$590.418,"$23,543.37","$27,773.33","$18,965.96","$12,163.94",$-457.814,-,"$31,418.07","$59,191.4",2023
Canadian Pacific Kansas City,CP,$346.909,$781.507,$218.453,-,$106.15,"$1,453.019","$17,218.54",$171.532,$296.911,"$35,007.06","$55,079.34","$56,532.36","$2,471.44","$13,954.06",$399.984,"$24,149.8","$26,621.24","$19,626.91","$10,154.21",$69.997,-,"$29,911.11","$56,532.36",2022
Canadian Pacific Kansas City,CP,$65.428,$653.48,$187.507,-,$172.346,"$1,078.761","$16,915.48",$166.761,$296.021,"$34,092.67","$53,319.67","$54,398.43","$2,520.566","$14,822.59",$432.462,"$24,885.7","$27,406.27","$20,326.5","$8,290.979","$-1,677.984",-,"$26,992.16","$54,398.43",2021
Canadian Pacific Kansas City,CP,$109.736,$615.863,$155.272,-,$105.257,$986.127,"$15,245.02",$148.554,$273.219,$326.967,"$16,661.13","$17,647.26","$1,980.464","$6,408.703",$436.703,"$10,203.16","$12,183.63","$1,480.309","$6,042.917","$-2,100.651",-,"$5,463.633","$17,647.26",2020
Canadian Pacific Kansas City,CP,$100.229,$606.648,$137.155,-,$67.824,$911.856,"$14,435.96",$256.978,$155.242,$339.874,"$15,943.92","$16,855.77","$1,727.251","$6,147.869",$423.523,"$9,801.322","$11,528.57","$1,501.925","$5,689.68","$-1,900.579",-,"$5,327.198","$16,855.77",2019
Canadian Pacific Kansas City,CP,$47.062,$628.773,$133.47,-,$52.462,$861.766,"$14,209.49",$156.615,$155.843,$54.777,"$15,535.7","$16,397.46","$1,508.282","$6,318.585",$182.846,"$9,769.505","$11,277.79","$1,544.543","$5,118.902","$-1,576.175",-,"$5,119.674","$16,397.46",2018
Canadian Pacific Kansas City,CP,$260.733,$529.952,$117.253,-,$74.826,$982.764,"$13,126.14",$140.395,$144.252,$53.227,"$14,549.38","$15,532.14","$1,530.458","$5,718.388",$178.193,"$9,036.18","$10,566.64","$1,567.485","$4,707.854","$-1,343.007",-,"$4,965.502","$15,532.14",2017
Canadian Pacific Kansas City,CP,$123.853,$446.323,$138.957,-,$52.864,$761.997,"$12,603.53",$146.509,$152.55,$43.046,"$13,753.7","$14,515.7","$1,017.254","$6,539.277",$214.477,"$10,004.89","$11,022.14","$1,511.91","$3,300.979","$-1,358.605",-,"$3,493.555","$14,515.7",2016
Canadian Pacific Kansas City,CP,$509.334,$505.416,$147.315,-,$42.314,"$1,204.378","$12,751.36",$119.106,$165.338,$49.366,"$14,182.98","$15,387.36","$1,133.855","$6,995.108",$249.182,"$10,495.4","$11,629.26","$1,612.628","$3,269.137","$-1,157.362",-,"$3,758.098","$15,387.36",2015
Canadian Pacific Kansas City,CP,$204.77,$636.08,$160.37,-,$155.84,"$1,157.08","$13,082.27",$101.48,$159.47,$577.18,"$13,920.4","$15,077.5","$1,278.5","$5,127.61","$1,075.54","$8,715.76","$9,994.28","$1,979.82","$5,081.4",-,"$-2,010.63","$5,083.22","$15,077.5",2014
Freeport-McMoRan,FCX,"$5,966","$1,664","$6,060",-,$375,"$14,065","$35,295",-,-,"$1,810","$38,441","$52,506","$5,815","$8,656","$6,272","$19,381","$25,196",$162,"$-2,059",$-274,-,"$27,310","$52,506",2023
Freeport-McMoRan,FCX,"$8,257","$1,795","$5,180",-,$381,"$15,613","$32,627",-,-,"$1,601","$35,480","$51,093","$6,345","$9,583","$6,025","$19,877","$26,222",$161,"$-3,907",$-320,-,"$24,871","$51,093",2022
Freeport-McMoRan,FCX,"$8,068","$1,742","$4,497",-,$523,"$14,830","$30,345",-,-,"$1,460","$33,192","$48,022","$5,892","$9,078","$5,799","$19,111","$25,003",$160,"$-7,375",$-388,-,"$23,019","$48,022",2021
Freeport-McMoRan,FCX,"$3,657","$1,412","$3,893",-,$341,"$9,303","$29,818",-,-,"$1,560","$32,841","$42,144","$3,417","$9,677","$5,974","$20,059","$23,476",$159,"$-11,681",$-583,-,"$18,668","$42,144",2020
Freeport-McMoRan,FCX,"$2,020","$1,167","$4,073",-,$655,"$7,915","$29,584",-,-,"$1,885","$32,894","$40,809","$3,209","$9,821","$6,121","$20,152","$23,361",$158,"$-12,280",$-676,-,"$17,448","$40,809",2019
Freeport-McMoRan,FCX,"$4,217","$1,322","$4,503",-,$422,"$10,464","$28,010",-,-,"$2,172","$31,752","$42,216","$3,329","$11,124","$5,839","$20,995","$24,324",$158,"$-12,041",$-605,-,"$17,892","$42,216",2018
Freeport-McMoRan,FCX,"$4,526","$1,665","$4,149",-,$286,"$10,626","$22,994",-,-,"$2,273","$26,676","$37,302","$4,914","$11,815","$5,614","$21,092","$26,006",$158,"$-14,722",$-487,-,"$11,296","$37,302",2017
Freeport-McMoRan,FCX,"$4,245","$2,005","$3,642",-,$543,"$10,435","$23,219",-,-,"$1,956","$26,882","$37,317","$4,265","$14,795","$5,232","$23,795","$28,060",$157,"$-16,540",$-548,-,"$9,257","$37,317",2016
Freeport-McMoRan,FCX,$177,"$2,129","$4,075",-,"$1,081","$7,462","$23,986",-,-,"$6,373","$39,115","$46,577","$4,307","$19,675","$6,220","$30,226","$34,533",$137,"$-12,387",$-503,-,"$12,044","$46,577",2015
Freeport-McMoRan,FCX,$464,"$2,563","$5,361",-,$657,"$9,045","$26,220",-,-,"$1,956","$49,629","$58,674","$5,172","$18,371","$5,508","$31,028","$36,200",$117,$128,$-544,-,"$22,474","$58,674",2014
CME Group,CME,"$3,023.7",$535.6,-,-,"$91,330.9","$94,890.2",$409.5,-,"$30,720.8","$3,685.6","$34,815.9","$129,706.1","$93,416.9","$3,425.4",$798.2,"$9,551.3","$102,968.2",$3.6,"$4,455.2",$-55.6,-,"$26,737.9","$129,706.1",2023
CME Group,CME,"$2,816.1",$483.2,-,-,"$135,779","$139,078.3",$455.5,-,"$30,927.5","$3,714.4","$35,097.4","$174,175.7","$137,687.5","$3,422.4",$826,"$9,609.5","$147,297",$3.6,"$4,746.8",$-133.3,-,"$26,878.7","$174,175.7",2022
CME Group,CME,"$2,949.9",$434.5,-,-,"$158,377.4","$161,761.8",$505.3,-,"$31,235.3","$3,277.9","$35,018.5","$196,780.3","$160,398.4","$2,695.7",$896.5,"$8,982.6","$169,381",$3.6,"$5,151.9",$53.5,-,"$27,399.3","$196,780.3",2021
CME Group,CME,"$1,734.1",$461.3,-,-,"$87,088.5","$89,283.9",$579.2,-,"$32,839.4","$1,957.1","$35,375.7","$124,659.6","$88,197.9","$3,443.8","$1,059.4","$10,110.2","$98,308.1",$3.6,"$4,995.9",$134.9,-,"$26,351.5","$124,659.6",2020
CME Group,CME,"$1,634.6",$491.8,-,-,"$37,441.4","$39,567.8",$544,-,"$33,035.5","$2,068","$35,647.5","$75,215.3","$38,522.5","$3,743.2","$1,155.1","$10,533.5","$49,056",$3.6,"$5,008.7",$3.4,-,"$26,159.3","$75,215.3",2019
CME Group,CME,"$1,447.4",$553.3,-,-,"$39,886","$41,886.7",$448.7,-,"$33,480.7","$1,659.6","$35,589","$77,475.7","$41,272.6","$3,826.8",$745.1,"$10,237.8","$51,510.4",$3.6,"$4,855.3",$5.3,-,"$25,965.3","$77,475.7",2018
CME Group,CME,"$1,993.7",$359.7,-,-,"$44,553.1","$46,906.5",$399.7,-,"$27,090.6","$1,394.4","$28,884.7","$75,791.2","$45,672.9","$2,233.1",$615.7,"$7,706.5","$53,379.4",$3.4,"$4,497.2",$14.3,-,"$22,411.8","$75,791.2",2017
CME Group,CME,"$1,951.9",$364.4,-,-,"$37,715.2","$40,031.5",$425.2,-,"$27,186.1","$1,726.6","$29,337.9","$69,369.4","$38,945.6","$2,231.2",$560.9,"$10,083.1","$49,028.7",$3.4,"$2,524.5",$-14.1,-,"$20,340.7","$69,369.4",2016
CME Group,CME,"$1,765.1",$357.8,-,-,"$35,781.6","$37,904.5",$491.7,-,"$27,282.2","$1,681","$29,454.9","$67,359.4","$36,824.5","$2,229.3",$395.5,"$9,983.1","$46,807.6",$3.4,"$2,907.6",$-80.8,-,"$20,551.8","$67,359.4",2015
CME Group,CME,"$1,440.8",$341.2,-,-,"$40,763.3","$42,545.3",$508.9,-,"$27,381.7","$1,805.6","$29,696.2","$72,241.5","$41,531.2","$2,107.9",$376.2,"$9,786.8","$51,318",$3.4,"$3,317.3",$6.2,-,"$20,923.5","$72,241.5",2014
Cintas,CTAS,$124.149,"$1,152.993",$506.604,$142.795,"$1,011.918","$2,938.459","$1,396.476",$247.191,"$3,402.775",$382.991,"$5,607.897","$8,546.356","$1,230.062","$2,486.405",$329.269,"$3,452.308","$4,682.37","$2,031.542","$9,597.315",$77.778,-,"$3,863.986","$8,546.356",2023
Cintas,CTAS,$90.471,"$1,027.928",$472.15,$124.728,$916.706,"$2,631.983","$1,323.673",$242.873,"$3,434.614",$344.11,"$5,515.273","$8,147.256","$1,432.89","$2,483.932",$319.397,"$3,406.17","$4,839.06","$1,771.917","$8,719.163",$107.917,-,"$3,308.196","$8,147.256",2022
Cintas,CTAS,$493.64,$923.992,$481.797,$133.776,$810.104,"$2,843.309","$1,318.438",$274.616,"$3,321.514",$310.414,"$5,393.515","$8,236.823","$1,934.085","$1,642.833",$454.637,"$2,614.891","$4,548.976","$1,516.202","$7,877.015",$30.888,-,"$3,687.847","$8,236.823",2021
Cintas,CTAS,$145.402,$870.369,$408.898,$114.619,$770.411,"$2,309.699","$1,403.065",$214.847,"$3,321.549",$260.758,"$5,360.186","$7,669.885",$885.195,"$2,539.705",$498.509,"$3,549.488","$4,434.683","$1,102.689","$7,296.509",$-153.38,-,"$3,235.202","$7,669.885",2020
Cintas,CTAS,$96.645,$917.595,$334.589,$103.318,$784.133,"$2,236.28","$1,430.685",$192.346,"$3,337.036",$240.315,"$5,200.382","$7,436.662","$1,127.733","$2,537.507",$330.522,"$3,306.208","$4,433.941",$840.328,"$6,691.236",$-39.152,-,"$3,002.721","$7,436.662",2019
Cintas,CTAS,$138.724,$824.217,$280.347,$32.383,$702.261,"$1,977.932","$1,382.73",$175.581,"$3,392.656",$29.315,"$4,980.282","$6,958.214",$775.857,"$2,535.309",$277.941,"$3,165.831","$3,941.688",$618.464,"$5,837.827",$16.343,-,"$3,016.526","$6,958.214",2018
Cintas,CTAS,$191.485,$780.328,$278.218,$30.132,$674.315,"$1,954.478","$1,323.501",$164.788,"$3,369.323",$31.967,"$4,889.579","$6,844.057","$1,130.852","$2,770.624",$170.46,"$3,410.412","$4,541.264",$485.068,"$5,170.83",$-3.029,-,"$2,302.793","$6,844.057",2017
Cintas,CTAS,$209.762,$548.2,$249.362,$25.948,$557.307,"$1,590.579",$993.692,$124.952,"$1,354.27",$35.322,"$2,508.236","$4,098.815",$815.555,"$1,044.422",$136.704,"$1,440.601","$2,256.156",$409.682,"$4,805.867",$-24.874,-,"$1,842.659","$4,098.815",2016
Cintas,CTAS,$433.154,$497.066,$226.211,$24.03,$555.346,"$1,735.807",$871.421,$329.692,"$1,238.046",$17.494,"$2,456.653","$4,192.46",$508.669,"$1,300",$112.009,"$1,751.336","$2,260.005",$329.248,"$4,227.62",$-8.471,-,"$1,932.455","$4,192.46",2015
Cintas,CTAS,$513.288,$508.427,$251.239,$26.19,$506.537,"$1,805.681",$855.702,$458.357,"$1,323.086",$19.626,"$2,656.771","$4,462.452",$630.131,"$1,300.477",$92.942,"$1,639.463","$2,269.594",$251.753,"$3,998.893",$28.428,-,"$2,192.858","$4,462.452",2014
EOG Resources,EOG,"$5,278","$2,716","$1,275",-,$666,"$9,935","$32,297",-,-,"$1,583","$33,922","$43,857","$4,074","$3,765","$2,526","$11,693","$15,767",$206,"$22,634",$-9,-,"$28,090","$43,857",2023
EOG Resources,EOG,"$5,972","$2,871","$1,058",-,$574,"$10,475","$29,429",-,-,"$1,434","$30,896","$41,371","$5,513","$3,795","$2,574","$11,079","$16,592",$206,"$18,472",$-8,-,"$24,779","$41,371",2022
EOG Resources,EOG,"$5,209","$2,335",$584,-,$456,"$8,584","$28,426",-,-,"$1,215","$29,652","$38,236","$4,042","$5,072","$2,193","$12,014","$16,056",$206,"$15,919",$-12,-,"$22,180","$38,236",2021
EOG Resources,EOG,"$3,329","$1,545",$629,-,$359,"$5,862","$28,599",-,-,"$1,342","$29,943","$35,805","$3,460","$5,035","$2,149","$12,043","$15,503",$206,"$14,170",$-12,-,"$20,302","$35,805",2020
EOG Resources,EOG,"$2,027.972","$2,153.323",$767.297,-,$324.747,"$5,273.339","$30,364.6",-,-,"$1,484.311","$31,851.27","$37,124.61","$4,486.988","$4,160.919","$1,789.884","$10,996.9","$15,483.89",$205.822,"$15,648.6",$-4.652,-,"$21,640.72","$37,124.61",2019
EOG Resources,EOG,"$1,555.634","$2,343.124",$859.359,-,$299.273,"$5,057.39","$28,075.52",-,-,$800.788,"$28,877.08","$33,934.47","$3,728.364","$5,170.169","$1,258.355","$10,841.92","$14,570.29",$205.804,"$13,543.13",$-1.358,-,"$19,364.19","$33,934.47",2018
EOG Resources,EOG,$834.228,"$1,710.851",$483.865,-,$250.164,"$3,279.108","$25,665.04",-,-,$871.427,"$26,553.97","$29,833.08","$2,725.542","$6,030.836","$1,275.213","$10,824.26","$13,549.8",$205.788,"$10,593.53",$-19.297,-,"$16,283.27","$29,833.08",2017
EOG Resources,EOG,"$1,599.895","$1,228.625",$350.017,-,$206.679,"$3,385.216","$25,707.08",-,-,$190.767,"$25,913.99","$29,299.2","$2,027.291","$6,979.779","$1,282.142","$13,290.33","$15,317.62",$205.77,"$8,398.118",$-19.01,-,"$13,981.58","$29,299.2",2016
EOG Resources,EOG,$718.506,$971.314,$598.935,-,$155.677,"$2,592.244","$24,210.72",-,-,$167.505,"$24,378.23","$26,970.47","$1,819.287","$6,648.911",$971.335,"$12,208.15","$14,027.43",$205.502,"$9,870.816",$-33.338,-,"$12,943.04","$26,970.47",2015
EOG Resources,EOG,"$2,087.213","$1,850.932",$706.597,-,$751.661,"$5,416.021","$29,172.64",-,-,$174.022,"$29,346.67","$34,762.69","$3,384.308","$5,903.354",$939.497,"$13,665.8","$17,050.11",$205.492,"$14,763.1",$-23.056,-,"$17,712.58","$34,762.69",2014
Ecolab,ECL,$919.5,"$2,834.2","$1,497.2",-,$393.2,"$5,644.1","$3,474.6",-,"$11,641.7",$532.7,"$16,202.5","$21,846.6","$4,345.8","$7,551.4",$381.8,"$9,428.6","$13,774.4",$365.7,"$10,075.4","$-1,850.4",-,"$8,072.2","$21,846.6",2023
Ecolab,ECL,$598.6,"$2,698.1","$1,792.8",-,$404.7,"$5,494.2","$3,293.4",-,"$11,693.4",$535.1,"$15,970.1","$21,464.3","$4,210.4","$8,075.3",$406.3,"$9,995.299","$14,205.7",$364.7,"$9,318.8","$-1,726.6",-,"$7,258.6","$21,464.3",2022
Ecolab,ECL,$359.9,"$2,478.4","$1,491.8",-,$357,"$4,687.1","$3,288.5",-,"$12,288",$546,"$16,519.3","$21,206.4","$3,553.2","$8,347.2",$254.1,"$10,400.1","$13,953.3",$364.1,"$8,814.5","$-1,634.8",-,"$7,253.1","$21,206.4",2021
Ecolab,ECL,"$1,260.2","$2,273.8","$1,285.2",-,$298.2,"$5,117.4","$3,124.9",-,"$8,983.9",$476,"$13,008.6","$18,126","$2,932.2","$6,669.3",$312.4,"$8,992.301","$11,924.5",$362.6,"$8,243","$-1,994.4",-,"$6,201.5","$18,126",2020
Ecolab,ECL,$118.8,"$2,382","$1,081.6",-,$295.2,"$4,828.4","$3,228.3",-,"$8,496.6",$516.3,"$16,040.7","$20,869.1","$3,630.6","$5,973.1",$269.8,"$8,512.7","$12,143.3",$359.6,"$9,993.7","$-2,089.7",-,"$8,725.8","$20,869.1",2019
Ecolab,ECL,$114.7,"$2,662.5","$1,546.4",-,$354.1,"$4,677.7","$3,836",-,"$10,875.7",$685.1,"$15,396.8","$20,074.5","$3,685.6","$6,301.6",$324.8,"$8,335.3","$12,020.9",$357,"$8,909.5","$-1,761.7",-,"$8,053.6","$20,074.5",2018
Ecolab,ECL,$211.4,"$2,571.4","$1,446.5",-,$365,"$4,594.3","$3,707.1",-,"$11,184.7",$477.4,"$15,369.2","$19,963.5","$3,475.2","$6,758.3",$415.3,"$8,834.5","$12,309.7",$354.7,"$8,011.6","$-1,643.4",-,"$7,653.8","$19,963.5",2017
Ecolab,ECL,$327.4,"$2,341.2","$1,319.4",-,$291.4,"$4,279.4","$3,365",-,"$10,200.8",$485,"$14,050.8","$18,330.2","$3,019.4","$6,145.7",$204.8,"$8,339.9","$11,359.3",$352.6,"$6,975","$-1,712.9",-,"$6,970.9","$18,330.2",2016
Ecolab,ECL,$92.8,"$2,390.2","$1,388.2",-,$326.3,"$4,447.5","$3,228.3",-,"$10,600",$365.9,"$14,194.2","$18,641.7","$4,764.4","$4,260.2",$238.4,"$6,896.9","$11,661.3",$350.3,"$6,160.3","$-1,423.3",-,"$6,980.4","$18,641.7",2015
Ecolab,ECL,$209.6,"$2,626.7","$1,466.9",-,$366.6,"$4,853","$3,050.6",-,"$11,173.8",$350,"$14,574.4","$19,427.4","$4,367.9","$4,843.4","$1,645.5","$7,677.4","$12,045.3",$347.7,"$5,555.1",$-951.9,-,"$7,382.1","$19,427.4",2014
Brookfield,BN,"$39,546","$28,512","$11,412",-,"$2,489","$81,959","$147,617","$183,276","$73,905",-,"$408,136","$490,095","$71,171","$221,550","$4,145","$250,682","$321,853","$10,879","$18,006",-,"$12,677","$168,242","$490,095",2023
Brookfield,BN,"$41,295","$27,378","$12,843",-,"$2,830","$84,346","$124,268","$162,194","$67,073",-,"$356,938","$441,284","$69,331","$202,684","$4,188","$230,062","$299,393","$10,901","$18,006",-,"$10,553","$141,891","$441,284",2022
Brookfield,BN,"$29,240","$21,760","$11,415",-,"$11,958","$74,373","$115,489","$146,965","$50,836",-,"$316,630","$391,003","$66,569","$165,057","$4,308","$189,693","$256,262","$10,538","$17,705",-,"$13,647","$134,741","$391,003",2021
Brookfield,BN,"$27,663","$18,928","$10,360",-,"$5,917","$62,868","$100,009","$138,109","$39,372",-,"$280,828","$343,696","$62,118","$139,324","$3,699","$158,936","$221,054","$7,368","$15,178",-,"$8,862","$122,642","$343,696",2020
Brookfield,BN,"$19,246","$18,469","$10,272",-,"$3,502","$51,489","$89,264","$137,384","$42,260",-,"$272,480","$323,969","$51,850","$136,292","$4,132","$155,273","$207,123","$7,305","$16,026",-,"$7,251","$116,846","$323,969",2019
Brookfield,BN,"$14,617","$16,931","$6,989",-,"$2,185","$40,722","$67,294","$117,956","$27,577",-,"$215,559","$256,281","$31,210","$111,809","$3,876","$127,921","$159,131","$4,457","$14,244",-,"$6,675","$97,150","$256,281",2018
Brookfield,BN,"$9,939","$11,973","$6,311",-,"$1,605","$29,828","$53,005","$88,864","$19,559",-,"$162,892","$192,720","$25,048","$72,730","$3,661","$87,800","$112,848","$4,428","$11,864",-,"$7,497","$79,872","$192,720",2017
Brookfield,BN,"$8,999","$9,133","$5,349",-,$432,"$23,913","$45,346","$79,149","$9,856",-,"$135,913","$159,826","$16,542","$60,391","$3,565","$73,596","$90,138","$4,390","$11,490",-,"$6,385","$69,688","$159,826",2016
Brookfield,BN,"$8,930","$7,044","$5,281",-,"$1,397","$22,652","$37,273","$70,380","$7,713",-,"$116,862","$139,514","$15,824","$54,347","$3,331","$66,463","$82,287","$4,378","$11,045",-,"$5,953","$57,227","$139,514",2015
Brookfield,BN,"$9,445","$8,845","$5,620",-,"$2,807","$26,717","$34,617","$60,999","$5,733",-,"$102,763","$129,480","$15,902","$48,693","$3,541","$60,331","$76,233","$3,031","$9,702",-,"$7,235","$53,247","$129,480",2014
Constellation Energy,CEG,$454,"$2,851","$1,500",-,"$3,494","$8,299","$22,116",$563,$425,"$2,905","$42,459","$50,758","$6,319","$10,705","$20,646","$33,153","$39,472","$12,355",$761,"$-2,191",-,"$11,286","$50,758",2023
