Stock Name,Ticker,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Year
MetLife,MET,"$20,639","$29,161",-,-,-,"$49,800",-,"$449,726","$9,236","$156,059","$637,784","$687,584","$442,256","$16,185","$197,963","$215,075","$657,331",$12,"$40,146","$-19,242",-,"$30,253","$687,584",2023
MetLife,MET,"$20,195","$17,406",-,-,-,"$37,601",-,"$436,739","$9,297","$157,343","$625,471","$663,072","$423,726","$15,363","$192,908","$209,221","$632,947",$12,"$40,332","$-22,621",-,"$30,125","$663,072",2022
MetLife,MET,"$20,047","$17,333",-,-,-,"$37,380",-,"$498,006","$9,535","$191,299","$722,328","$759,708","$426,602","$14,699","$240,965","$265,357","$691,959",$12,"$41,197","$10,919",-,"$67,749","$759,708",2021
MetLife,MET,"$19,795","$17,870",-,-,-,"$37,665",-,"$511,907","$10,112","$211,655","$757,481","$795,146","$436,035","$15,448","$257,709","$284,294","$720,329",$12,"$36,491","$18,072",-,"$74,817","$795,146",2020
MetLife,MET,"$16,598","$20,443",-,-,-,"$37,041",-,"$477,318","$9,308","$198,963","$703,422","$740,463","$410,793","$14,459","$239,369","$263,288","$674,081",$12,"$33,078","$13,052",-,"$66,382","$740,463",2019
MetLife,MET,"$15,821","$19,644",-,-,-,"$35,465",-,"$439,792","$9,422","$183,964","$652,073","$687,538","$391,522","$13,889","$223,314","$243,058","$634,580",$12,"$28,926","$1,722",-,"$52,958","$687,538",2018
MetLife,MET,"$12,701","$18,423",-,-,-,"$31,124",-,"$447,591","$9,590","$213,168","$688,768","$719,892","$382,431","$16,807","$254,706","$278,591","$661,022",$12,"$26,527","$7,427",-,"$58,870","$719,892",2017
MetLife,MET,"$12,651","$15,465",-,-,-,"$28,116",-,"$424,219","$9,220","$202,636","$870,648","$898,764","$358,562","$17,715","$447,893","$472,500","$831,062",$12,"$34,683","$5,366",-,"$67,702","$898,764",2016
MetLife,MET,"$12,752","$22,863",-,-,-,"$35,615",-,"$499,447","$9,477","$309,264","$842,318","$877,933","$414,653","$22,162","$362,030","$394,861","$809,514",$12,"$35,519","$4,771",-,"$68,419","$877,933",2015
MetLife,MET,"$10,808","$22,244",-,-,-,"$33,052",-,"$510,115","$9,872","$324,856","$869,285","$902,337","$420,434","$20,482","$376,757","$409,343","$829,777",$12,"$32,020","$10,649",-,"$72,560","$902,337",2014
