Stock Name,Ticker,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Year
Union Pacific,UNP,"$1,071","$2,073",$743,-,$261,"$4,148","$57,398","$2,605",-,"$1,338","$62,984","$67,132","$5,106","$31,156","$1,714","$47,238","$52,344","$2,782","$62,093",$-614,-,"$14,788","$67,132",2023
Union Pacific,UNP,"$1,019","$1,891",$741,-,$301,"$3,952","$56,038","$2,375",-,"$1,412","$61,497","$65,449","$5,520","$31,648","$1,785","$47,766","$53,286","$2,782","$58,887",$-582,-,"$12,163","$65,449",2022
Union Pacific,UNP,"$1,006","$1,722",$621,-,$202,"$3,551","$54,871","$2,241",-,"$1,075","$59,974","$63,525","$5,744","$27,563","$1,953","$43,620","$49,364","$2,781","$55,049",$-914,-,"$14,161","$63,525",2021
Union Pacific,UNP,"$1,859","$1,505",$638,-,$212,"$4,214","$54,161","$2,164",-,$249,"$58,184","$62,398","$4,173","$25,660","$2,077","$41,267","$45,440","$2,781","$51,326","$-1,593",-,"$16,958","$62,398",2020
Union Pacific,UNP,$891,"$1,595",$751,-,$222,"$3,459","$53,916","$2,050",-,$436,"$58,214","$61,673","$4,351","$23,943","$1,788","$39,194","$43,545","$2,780","$48,605","$-1,356",-,"$18,128","$61,673",2019
Union Pacific,UNP,"$1,333","$1,755",$742,-,$333,"$4,163","$52,679","$1,912",-,$393,"$54,984","$59,147","$4,626","$20,925","$1,871","$34,098","$38,724","$2,779","$45,284","$-1,415",-,"$20,423","$59,147",2018
Union Pacific,UNP,"$1,365","$1,493",$749,-,$399,"$4,006","$51,605","$1,809",-,$386,"$53,800","$57,806","$3,939","$16,144","$1,931","$29,011","$32,950","$2,778","$41,317","$-1,141",-,"$24,856","$57,806",2017
Union Pacific,UNP,"$1,337","$1,258",$717,-,$284,"$3,596","$50,389","$1,457",-,$276,"$52,122","$55,718","$3,640","$14,249","$1,901","$32,146","$35,786","$2,777","$32,587","$-1,272",-,"$19,932","$55,718",2016
Union Pacific,UNP,"$1,391","$1,356",$736,-,$647,"$4,130","$48,866","$1,410",-,$194,"$50,470","$54,600","$3,206","$13,607","$1,844","$30,692","$33,898","$2,776","$30,233","$-1,195",-,"$20,702","$54,600",2015
Union Pacific,UNP,"$1,586","$1,611",$712,-,$492,"$4,401","$46,272","$1,390",-,$309,"$47,971","$52,372","$3,764","$10,952","$2,064","$27,419","$31,183","$2,775","$27,367","$-1,210",-,"$21,189","$52,372",2014
S&P Global,SPGI,"$1,317","$2,826",-,"$1,000",-,"$5,143",$258,"$1,787","$52,248",$536,"$55,446","$60,589","$6,125","$11,412",$522,"$20,164","$26,289",$415,"$18,728",$-763,-,"$34,300","$60,589",2023
