Stock Name,Ticker,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Year
Netflix,NFLX,"$7,137.886",-,-,-,"$2,780.247","$9,918.133","$1,491.444",-,-,"$37,322.41","$38,813.86","$48,731.99","$8,860.655","$14,143.42","$5,139.607","$19,283.02","$28,143.68","$5,145.172","$22,589.29",$-223.945,-,"$20,588.31","$48,731.99",2023
Netflix,NFLX,"$6,058.452",-,-,-,"$3,208.021","$9,266.473","$1,398.257",-,-,"$37,930.04","$39,328.3","$48,594.77","$7,930.974","$14,353.08","$5,533.317","$19,886.39","$27,817.37","$4,637.601","$17,181.3",$-217.306,-,"$20,777.4","$48,594.77",2022
Netflix,NFLX,"$6,027.804",-,-,-,"$2,042.021","$8,069.825","$1,323.453",-,-,"$35,191.39","$36,514.84","$44,584.66","$8,488.966","$14,693.07","$5,553.377","$20,246.45","$28,735.41","$4,024.561","$12,689.37",$-40.495,-,"$15,849.25","$44,584.66",2021
Netflix,NFLX,"$8,205.55",-,-,-,"$1,556.03","$9,761.58",$960.183,-,-,"$28,558.6","$29,518.78","$39,280.36","$7,805.785","$15,809.09","$4,600.239","$20,409.33","$28,215.12","$3,447.698","$7,573.144",$44.398,-,"$11,065.24","$39,280.36",2020
Netflix,NFLX,"$5,018.437",-,-,-,"$1,160.067","$6,178.504",$565.221,-,-,"$27,231.99","$27,797.21","$33,975.71","$6,855.696","$14,759.26","$4,778.599","$19,537.86","$26,393.55","$2,793.929","$4,811.749",$-23.521,-,"$7,582.157","$33,975.71",2019
Netflix,NFLX,"$3,794.483",-,-,-,"$5,899.652","$9,694.135",$418.281,-,-,"$15,861.98","$16,280.27","$25,974.4","$6,487.32","$10,360.06","$3,888.257","$14,248.31","$20,735.63","$2,315.988","$2,942.359",$-19.582,-,"$5,238.765","$25,974.4",2018
Netflix,NFLX,"$2,822.795",-,-,-,"$4,847.179","$7,669.974",$319.404,-,-,"$11,023.36","$11,342.77","$19,012.74","$5,466.312","$6,499.432","$3,465.042","$9,964.475","$15,430.79","$1,871.396","$1,731.117",$-20.557,-,"$3,581.956","$19,012.74",2017
Netflix,NFLX,"$1,733.782",-,-,-,"$3,986.509","$5,720.291",$250.395,-,-,"$7,615.924","$7,866.319","$13,586.61","$4,586.657","$3,364.311","$2,955.842","$6,320.153","$10,906.81","$1,599.762","$1,128.603",$-48.565,-,"$2,679.8","$13,586.61",2016
Netflix,NFLX,"$2,310.715",-,-,-,"$3,121.125","$5,431.84",$173.412,-,-,"$4,597.619","$4,771.031","$10,202.87","$3,529.624","$2,371.362","$2,078.459","$4,449.821","$7,979.445","$1,324.809",$941.925,$-43.308,-,"$2,223.426","$10,202.87",2015
Netflix,NFLX,"$1,608.496",-,-,-,"$2,318.557","$3,927.053",$149.875,-,-,"$2,965.572","$3,115.447","$7,042.5","$2,663.154",$885.849,"$1,635.789","$2,521.638","$5,184.792","$1,042.87",$819.284,$-4.446,-,"$1,857.708","$7,042.5",2014
Toyota,TM,"$97,388.17","$103,248.7","$31,777.04",-,"$7,114.576","$239,528.5","$98,378.73","$117,994.6","$9,351.749","$6,997.173","$382,260.1","$621,788.6","$201,327.6","$145,972.9","$8,583.275","$177,309.6","$378,637.2","$2,739.645","$226,288",-,"$31,075.92","$243,151.4","$621,788.6",2023
