Stock Name,Ticker,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Year
Apollo Global Management,APO,"$2,130.368",$417.483,-,-,-,"$2,547.851",-,"$3,609.859",$93.911,"$1,626.635","$5,994.266","$8,542.117","$1,503.452","$2,650.6","$1,140.459","$4,000.538","$5,503.99",-,-,$-4.578,-,"$3,038.127","$8,542.117",2019
Apollo Global Management,APO,"$1,006.136",$384.9,-,-,-,"$1,391.036",-,"$2,722.612",$88.852,"$1,483.06","$4,600.618","$5,991.654","$1,133.134","$1,360.448","$1,046.232","$2,406.68","$3,539.814",-,$-473.276,$-4.159,-,"$2,451.84","$5,991.654",2018
Apollo Global Management,APO,"$1,119.797",$305.764,-,-,-,"$1,425.561",-,"$3,559.834",$107.694,"$1,560.343","$5,565.509","$6,991.07","$1,439.782","$1,362.402","$1,291.09","$2,653.492","$4,093.274",-,$-379.46,$-1.809,-,"$2,897.796","$6,991.07",2017
Apollo Global Management,APO,$818.344,"$1,511.958",-,-,-,"$2,330.302",-,"$1,494.744",$111.573,"$1,120.671","$3,299.251","$5,629.553","$1,473.386","$1,352.447",$936.192,"$2,288.639","$3,762.025",-,$-986.186,$-8.723,-,"$1,867.528","$5,629.553",2016
Apollo Global Management,APO,$623.022,$891.742,-,-,-,"$1,514.764",-,"$1,154.749",$117.472,"$1,126.616","$3,045.044","$4,559.808","$1,214.933","$1,025.255",$930.639,"$1,955.894","$3,170.827",-,"$-1,348.384",$-7.62,-,"$1,388.981","$4,559.808",2015
Apollo Global Management,APO,"$1,212.016","$1,179.681",-,-,-,"$2,391.697",-,"$2,880.006",$109.282,"$17,185.09","$20,781.09","$23,172.79","$1,303.143","$1,027.965","$14,898.22","$15,926.18","$17,229.33",-,"$-1,400.661",$-0.306,$933.166,"$5,943.461","$23,172.79",2014
PayPal Holdings,PYPL,"$14,060","$40,004",-,"$2,509",-,"$62,569","$1,488","$3,273","$11,563","$3,273","$19,597","$82,166","$48,466","$9,676","$2,973","$12,649","$61,115",-,"$23,200",$-746,-,"$21,051","$82,166",2023
PayPal Holdings,PYPL,"$10,868","$37,227",-,"$1,898",-,"$57,424","$1,730","$5,018","$11,997","$2,455","$21,200","$78,624","$45,008","$10,417","$2,925","$13,342","$58,350",-,"$18,954",$-928,-,"$20,274","$78,624",2022
PayPal Holdings,PYPL,"$9,500","$36,941",-,"$1,287",-,"$52,574","$1,909","$6,797","$12,786","$1,737","$23,229","$75,803","$43,029","$8,049",-,"$11,047","$54,076",-,"$16,535",$-136,-,"$21,727","$75,803",2021
PayPal Holdings,PYPL,"$13,083","$33,995",-,"$1,148",-,"$50,995","$1,807","$6,089","$10,183","$1,305","$19,384","$70,379","$38,447","$8,939",-,"$11,869","$50,316",-,"$12,366",$-484,-,"$20,063","$70,379",2020
PayPal Holdings,PYPL,"$10,761","$22,962",-,$800,-,"$38,495","$1,693","$2,863","$6,990","$1,292","$12,838","$51,333","$26,919","$4,965",-,"$7,485","$34,404",-,"$8,342",$-173,-,"$16,929","$51,333",2019
PayPal Holdings,PYPL,"$9,109","$20,375",-,$947,-,"$32,963","$1,724",$971,"$7,109",$565,"$10,369","$43,332","$25,904",-,-,"$2,042","$27,946",-,"$5,880",$78,-,"$15,386","$43,332",2018
PayPal Holdings,PYPL,"$5,695","$18,525",-,$713,-,"$32,645","$1,528","$1,961","$4,507",$133,"$8,129","$40,774","$22,863",-,-,"$1,917","$24,780",-,"$3,823",$-142,-,"$15,994","$40,774",2017
PayPal Holdings,PYPL,"$4,975","$14,577",-,$833,-,"$25,733","$1,482","$1,539","$4,270",$79,"$7,370","$33,103","$16,878",-,-,"$1,513","$18,391",-,"$2,069",$59,-,"$14,712","$33,103",2016
PayPal Holdings,PYPL,"$3,411","$12,398",-,$655,-,"$20,648","$1,344","$2,348","$4,427",$114,"$8,233","$28,881","$13,617",-,-,"$1,505","$15,122",-,$668,$-9,-,"$13,759","$28,881",2015
PayPal Holdings,PYPL,"$2,230","$10,677",-,$378,-,"$17,565",$922,$31,"$3,345",$54,"$4,352","$21,917","$13,283",-,-,$386,"$13,669",-,-,$110,"$8,138","$8,248","$21,917",2014
Aon,AON,$778,"$3,254",-,-,-,"$4,032",$638,$369,"$8,648","$18,427","$29,277","$33,959","$3,466","$9,995","$20,484","$30,594","$34,701",$2,"$-3,399","$-4,373",-,$-742,"$33,959",2023
Aon,AON,$690,"$3,035",-,-,-,"$3,725",$558,$452,"$8,739","$17,707","$28,280","$32,704","$3,059","$9,825","$19,457","$29,381","$33,133",$2,"$-2,772","$-4,623",-,$-429,"$32,704",2022
Aon,AON,$544,"$3,094",-,-,-,"$3,638",$529,$292,"$8,926","$16,980","$27,493","$31,917","$3,356","$8,228","$18,002","$26,631","$30,759",$2,"$-1,694","$-3,871",-,"$1,158","$31,917",2021
Aon,AON,$884,"$3,070",-,-,-,"$3,954",$599,$308,"$9,306","$16,312","$27,249","$32,114","$2,464","$7,281","$17,627","$25,170","$28,531",$2,"$1,042","$-3,861",-,"$3,583","$32,114",2020
Aon,AON,$790,"$3,112",-,-,-,"$3,902",$621,$138,"$8,948","$14,222","$24,574","$29,405","$2,651","$6,627","$15,535","$22,361","$25,956",$2,"$1,254","$-4,033",-,"$3,449","$29,405",2019
Aon,AON,$656,"$2,760",-,-,-,"$3,416",$588,$172,"$9,320","$12,365","$23,006","$26,422","$2,194","$5,993","$13,835","$20,009","$22,203",$2,"$2,093","$-3,909",-,"$4,219","$26,422",2018
Aon,AON,$756,"$2,478",-,-,-,"$3,234",$564,$529,"$10,091","$11,281","$22,854","$26,088","$2,260","$5,667","$13,386","$19,180","$21,440",$2,"$2,302","$-3,496",-,"$4,648","$26,088",2017
Aon,AON,$426,"$2,106",-,-,-,"$2,532",$550,$290,"$9,300","$10,424","$24,083","$26,615","$1,940","$5,869","$12,094","$19,143","$21,083",$3,"$3,807","$-3,912",-,"$5,532","$26,615",2016
Aon,AON,$384,"$2,564",-,-,-,"$2,948",$765,$356,"$10,628","$11,886","$23,935","$26,883","$2,334","$5,138","$13,315","$18,490","$20,824",$3,"$4,013","$-3,423",-,"$6,059","$26,883",2015
Aon,AON,$374,"$2,815",-,-,-,"$3,189",$765,$394,"$11,380","$13,900","$26,583","$29,772","$2,588","$4,799","$15,441","$20,553","$23,141",$3,"$4,605","$-3,134",-,"$6,631","$29,772",2014
CSX,CSX,"$1,436","$1,393",$446,-,$109,"$3,384","$34,935",-,$506,"$3,085","$39,024","$42,408","$3,224","$17,975",$839,"$27,051","$30,275","$1,959","$9,790",$-312,-,"$12,133","$42,408",2023
CSX,CSX,"$2,087","$1,313",$341,-,$108,"$3,849","$34,242",-,$502,"$2,814","$38,063","$41,912","$2,471","$17,896",$863,"$26,816","$29,287","$2,066","$10,363",$-388,-,"$12,625","$41,912",2022
CSX,CSX,"$2,316","$1,148",$339,-,$70,"$3,873","$33,015",-,$451,"$2,691","$36,658","$40,531","$2,233","$16,185",$752,"$24,798","$27,031","$2,202","$11,630",$-408,-,"$13,500","$40,531",2021
CSX,CSX,"$3,131",$912,$302,-,$96,"$4,441","$32,444",-,$63,"$2,373","$35,352","$39,793","$2,019","$16,304",$737,"$24,664","$26,683","$2,288","$11,259",$-598,-,"$13,110","$39,793",2020
CSX,CSX,"$1,954",$986,$261,-,$77,"$3,278","$32,168",-,-,"$2,279","$34,979","$38,257","$2,151","$15,993",$796,"$24,243","$26,394",$773,"$11,404",$-675,-,"$11,863","$38,257",2019
CSX,CSX,"$1,111","$1,010",$263,-,$181,"$2,565","$31,998",$943,-,"$1,223","$34,164","$36,729","$1,915","$14,739",$805,"$22,234","$24,149",$818,"$12,157",$-661,-,"$12,580","$36,729",2018
CSX,CSX,$419,$970,$372,-,$154,"$1,915","$31,764",$907,-,"$1,153","$33,824","$35,739","$1,894","$11,790",$916,"$19,124","$21,018",$890,"$14,084",$-486,-,"$14,721","$35,739",2017
CSX,CSX,"$1,020",$938,$407,-,$122,"$2,487","$31,150",$840,-,$937,"$32,927","$35,414","$2,040","$10,962","$1,122","$21,680","$23,720",$928,"$11,253",$-640,-,"$11,694","$35,414",2016
CSX,CSX,"$1,438",$982,$350,-,$70,"$2,840","$30,174",$803,-,$928,"$31,905","$34,745","$1,952","$10,515","$1,431","$21,125","$23,077",$966,"$11,238",$-665,-,"$11,668","$34,745",2015
CSX,CSX,$961,"$1,129",$273,-,$68,"$2,572","$28,584",$779,-,"$1,118","$30,481","$33,053","$2,107","$9,514","$1,398","$19,770","$21,877",$992,"$10,734",$-666,-,"$11,176","$33,053",2014
Schlumberger,SLB,"$3,989","$7,812","$4,387",-,"$1,530","$17,718","$7,240","$1,624","$17,323","$4,052","$30,239","$47,957","$13,395","$10,842","$2,046","$13,203","$26,598","$11,624","$13,497","$-4,254",-,"$21,359","$47,957",2023
Schlumberger,SLB,"$2,894","$6,766","$3,999",-,"$1,344","$15,003","$6,607","$1,581","$15,974","$3,970","$28,132","$43,135","$12,018","$10,594","$2,308","$13,128","$25,146","$11,837","$10,719","$-3,855",-,"$17,989","$43,135",2022
Schlumberger,SLB,"$3,139","$5,315","$3,272",-,$928,"$12,654","$6,429","$2,044","$16,201","$4,183","$28,857","$41,511","$10,359","$13,286","$2,255","$15,866","$26,225","$12,608","$8,199","$-3,570",-,"$15,286","$41,511",2021
Schlumberger,SLB,"$3,006","$5,247","$3,354",-,"$1,312","$12,919","$6,826","$2,061","$16,435","$4,193","$29,515","$42,434","$10,491","$16,036","$2,350","$19,454","$29,945","$12,970","$7,018","$-4,884",-,"$12,489","$42,434",2020
