Stock Name,Ticker,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Year
Novartis AG,NVS,"$14,428","$7,533","$5,913",-,"$2,607","$30,481","$9,514","$2,812","$50,220","$1,199","$69,464","$99,945","$26,390","$18,436","$4,523","$26,805","$53,195",$825,"$45,883",-,-,"$46,750","$99,945",2023
Novartis AG,NVS,"$18,930","$8,334","$7,175",-,"$2,471","$36,910","$10,764","$2,554","$60,945","$1,110","$80,543","$117,453","$28,656","$20,244","$4,906","$29,374","$58,030",$890,"$58,544",-,-,"$59,423","$117,453",2022
Novartis AG,NVS,"$28,329","$8,283","$6,666",-,"$2,440","$45,718","$11,545","$3,241","$63,777","$2,210","$86,077","$131,795","$30,208","$22,902","$6,172","$33,765","$63,973",$901,"$66,802",-,-,"$67,822","$131,795",2021
Novartis AG,NVS,"$11,563","$8,456","$7,131",-,"$2,523","$29,673","$12,263","$12,533","$66,808",$892,"$98,105","$127,778","$33,059","$26,259","$6,934","$38,053","$71,112",$913,"$55,738",-,-,"$56,666","$127,778",2020
Novartis AG,NVS,"$11,446","$8,555","$5,982",-,"$3,521","$29,504","$12,069","$8,644","$55,311","$3,256","$88,866","$118,370","$28,264","$20,353","$6,632","$34,555","$62,819",$936,"$54,618",-,-,"$55,551","$118,370",2019
Novartis AG,NVS,"$15,964","$8,975","$6,956",-,"$3,668","$35,563","$15,696","$10,697","$74,013",$895,"$110,000","$145,563","$29,607","$22,470","$7,319","$37,264","$66,871",$944,"$77,739",-,-,"$78,692","$145,563",2018
Novartis AG,NVS,"$9,485","$8,802","$6,867",-,"$3,054","$28,208","$16,464","$17,613","$61,747",$818,"$104,871","$133,079","$23,403","$23,224","$7,057","$35,449","$58,852",$969,"$73,299",-,"$-4,340","$74,227","$133,079",2017
Novartis AG,NVS,"$7,777","$8,358","$6,255",-,"$2,541","$24,931","$15,641","$16,500","$62,320",$698,"$105,193","$130,124","$22,209","$17,897","$8,470","$33,024","$55,233",$972,"$73,936",-,"$-7,212","$74,891","$130,124",2016
Novartis AG,NVS,"$5,447","$8,180","$6,226",-,"$2,992","$22,845","$15,982","$17,780","$65,391",$601,"$108,711","$131,556","$23,708","$16,327","$8,044","$30,726","$54,434",$991,"$76,156",-,"$-4,223","$77,122","$131,556",2015
Novartis AG,NVS,"$13,862","$8,275","$6,093",-,"$2,530","$37,561","$15,983","$10,152","$53,143",$554,"$87,826","$125,387","$26,973","$13,799","$7,672","$27,570","$54,543","$1,001","$69,868",-,-,"$70,844","$125,387",2014
