Stock Name,Ticker,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Year
Microsoft,MSFT,"$111,262","$48,688","$2,500",-,"$21,807","$184,257","$95,641","$9,879","$77,252","$30,601","$227,719","$411,976","$104,149","$41,990","$43,541","$101,604","$205,753","$93,718","$118,848","$-6,343",-,"$206,223","$411,976",2023
Microsoft,MSFT,"$104,757","$44,261","$3,742",-,"$16,924","$169,684","$74,398","$6,891","$78,822","$21,897","$195,156","$364,840","$95,082","$47,032","$41,595","$103,216","$198,298","$86,939","$84,281","$-4,678",-,"$166,542","$364,840",2022
Microsoft,MSFT,"$130,334","$38,043","$2,636",-,"$13,393","$184,406","$59,715","$5,984","$57,511","$15,075","$149,373","$333,779","$88,657","$50,074","$40,617","$103,134","$191,791","$83,111","$57,055","$1,822",-,"$141,988","$333,779",2021
Microsoft,MSFT,"$136,527","$32,011","$1,895",-,"$11,482","$181,915","$44,151","$2,965","$50,389","$13,138","$119,396","$301,311","$72,310","$59,578","$40,064","$110,697","$183,007","$80,552","$34,566","$3,186",-,"$118,304","$301,311",2020
Microsoft,MSFT,"$133,819","$29,524","$2,063",-,"$10,146","$175,552","$36,477","$2,649","$49,776","$14,723","$111,004","$286,556","$69,420","$66,662","$37,193","$114,806","$184,226","$78,520","$24,150",$-340,-,"$102,330","$286,556",2019
Microsoft,MSFT,"$133,768","$26,481","$2,662",-,"$6,751","$169,662","$29,460","$1,862","$43,736","$7,442","$89,186","$258,848","$58,488","$72,242","$35,476","$117,642","$176,130","$71,223","$13,682","$-2,187",-,"$82,718","$258,848",2018
Microsoft,MSFT,"$132,981","$22,431","$2,181",-,"$5,103","$162,696","$23,734","$6,023","$45,228","$6,076","$87,616","$250,312","$55,745","$76,073","$17,034","$106,856","$162,601","$69,315","$17,769",$627,-,"$87,711","$250,312",2017
Microsoft,MSFT,"$113,240","$18,277","$2,251",-,"$5,892","$139,660","$18,356","$10,431","$21,605","$3,416","$53,808","$193,468","$59,357","$40,557","$13,640","$62,114","$121,471","$68,178","$2,282","$1,537",-,"$71,997","$193,468",2016
Microsoft,MSFT,"$96,526","$17,908","$2,902",-,"$5,461","$122,797","$14,731","$12,053","$21,774","$3,117","$51,675","$174,472","$49,647","$27,808","$13,544","$44,742","$94,389","$68,465","$9,096","$2,522",-,"$80,083","$174,472",2015
Microsoft,MSFT,"$85,709","$19,544","$2,660",-,"$4,392","$114,246","$13,011","$14,597","$27,108","$3,422","$58,138","$172,384","$45,625","$20,645","$11,594","$36,975","$82,600","$68,366","$17,710","$3,708",-,"$89,784","$172,384",2014
Apple,AAPL,"$61,555","$60,985","$6,331",-,"$14,695","$143,566","$43,715","$100,544",-,"$64,758","$209,017","$352,583","$145,308","$95,281","$49,848","$145,129","$290,437","$73,812",$-214,"$-11,452",-,"$62,146","$352,583",2023
