Stock Name,Ticker,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Year
Carrier Global,CARR,"$10,015","$2,481","$2,217",-,$753,"$18,780","$2,293","$1,140","$9,017",$330,"$14,042","$32,822","$6,891","$14,242","$1,603","$16,926","$23,817",$9,"$6,591","$-1,486",-,"$9,005","$32,822",2023
Carrier Global,CARR,"$3,520","$2,833","$2,640",-,$886,"$9,879","$2,241","$1,148","$11,319",$219,"$16,207","$26,086","$6,032","$8,702","$1,830","$11,978","$18,010",$9,"$5,866","$-1,688",-,"$8,076","$26,086",2022
Carrier Global,CARR,"$2,987","$2,403","$1,970",-,$879,"$11,407","$1,826","$1,593","$9,858",$242,"$14,765","$26,172","$6,627","$9,513","$1,677","$12,451","$19,078",$9,"$2,865",$-989,-,"$7,094","$26,172",2021
Carrier Global,CARR,"$3,115","$2,781","$1,629",-,$999,"$8,524","$1,810","$1,513","$11,176",$279,"$16,569","$25,093","$5,110","$10,036","$1,724","$13,405","$18,515",$9,"$1,643",$-745,-,"$6,578","$25,093",2020
Carrier Global,CARR,$952,"$2,726","$1,332",-,$949,"$5,959","$1,663","$1,739","$10,967",$256,"$16,447","$22,406","$4,469",$82,"$1,183","$3,502","$7,971",-,-,"$-1,253","$15,355","$14,435","$22,406",2019
Carrier Global,CARR,"$1,129","$2,673","$1,363",-,$944,"$6,109","$1,653","$1,770","$11,063",$303,"$15,628","$21,737","$4,466",-,"$1,303","$3,002","$7,468",-,-,"$-1,215","$15,132","$14,269","$21,737",2018
Carrier Global,CARR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2017
Carrier Global,CARR,,,,,,,,,,,,,,,,,,,,,,,,2016
Carrier Global,CARR,,,,,,,,,,,,,,,,,,,,,,,,2015
Carrier Global,CARR,,,,,,,,,,,,,,,,,,,,,,,,2014
Phillips 66,PSX,"$3,323","$11,730","$3,750","$1,138",-,"$19,941","$35,712","$15,302","$2,470","$2,076","$55,560","$75,501","$15,856","$17,877","$2,064","$27,995","$43,851",$7,"$30,550",$-282,-,"$31,650","$75,501",2023
Phillips 66,PSX,"$6,133","$10,985","$3,276","$1,528",-,"$21,922","$35,163","$14,950","$2,317","$2,090","$54,520","$76,442","$15,889","$16,661","$2,178","$26,447","$42,336",$7,"$25,432",$-460,-,"$34,106","$76,442",2022
Phillips 66,PSX,"$3,147","$7,470","$3,394",$686,-,"$14,697","$22,435","$14,471","$2,297","$1,694","$40,897","$55,594","$12,801","$12,959","$1,667","$21,156","$33,957",$7,"$16,216",$-445,-,"$21,637","$55,594",2021
Phillips 66,PSX,"$2,514","$6,522","$3,893",$347,-,"$13,276","$23,716","$13,624","$2,268","$1,837","$41,445","$54,721","$9,518","$14,906","$1,789","$23,680","$33,198",$6,"$16,500",$-789,-,"$21,523","$54,721",2020
Phillips 66,PSX,"$1,614","$8,510","$3,776",$495,-,"$14,395","$23,786","$14,571","$4,139","$1,829","$44,325","$58,720","$11,646","$11,216","$2,092","$19,905","$31,551",$6,"$22,064",$-788,-,"$27,169","$58,720",2019
Phillips 66,PSX,"$3,019","$6,173","$3,543",$474,-,"$13,209","$22,018","$14,421","$4,139",$515,"$41,093","$54,302","$8,935","$11,093",$979,"$18,214","$27,149",$6,"$20,489",$-692,-,"$27,153","$54,302",2018
Phillips 66,PSX,"$3,119","$7,506","$3,395",$370,-,"$14,390","$21,460","$13,941","$4,146",$434,"$39,981","$54,371","$10,107","$10,069",$875,"$16,836","$26,943",$6,"$16,306",$-617,-,"$27,428","$54,371",2017
Phillips 66,PSX,"$2,711","$6,397","$3,150",$422,-,"$12,680","$20,855","$13,534","$4,158",$426,"$38,973","$51,653","$9,463","$9,588",$918,"$18,465","$27,928",$6,"$12,608",$-995,-,"$23,725","$51,653",2016
Phillips 66,PSX,"$3,074","$5,173","$3,477",$532,-,"$12,256","$19,721","$12,143","$4,181",$279,"$36,324","$48,580","$7,531","$8,843",$942,"$17,111","$24,642",$6,"$12,348",$-653,-,"$23,938","$48,580",2015
Phillips 66,PSX,"$5,207","$7,255","$3,397",$833,-,"$16,692","$17,346","$10,189","$4,174",$291,"$32,000","$48,692","$11,094","$7,793",$972,"$15,561","$26,655",$6,"$9,309",$-531,-,"$22,037","$48,692",2014
Moderna,MRNA,"$8,604",$892,$202,$627,-,"$10,325","$1,945","$4,677",-,$685,"$8,101","$18,426","$3,015",$575,$256,"$1,557","$4,572",-,"$13,606",$-123,-,"$13,854","$18,426",2023
Moderna,MRNA,"$9,902","$1,385",$949,"$1,195",-,"$13,431","$2,018","$8,318",-,$988,"$12,427","$25,858","$4,923",$912,$135,"$1,812","$6,735",-,"$18,320",$-370,-,"$19,123","$25,858",2022
Moderna,MRNA,"$10,727","$3,175","$1,441",$728,-,"$16,071","$1,241","$6,843",-,$46,"$8,598","$24,669","$9,128",$599,$76,"$1,396","$10,524",-,"$9,958",$-24,-,"$14,145","$24,669",2021
Moderna,MRNA,"$4,608","$1,391",$47,$252,-,"$6,298",$297,$639,-,$13,"$1,039","$7,337","$4,389",$110,$3,$387,"$4,776",-,"$-2,244",$3,-,"$2,561","$7,337",2020
Moderna,MRNA,"$1,104.032",$5.369,-,$19.403,-,"$1,128.804",$201.495,$159.987,-,$12.722,$460.618,"$1,589.422",$143.115,$38.689,$0.138,$271.497,$414.612,$0.034,"$-1,496.454",$1.804,-,"$1,174.81","$1,589.422",2019
Moderna,MRNA,"$1,522.022",$12.585,-,$28.399,-,"$1,563.006",$211.977,$172.99,-,$14.176,$399.143,"$1,962.149",$222.803,-,$33.747,$209.105,$431.908,$0.033,"$-1,006.627",$-1.32,-,"$1,530.241","$1,962.149",2018
Moderna,MRNA,$756.98,$13.417,-,$12.826,-,$783.223,$139.031,$145.851,-,$16.384,$301.266,"$1,084.489",$191.461,-,$17.217,"$1,444.393","$1,635.854",$0.006,$-621.893,$-1.157,-,$-551.365,"$1,084.489",2017
Moderna,MRNA,"$1,058.138",$13.523,-,$15.491,-,"$1,087.152",$81.207,$236.569,-,$12.233,$330.009,"$1,417.161",$162.802,-,$13.604,"$1,589.169","$1,751.971",$0.006,$-365.718,$-0.403,-,$-334.81,"$1,417.161",2016
Moderna,MRNA,,,,,,,,,,,,,,,,,,,,,,,,2015
Moderna,MRNA,,,,,,,,,,,,,,,,,,,,,,,,2014
Arthur J Gallagher,AJG,$971.5,"$3,786.6",-,-,"$27,358","$32,116.1",$726.4,-,"$16,108.9","$1,131.8","$19,499.7","$51,615.8","$31,064.7","$7,006","$2,316.1","$9,735.801","$40,800.5",$216.7,"$4,052.9",$-792.1,-,"$10,815.3","$51,615.8",2023
Arthur J Gallagher,AJG,$738.4,"$2,911.1",-,-,"$18,635.7","$22,285.2",$576.2,-,"$12,861.5",$989.8,"$16,073.2","$38,358.4","$21,338.6","$5,562.8","$1,903.8","$7,829.6","$29,168.2",$211.9,"$3,562.2","$-1,140.4",-,"$9,190.2","$38,358.4",2022
Arthur J Gallagher,AJG,"$4,466.3","$11,753.1",-,-,"$1,451","$17,670.4",$500.8,-,"$12,620.2",$966.5,"$15,674.6","$33,345","$16,735","$5,810.2","$1,871.7","$8,049.9","$24,784.9",$208.5,"$2,882.3",$-726.1,-,"$8,560.1","$33,345",2021
Arthur J Gallagher,AJG,"$3,574.3","$6,436",-,-,"$1,113.9","$11,124.2",$450.7,-,"$8,526.9",$769.9,"$11,207.2","$22,331.4","$10,135","$4,266","$1,311.1","$5,963.7","$16,098.7",$193.7,"$2,371.7",$-643.6,-,"$6,232.7","$22,331.4",2020
Arthur J Gallagher,AJG,"$2,623.9","$5,419.2",-,-,"$1,074.4","$9,117.5",$467.4,-,"$7,937.2",$773.6,"$10,517.3","$19,634.8","$8,921","$3,816.1","$1,271.6","$5,498.3","$14,419.3",$188.1,"$1,901.3",$-759.6,-,"$5,215.5","$19,634.8",2019
Arthur J Gallagher,AJG,"$2,236.8","$4,857.5",-,-,"$1,024.4","$8,118.7",$436.9,-,"$6,398.6",$573.6,"$8,215.3","$16,334","$7,693.6","$3,091.4",$900.9,"$4,070.7","$11,764.3",$184,"$1,558.6",$-785.6,-,"$4,569.7","$16,334",2018
Arthur J Gallagher,AJG,"$2,305","$4,082.8",-,-,$881.6,"$7,269.4",$412.2,-,"$5,809.4",$567.1,"$7,640.3","$14,909.7","$6,730.2","$2,691.9","$1,112.6","$3,879.8","$10,610",$181,"$1,221.8",$-555.4,-,"$4,299.7","$14,909.7",2017
Arthur J Gallagher,AJG,"$1,937.6","$1,844.8",-,-,$633.7,"$4,416.1",$377.6,-,"$5,395.1",$504.3,"$7,073.5","$11,489.6","$4,611.7","$2,144.6","$1,077.5","$3,222.1","$7,833.8",$178.3,$916.4,$-763.6,-,"$3,655.8","$11,489.6",2016
Arthur J Gallagher,AJG,"$1,892.5","$1,734",-,-,$587.2,"$4,213.7",$249,-,"$5,361.7",$442.6,"$6,696.8","$10,910.5","$4,187.1","$2,071.7",$963.5,"$3,035.2","$7,222.3",$176.9,$774.5,$-522.5,-,"$3,688.2","$10,910.5",2015
Arthur J Gallagher,AJG,"$1,682","$1,462.5",-,-,$666.7,"$3,811.2",$195.4,-,"$5,225.6",$385.2,"$6,198.8","$10,010","$3,642.7","$2,125",$937.2,"$3,062.2","$6,704.9",$164.6,$676,$-260.6,-,"$3,305.1","$10,010",2014
3M,MMM,"$5,986","$4,750","$4,822",$485,$336,"$16,379","$9,159",-,"$17,153","$7,130","$34,201","$50,580","$15,297","$13,088","$14,322","$30,415","$45,712",$9,"$37,479","$-6,778",-,"$4,868","$50,580",2023
