Stock Name,Ticker,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Year
Mastercard,MA,"$9,180","$4,060",-,"$2,643","$3,078","$18,961","$2,061",-,"$11,746","$8,325","$23,487","$42,448","$16,264","$14,344","$4,474","$19,209","$35,473",-,"$62,564","$-1,099",-,"$6,975","$42,448",2023
Mastercard,MA,"$7,997","$3,425",-,"$2,346","$2,838","$16,606","$2,006",-,"$11,381","$7,580","$22,118","$38,724","$14,171","$13,749","$4,034","$18,197","$32,368",-,"$53,607","$-1,253",-,"$6,356","$38,724",2022
Mastercard,MA,"$8,480","$3,006",-,"$2,271","$3,192","$16,949","$1,907",-,"$11,333","$6,994","$20,720","$37,669","$13,162","$13,109","$3,591","$17,124","$30,286",-,"$45,648",$-809,-,"$7,383","$37,669",2021
Mastercard,MA,"$11,182","$2,646",-,"$1,883","$3,402","$19,113","$1,902",-,"$6,713","$5,365","$14,471","$33,584","$11,847","$12,023","$3,111","$15,249","$27,096",-,"$38,747",$-680,-,"$6,488","$33,584",2020
Mastercard,MA,"$8,260","$2,514",-,"$1,763","$4,365","$16,902","$1,828",-,"$5,438","$4,525","$12,334","$29,236","$11,904","$8,527","$2,729","$11,415","$23,319",-,"$33,984",$-673,-,"$5,917","$29,236",2019
Mastercard,MA,"$8,931","$2,276",-,"$1,432","$3,532","$16,171",$921,-,"$3,895","$3,303","$8,689","$24,860","$11,593","$5,834","$1,877","$7,849","$19,442",-,"$27,283",$-718,-,"$5,418","$24,860",2018
Mastercard,MA,"$8,328","$1,969",-,"$1,040","$2,460","$13,797",$829,-,"$4,155","$2,298","$7,532","$21,329","$8,793","$5,424","$1,438","$7,039","$15,832",-,"$22,364",$-497,-,"$5,497","$21,329",2017
Mastercard,MA,"$8,878","$1,416",-,$850,"$2,084","$13,228",$733,-,"$2,478","$1,929","$5,447","$18,675","$7,206","$5,180",$524,"$5,785","$12,991",-,"$19,418",$-924,-,"$5,684","$18,675",2016
Mastercard,MA,"$7,279","$1,079",-,$663,"$1,963","$10,984",$675,-,"$2,694","$1,580","$5,266","$16,250","$6,269","$3,268",$572,"$3,919","$10,188",-,"$16,222",$-676,-,"$6,062","$16,250",2015
Mastercard,MA,"$6,915","$1,109",-,$671,"$2,002","$10,997",$615,-,"$2,236","$1,385","$4,332","$15,329","$6,222","$1,494",$674,"$2,283","$8,505",-,"$13,169",$-260,-,"$6,824","$15,329",2014
Procter & Gamble,PG,"$8,246","$5,471","$7,073","$1,858",-,"$22,648","$21,909",-,"$64,442","$11,830","$98,181","$120,829","$35,756","$24,378","$7,152","$38,008","$73,764","$4,009","$118,170","$-12,220",$-821,"$47,065","$120,829",2023
Procter & Gamble,PG,"$7,214","$5,143","$6,924","$2,372",-,"$21,653","$21,195",-,"$63,379","$10,981","$95,555","$117,208","$33,081","$22,848","$7,616","$37,273","$70,354","$4,009","$112,429","$-12,189",$-916,"$46,854","$117,208",2022
Procter & Gamble,PG,"$10,288","$4,725","$5,983","$2,095",-,"$23,091","$21,686",-,"$64,566","$9,964","$96,216","$119,307","$33,132","$23,099","$10,269","$39,521","$72,653","$4,009","$106,374","$-13,744","$-1,006","$46,654","$119,307",2021
Procter & Gamble,PG,"$16,181","$4,178","$5,498","$2,130",-,"$27,987","$20,692",-,"$63,693","$8,328","$92,713","$120,700","$32,976","$23,537","$11,110","$40,846","$73,822","$4,009","$100,239","$-16,165","$-1,080","$46,878","$120,700",2020
