Stock Name,Ticker,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Year
Toronto Dominion Bank,TD,"$406,935.2",-,-,-,-,"$1,106,766","$6,994.368","$296,520","$15,845.94","$21,875.01","$344,171.2","$1,450,938","$1,104,038","$7,132.268","$256,651.2","$263,783.4","$1,367,822","$18,856.77","$54,154.82","$2,038.85",-,"$83,116.13","$1,450,938",2023
Toronto Dominion Bank,TD,"$430,048.9",-,-,-,-,"$1,106,281","$7,301.92","$339,090.3","$15,504.15","$19,654.59","$383,254.5","$1,489,536","$1,143,630","$8,770.072","$250,613.5","$259,383.6","$1,403,013","$18,925.18","$57,248.61","$1,544.278",-,"$86,522.31","$1,489,536",2022
Toronto Dominion Bank,TD,"$425,639.8",-,-,-,-,"$1,040,746","$7,301.649","$296,703.4","$14,597.73","$13,662.46","$334,066.6","$1,374,813","$1,099,055","$8,931.219","$187,441.1","$196,372.3","$1,295,428","$18,344.39","$50,854.66","$5,644.244",-,"$79,385.26","$1,374,813",2021
Toronto Dominion Bank,TD,"$403,428.9",-,-,-,-,"$973,565","$7,540.17","$265,144.6","$14,337.18","$14,026.98","$302,867","$1,276,432","$1,062,638","$8,537.74","$134,214.4","$142,752.2","$1,205,390","$16,728.08","$40,055.3","$9,995.784",-,"$71,041.7","$1,276,432",2020
Toronto Dominion Bank,TD,"$294,395.3",-,-,-,-,"$835,127.9","$4,147.981","$196,722.5","$14,656","$12,856.26","$229,736.3","$1,064,864","$832,616.4","$8,069.49","$158,192.1","$166,261.6","$998,877.9","$16,336.86","$37,241.54","$7,961.145",-,"$65,986.23","$1,064,864",2019
Toronto Dominion Bank,TD,"$270,218.6",-,-,-,-,"$806,883.9","$4,137.28","$197,266","$14,761.02","$12,119.7","$230,469.3","$1,037,353","$889,518.4","$6,791.854","$78,843.79","$85,635.64","$975,154.1","$16,490.84","$35,859.28","$5,159.167",-,"$62,199.09","$1,037,353",2018
Toronto Dominion Bank,TD,"$267,519",-,-,-,-,"$772,311.1","$4,064.445","$175,636.4","$14,362.11","$10,146.96","$206,120.1","$978,431.2","$831,543.5","$9,759.105","$79,608.2","$89,367.3","$920,910.8","$16,012.21","$30,974.09","$6,124.59",-,"$57,520.35","$978,431.2",2017
Toronto Dominion Bank,TD,"$237,734.3",-,-,-,-,"$704,493.6","$4,135.073","$153,379.4","$14,558.74","$9,647.497","$183,292.7","$887,786.2","$730,989.9","$8,215.081","$92,601.64","$100,816.7","$831,806.6","$15,622.31","$26,741.44","$8,926.386",-,"$55,979.62","$887,786.2",2016
Toronto Dominion Bank,TD,"$247,897.2",-,-,-,-,"$717,733.6","$4,282.648","$140,465.9","$15,318.89","$10,676.8","$172,300.5","$890,034.1","$737,901.8","$6,960.714","$91,152.55","$98,113.27","$836,015","$16,355.3","$25,832.09","$8,227.617",-,"$54,019.07","$890,034.1",2015
Toronto Dominion Bank,TD,"$255,370.7",-,-,-,-,"$695,105","$4,526.72","$115,283.7","$15,529.51","$37,017.22","$172,357.2","$867,462.1","$722,065.1","$7,148.18","$86,617.47","$93,765.65","$815,830.8","$18,190.46","$25,328.54",-,"$5,954.52","$51,631.3","$867,462.1",2014
