Stock Name,Ticker,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Year
TotalEnergies SE,TTE,"$33,848","$23,442","$19,317",-,"$22,922","$99,529","$108,916","$34,395","$33,083","$4,313","$184,125","$283,654","$88,785","$40,478","$21,257","$75,416","$164,201","$7,616",-,-,"$-13,701","$119,453","$283,654",2023
TotalEnergies SE,TTE,"$41,772","$24,378","$22,936",-,"$36,638","$125,724","$107,101","$31,671","$31,931","$2,388","$178,140","$303,864","$109,778","$45,264","$21,402","$79,516","$189,294","$8,163",-,-,"$-12,836","$114,570","$303,864",2022
TotalEnergies SE,TTE,"$33,657","$21,983","$19,952",-,"$35,544","$111,136","$106,559","$35,082","$32,484","$2,797","$182,322","$293,458","$95,102","$49,512","$20,269","$83,357","$178,459","$8,224",-,-,"$-12,671","$114,999","$293,458",2021
TotalEnergies SE,TTE,"$35,898","$14,068","$14,730",-,"$14,983","$79,679","$108,335","$34,764","$33,528","$2,810","$186,453","$266,132","$64,676","$60,203","$20,925","$95,371","$160,047","$8,267",-,-,"$-10,256","$106,085","$266,132",2020
TotalEnergies SE,TTE,"$31,344","$18,488","$17,132",-,"$18,301","$85,265","$116,408","$29,812","$33,178","$2,415","$188,029","$273,294","$70,244","$47,773","$20,613","$83,745","$153,989","$8,123",-,-,"$-11,503","$119,305","$273,294",2019
TotalEnergies SE,TTE,"$31,561","$17,270","$14,880",-,"$16,088","$79,799","$113,324","$25,545","$28,922","$2,509","$176,963","$256,762","$62,234","$40,129","$21,432","$76,414","$138,648","$8,227",-,-,"$-11,313","$118,114","$256,762",2018
TotalEnergies SE,TTE,"$36,578","$14,893","$16,520",-,"$16,957","$84,948","$109,397","$24,509","$14,587","$3,984","$157,683","$242,631","$56,705","$41,340","$15,986","$71,889","$128,594","$7,882",-,-,"$-7,908","$114,037","$242,631",2017
TotalEnergies SE,TTE,"$29,145","$12,213","$15,247",-,"$15,912","$72,517","$111,971","$22,617","$15,362","$4,143","$158,461","$230,978","$54,685","$43,067","$16,846","$74,719","$129,404","$7,604",-,-,"$-13,871","$101,574","$230,978",2016
TotalEnergies SE,TTE,"$29,459","$10,629","$13,116",-,"$17,032","$70,236","$109,518","$21,844","$14,549","$4,355","$154,248","$224,484","$50,975","$44,464","$17,502","$78,100","$129,075","$7,670",-,-,"$-12,119","$95,409","$224,484",2015
TotalEnergies SE,TTE,"$26,474","$15,704","$15,196",-,"$20,603","$77,977","$106,876","$21,992","$14,682","$4,192","$151,821","$229,798","$53,673","$45,481","$17,545","$82,594","$136,267","$7,518",-,-,"$-7,480","$93,531","$229,798",2014
