Stock Name,Ticker,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Year
Citigroup,C,"$1,018,388",-,-,-,-,"$1,743,520","$28,747","$519,085","$24,519","$95,963","$668,314","$2,411,834","$1,779,590","$286,619","$75,835","$362,454","$2,205,583",$31,"$198,905","$-44,800",-,"$206,251","$2,411,834",2023
Citigroup,C,"$1,041,540",-,-,-,-,"$1,735,979","$26,253","$526,582","$24,119","$103,743","$680,697","$2,416,676","$1,786,141","$271,606","$87,873","$359,479","$2,214,838",$31,"$194,734","$-47,062",-,"$201,838","$2,416,676",2022
Citigroup,C,"$921,266",-,-,-,-,"$1,626,918","$24,328","$512,822","$25,794","$101,551","$664,495","$2,291,413","$1,698,017","$254,374","$74,920","$329,294","$2,088,741",$31,"$184,948","$-38,765",-,"$202,672","$2,291,413",2021
Citigroup,C,"$979,406",-,-,-,-,"$1,675,139",-,"$447,359","$26,909","$110,683","$584,951","$2,260,090","$1,677,737","$271,686","$59,983","$331,669","$2,059,890",$31,"$168,272","$-32,058",-,"$200,200","$2,260,090",2020
Citigroup,C,"$721,381",-,-,-,-,"$1,447,938",-,"$368,563","$26,948","$107,709","$503,220","$1,951,158","$1,401,872","$248,760","$57,979","$306,739","$1,757,212",$31,"$165,369","$-36,318",-,"$193,946","$1,951,158",2019
Citigroup,C,"$714,906",-,-,-,-,"$1,422,237",-,"$358,607","$27,266","$109,273","$495,146","$1,917,383","$1,367,589","$231,999","$56,150","$288,149","$1,720,309",$31,"$151,347","$-37,170",-,"$197,074","$1,917,383",2018
Citigroup,C,"$665,784",-,-,-,-,"$1,358,847",-,"$352,290","$27,402","$103,926","$483,618","$1,842,465","$1,285,721","$236,709","$57,021","$293,730","$1,640,793",$31,"$138,425","$-34,668",-,"$201,672","$1,842,465",2017
Citigroup,C,"$641,232",-,-,-,-,"$1,282,428",-,"$353,304","$28,337","$128,008","$509,649","$1,792,077","$1,240,973","$206,178","$61,631","$267,809","$1,565,934",$31,"$146,477","$-32,381",-,"$226,143","$1,792,077",2016
Citigroup,C,"$593,987",-,-,-,-,"$1,226,661",-,"$342,955","$27,851","$133,743","$504,549","$1,731,210","$1,192,974","$201,275","$60,147","$261,422","$1,508,118",$31,"$133,841","$-29,344",-,"$223,092","$1,731,210",2015
Citigroup,C,"$699,553",-,-,-,-,"$1,356,613",-,"$333,443","$30,003","$122,122","$485,568","$1,842,181","$1,270,141","$223,080","$85,084","$308,164","$1,630,485",$31,"$117,852","$-23,216",-,"$211,696","$1,842,181",2014
BlackRock,BLK,"$8,736","$3,916",-,-,-,"$12,652","$1,112","$9,740","$33,782","$64,504","$109,138","$123,211","$3,633","$12,476","$60,572","$80,078","$83,711",$2,"$32,343",$-840,-,"$39,500","$123,211",2023
BlackRock,BLK,"$7,416","$3,264",-,-,-,"$10,680","$1,031","$7,466","$33,643","$63,292","$105,432","$117,628","$3,566","$12,419","$57,642","$76,186","$79,752",$2,"$29,876","$-1,101",-,"$37,876","$117,628",2022
BlackRock,BLK,"$9,323","$3,789",-,-,-,"$13,112",$762,"$7,262","$33,804","$96,087","$137,915","$152,648","$4,348","$14,527","$90,250","$110,494","$114,842",$2,"$27,688",$-550,-,"$37,806","$152,648",2021
BlackRock,BLK,"$8,664","$3,535",-,-,-,"$12,199",$681,"$6,919","$32,814","$123,720","$164,134","$176,982","$3,527","$23,771","$107,600","$138,121","$141,648",$2,"$24,334",$-337,-,"$35,334","$176,982",2020
BlackRock,BLK,"$4,829","$3,179",-,-,-,"$8,008",$715,"$5,489","$32,931","$121,479","$160,614","$168,622","$3,224","$20,421","$106,314","$131,785","$135,009",$2,"$21,662",$-571,-,"$33,613","$168,622",2019
BlackRock,BLK,"$6,488","$2,657",-,-,-,"$9,145",$643,"$4,476","$31,365","$113,944","$150,428","$159,573","$3,280","$25,634","$93,548","$123,860","$127,140",$2,"$19,282",$-691,-,"$32,433","$159,573",2018
BlackRock,BLK,"$7,038","$2,699",-,-,-,"$9,737",$592,"$3,474","$30,609","$175,829","$210,504","$220,241","$8,328","$24,190","$151,932","$180,065","$188,393",$2,"$16,939",$-432,-,"$31,848","$220,241",2017
BlackRock,BLK,"$6,175","$2,115",-,-,-,"$8,290",$559,"$2,603","$30,481","$178,244","$211,887","$220,177","$2,760","$32,923","$150,310","$188,267","$191,027",$2,"$13,660",$-716,-,"$29,150","$220,177",2016
BlackRock,BLK,"$6,231","$2,237",-,-,-,"$8,468",$581,"$2,608","$30,495","$183,109","$216,793","$225,261","$3,039","$36,266","$152,061","$193,642","$196,681",$2,"$12,033",$-448,-,"$28,580","$225,261",2015
BlackRock,BLK,"$6,001","$2,120",-,-,-,"$8,121",$467,"$5,241","$30,305","$195,658","$231,671","$239,792","$2,900","$41,965","$162,418","$209,407","$212,307",$2,"$10,145",$-273,-,"$27,485","$239,792",2014
Boston Scientific,BSX,$865,"$2,228","$2,484",$315,$621,"$6,514","$2,859",-,"$20,390","$1,531","$28,621","$35,136","$4,933","$8,571","$1,967","$10,672","$15,606",$17,$819,$49,-,"$19,530","$35,136",2023
Boston Scientific,BSX,$928,"$1,970","$1,867",$264,$731,"$5,760","$2,446",-,"$18,822","$1,500","$26,710","$32,469","$3,803","$8,915","$2,035","$11,094","$14,896",$17,$-750,$269,-,"$17,573","$32,469",2022
Boston Scientific,BSX,"$1,925","$1,778","$1,610",$205,$799,"$6,317","$2,252",-,"$18,109","$1,410","$25,913","$32,229","$4,274","$8,804","$2,220","$11,334","$15,607",$17,"$-1,392",$263,-,"$16,622","$32,229",2021
Boston Scientific,BSX,"$1,734","$1,531","$1,351",$194,"$1,884","$6,694","$2,084",-,"$15,868","$1,921","$24,083","$30,777","$3,681","$9,130","$2,309","$11,769","$15,451",$17,"$-2,378",$207,-,"$15,326","$30,777",2020
Boston Scientific,BSX,$217,"$1,828","$1,579",$195,$880,"$4,699","$2,079",-,"$18,062","$1,529","$25,866","$30,565","$4,866","$8,592","$2,635","$11,822","$16,688",$16,"$-2,253",$270,-,"$13,877","$30,565",2019
Boston Scientific,BSX,$146,"$1,608","$1,166",$161,$921,"$4,003","$1,782",-,"$14,283",$845,"$16,997","$20,999","$5,260","$4,803","$1,882","$7,013","$12,273",$16,"$-6,953",$33,-,"$8,726","$20,999",2018
Boston Scientific,BSX,$188,"$1,548","$1,078",$66,$942,"$3,822","$1,697",-,"$12,835",$688,"$15,220","$19,042","$5,654","$3,815","$2,370","$6,376","$12,030",$16,"$-8,390",$-59,-,"$7,012","$19,042",2017
Boston Scientific,BSX,$196,"$1,472",$955,-,$541,"$3,239","$1,630",-,"$12,561",$666,"$14,857","$18,096","$3,587","$5,420","$2,338","$7,776","$11,363",$16,"$-8,581",$1,-,"$6,733","$18,096",2016
Boston Scientific,BSX,$319,"$1,275","$1,016",-,$365,"$3,471","$1,490",-,"$12,667",$505,"$14,662","$18,133","$2,430","$5,674","$2,974","$9,383","$11,813",$16,"$-8,927",$88,-,"$6,320","$18,133",2015
Boston Scientific,BSX,$587,"$1,183",$946,-,$443,"$3,606","$1,507",-,"$11,504",$407,"$13,418","$17,024","$2,846","$3,841","$2,666","$7,721","$10,567",$16,"$-8,689",$144,-,"$6,457","$17,024",2014
Regeneron Pharmaceuticals,REGN,"$10,844.8","$5,667.3","$2,580.5",$386.6,-,"$19,479.2","$4,146.4","$5,396.5","$1,038.6",$444.1,"$13,601","$33,080.2","$3,423.4","$2,702.9",$854.1,"$3,683.7","$7,107.1",$0.1,"$27,260.3",$-80.9,-,"$25,973.1","$33,080.2",2023
Regeneron Pharmaceuticals,REGN,"$7,742.3","$5,328.7","$2,401.9",$411.2,-,"$15,884.1","$3,763","$6,591.8",$915.5,$336.4,"$13,330.4","$29,214.5","$3,141.3","$2,701.4",$638,"$3,409.2","$6,550.5",$0.1,"$23,306.7",$-238.8,-,"$22,664","$29,214.5",2022
Regeneron Pharmaceuticals,REGN,"$5,694.7","$6,036.5","$1,951.3",$332.4,-,"$14,014.9","$3,482.2","$6,838",$6.7,$216.1,"$11,419.9","$25,434.8","$3,932.5","$1,980",$680.2,"$2,733.5","$6,666",$0.1,"$18,968.3",$-26.2,-,"$18,768.8","$25,434.8",2021
