Stock Name,Ticker,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Year
Occidental Petroleum,OXY,"$1,426","$3,195","$2,022",-,"$1,732","$8,375","$58,529","$3,224",-,"$2,750","$65,633","$74,008","$9,148","$18,536","$8,553","$34,511","$43,659",$222,"$19,626",$275,-,"$30,349","$74,008",2023
Occidental Petroleum,OXY,$984,"$4,281","$2,059",-,"$1,562","$8,886","$58,384","$3,176",-,"$1,260","$63,723","$72,609","$7,757","$19,670","$7,873","$34,767","$42,524",$220,"$16,499",$195,-,"$30,085","$72,609",2022
Occidental Petroleum,OXY,"$2,764","$4,208","$1,846",-,"$1,393","$10,211","$59,930","$2,938",-,-,"$64,825","$75,036","$8,324","$29,431","$7,790","$46,385","$54,709",$217,"$4,480",$-208,-,"$20,327","$75,036",2021
Occidental Petroleum,OXY,"$2,178","$2,115","$1,898",-,"$2,628","$8,819","$65,889","$3,250",-,-,"$71,245","$80,064","$8,223","$35,745","$8,006","$53,268","$61,491",$216,"$2,996",$-288,-,"$18,573","$80,064",2020
Occidental Petroleum,OXY,"$3,517","$4,233","$1,581",-,"$5,302","$14,633","$82,230","$6,389",-,-,"$92,557","$107,190","$12,705","$38,537","$9,304","$60,253","$72,958",$209,"$20,180",$-221,-,"$34,232","$107,190",2019
Occidental Petroleum,OXY,"$3,033","$4,893","$1,260",-,$746,"$9,932","$31,437","$1,680",-,-,"$33,922","$43,854","$7,412","$10,201","$3,195","$15,112","$22,524",$179,"$23,750",$-172,-,"$21,330","$43,854",2018
Occidental Petroleum,OXY,"$1,672","$4,145","$1,246",-,"$1,207","$8,270","$31,174","$1,515",-,-,"$33,756","$42,026","$7,400","$9,328","$3,140","$14,054","$21,454",$179,"$21,935",$-258,-,"$20,572","$42,026",2017
Occidental Petroleum,OXY,"$2,233","$3,989",$866,-,"$1,340","$8,428","$32,337","$1,401",-,-,"$34,681","$43,109","$6,362","$9,819","$3,336","$15,250","$21,612",$178,"$22,981",$-266,-,"$21,497","$43,109",2016
Occidental Petroleum,OXY,"$4,394","$2,970",$986,-,"$1,052","$9,402","$31,639","$1,434",-,-,"$34,007","$43,409","$6,842","$6,855","$4,039","$12,217","$19,059",$178,"$25,960",$-307,-,"$24,350","$43,409",2015
Occidental Petroleum,OXY,"$7,808","$4,206","$1,052",-,$807,"$13,873","$39,730","$1,565",-,-,"$42,386","$56,259","$8,244","$6,838","$3,203","$13,056","$21,300",$178,"$36,067",$-357,-,"$34,959","$56,259",2014
Palantir Technologies,PLTR,"$3,674.179",$364.784,-,$99.655,-,"$4,138.618",$47.758,-,-,$153.186,$383.807,"$4,522.425",$746.018,-,$12.179,$215.442,$961.46,$2.2,"$-5,649.613",$0.801,-,"$3,560.965","$4,522.425",2023
Palantir Technologies,PLTR,"$2,633.675",$258.346,-,$149.556,-,"$3,041.577",$69.17,-,-,$150.252,$419.662,"$3,461.239",$587.941,-,$16.591,$230.861,$818.802,$2.099,"$-5,859.438",$-5.333,-,"$2,642.437","$3,461.239",2022
Palantir Technologies,PLTR,"$2,561.455",$190.923,-,$110.872,-,"$2,863.25",$31.304,-,-,$135.998,$384.2,"$3,247.45",$660.061,-,$35.996,$296.359,$956.42,$2.027,"$-5,485.733",$-2.349,-,"$2,291.03","$3,247.45",2021
Palantir Technologies,PLTR,"$2,048.608",$156.932,-,$51.889,-,"$2,257.429",$29.541,-,-,$186.459,$433.075,"$2,690.504",$603.823,$197.977,$85.829,$564.131,"$1,167.954",$1.792,"$-4,965.354",$-2.745,-,"$1,522.55","$2,690.504",2020
