Stock Name,Ticker,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Year
Cisco,CSCO,"$26,146","$5,854","$3,644",-,"$4,352","$43,348","$2,085",-,"$40,353","$6,007","$58,504","$101,852","$31,309","$6,658","$7,890","$26,190","$57,499","$44,289","$1,639","$-1,575",-,"$44,353","$101,852",2023
Cisco,CSCO,"$19,267","$6,622","$2,568",-,"$4,355","$36,717","$1,997",-,"$40,873","$5,957","$57,285","$94,002","$25,640","$8,416","$9,693","$28,589","$54,229","$42,714","$-1,319","$-1,622",-,"$39,773","$94,002",2022
Cisco,CSCO,"$24,518","$5,766","$1,559",-,"$2,889","$39,112","$2,338",-,"$41,787","$5,016","$58,385","$97,497","$26,257","$9,018","$10,931","$29,965","$56,222","$42,346",$-654,$-417,-,"$41,275","$97,497",2021
Cisco,CSCO,"$29,419","$5,472","$1,282",-,"$2,349","$43,573","$2,453",-,"$35,382","$3,741","$51,280","$94,853","$25,331","$11,578","$10,984","$31,602","$56,933","$41,202","$-2,763",$-519,-,"$37,920","$94,853",2020
Cisco,CSCO,"$33,413","$5,491","$1,383",-,"$2,373","$47,755","$2,789",-,"$35,730","$2,496","$50,038","$97,793","$31,712","$14,475","$10,236","$32,510","$64,222","$40,266","$-5,903",$-792,-,"$33,571","$97,793",2019
Cisco,CSCO,"$46,548","$5,554","$1,846",-,"$2,940","$61,837","$3,006",-,"$34,258","$1,582","$46,947","$108,784","$27,035","$20,331","$10,019","$38,545","$65,580","$42,820","$1,233",$-849,-,"$43,204","$108,784",2018
Cisco,CSCO,"$70,492","$5,146","$1,616",-,"$1,593","$83,703","$3,322",-,"$32,305","$1,511","$46,115","$129,818","$27,583","$25,725","$2,700","$36,098","$63,681","$45,253","$20,838",$46,-,"$66,137","$129,818",2017
Cisco,CSCO,"$65,756","$5,847","$1,217",-,"$1,627","$78,719","$3,506",-,"$29,126","$1,844","$42,933","$121,652","$24,911","$24,483","$2,356","$33,156","$58,067","$44,516","$19,396",$-326,-,"$63,585","$121,652",2016
Cisco,CSCO,"$60,416","$5,344","$1,627",-,"$1,490","$73,368","$3,332",-,"$26,845","$1,516","$40,005","$113,373","$23,412","$21,457","$3,438","$30,254","$53,666","$43,592","$16,045",$61,-,"$59,707","$113,373",2015
Cisco,CSCO,"$52,074","$5,157","$1,591",-,"$1,331","$67,114","$3,252",-,"$27,519","$3,267","$37,956","$105,070","$19,809","$20,337","$3,599","$28,600","$48,409","$41,884","$14,093",$677,-,"$56,661","$105,070",2014
Disney,DIS,"$14,182","$12,330","$1,963",-,"$4,288","$32,763","$27,480","$3,080","$90,128","$44,667","$172,816","$205,579","$31,139","$42,101","$12,069","$70,483","$101,622","$57,383","$46,093","$-3,292",-,"$103,957","$205,579",2023
Disney,DIS,"$11,615","$12,652","$1,742",-,"$3,089","$29,098","$27,642","$3,218","$92,734","$44,985","$174,533","$203,631","$29,073","$45,299","$12,518","$75,679","$104,752","$56,398","$43,636","$-4,119",-,"$98,879","$203,631",2022
Disney,DIS,"$15,959","$13,367","$1,331",-,"$3,000","$33,657","$26,972","$3,935","$95,186","$38,207","$169,952","$203,609","$31,077","$48,540","$14,522","$79,521","$110,598","$55,471","$40,429","$-6,440",-,"$93,011","$203,609",2021
Disney,DIS,"$17,914","$12,708","$1,583",-,"$3,046","$35,251","$26,594","$3,903","$96,862","$33,455","$166,298","$201,549","$26,628","$52,917","$17,204","$86,658","$113,286","$54,497","$38,315","$-8,322",-,"$88,263","$201,549",2020
