Stock Name,Ticker,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity,Year
Intuitive Surgical,ISRG,"$5,223.2","$1,130.2","$1,220.6",$314,-,"$7,888","$3,537.6","$2,120",$985.4,-,"$7,553.5","$15,441.5","$1,658.7",-,$385.5,$385.5,"$2,044.2",$0.4,"$4,743",$-12.2,-,"$13,397.3","$15,441.5",2023
Intuitive Surgical,ISRG,"$4,117.9",$942.1,$893.2,$299.8,-,"$6,253","$2,374.2","$2,623.6","$1,058.6",-,"$6,721","$12,974","$1,422.1",-,$439.3,$439.3,"$1,861.4",$0.4,"$3,500.1",$-162.5,-,"$11,112.6","$12,974",2022
Intuitive Surgical,ISRG,"$4,204",$782.7,$587.1,$271.1,-,"$5,844.9","$1,876.4","$4,415.5",$976.8,-,"$7,710.1","$13,555","$1,149.8",-,$453.7,$453.7,"$1,603.5",$0.4,"$4,760.9",$-24.2,-,"$11,951.5","$13,555",2021
Intuitive Surgical,ISRG,"$5,111.4",$645.5,$601.5,$267.5,-,"$6,625.9","$1,577.3","$1,757.7",$840.3,-,"$4,543","$11,168.9",$965.2,-,$444.6,$444.6,"$1,409.8",$0.4,"$3,261.3",$24.9,-,"$9,759.1","$11,168.9",2020
Intuitive Surgical,ISRG,"$3,221.7",$645.2,$595.5,$200.2,-,"$4,662.6","$1,272.9","$2,623.5",$748.6,-,"$5,070.6","$9,733.2","$1,030.2",-,$418.3,$418.3,"$1,448.5",$0.1,"$2,494.5",$12.4,-,"$8,284.7","$9,733.2",2019
Intuitive Surgical,ISRG,"$3,063.1",$682.3,$409,$178.8,-,"$4,333.2",$812,"$1,771.3",$501.6,-,"$3,513.5","$7,846.7",$820.6,-,$338.6,$338.6,"$1,159.2",$0.1,"$1,521.7",$-13.3,-,"$6,687.5","$7,846.7",2018
Intuitive Surgical,ISRG,"$1,960.6",$507.9,$241.2,$99.2,-,"$2,808.9",$613.1,"$1,885.9",$396.9,-,"$2,967.9","$5,776.8",$662.8,-,$333.6,$333.6,$996.4,$0.1,$115,$-15.5,-,"$4,780.4","$5,776.8",2017
Intuitive Surgical,ISRG,"$2,554.6",$430.2,$182.3,$83.3,-,"$3,250.4",$458.4,"$2,283.3",$201.1,$142.8,"$3,236.5","$6,486.9",$596.5,-,$112.6,$112.6,$709.1,-,"$1,574.9",$-8.9,-,"$5,777.8","$6,486.9",2016
Intuitive Surgical,ISRG,"$1,559.8",$394.3,$167.9,$73.5,-,"$2,195.5",$432.1,"$1,788",$323.9,-,"$2,711.8","$4,907.3",$491.9,-,$95.9,$95.9,$587.8,-,$899.2,$-9.5,-,"$4,319.5","$4,907.3",2015
Intuitive Surgical,ISRG,"$1,232.5",$315.1,$181.7,$82.6,-,"$1,811.9",$387.4,"$1,264.5",$324.3,-,"$2,147.5","$3,959.4",$501.2,-,$78.8,$78.8,$580,-,$487.7,$-5.1,-,"$3,379.4","$3,959.4",2014
