Stock Name,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year
Carrier Global,CARR,2.7253,0.6126,1.5872,28.885,10.3901,10.3901,12.8428,9.4307,6.1046,0.6733,7.0884,8.9069,40.9795,15.9911,-12000,4.3873,6.1943,10.7214,1.0324,0.8924,2023
Carrier Global,CARR,1.6378,0.5187,1.0948,26.7568,22.1096,22.1096,23.9704,21.0176,17.3057,0.7828,5.6655,7.2083,50.6364,44.3784,-110.515,13.7392,21.3613,9.6757,-0.4887,-0.5123,2022
Carrier Global,CARR,1.7213,0.5728,1.3668,29.0108,12.8317,12.8317,14.4715,11.6431,8.0726,0.7876,7.4279,8.578,42.5506,23.978,-61.5413,6.4993,10.2427,8.2198,0.5903,0.5585,2021
Carrier Global,CARR,1.6681,0.6041,1.5547,29.2679,17.6616,17.6616,19.5864,16.3554,11.3543,0.6957,7.5795,6.2769,58.1499,30.4956,-43.6277,7.9943,12.0742,7.5798,-0.4594,-0.5333,2020
Carrier Global,CARR,1.3334,0.0056,0.0221,29.1219,13.3867,13.3867,15.187,14.3594,11.3715,0.8305,9.9017,6.8261,53.4711,14.929,62.1396,9.618,14.8447,-,0.0093,0.0323,2019
Carrier Global,CARR,1.3679,-,-,29.4438,19.2291,19.2291,21.1166,20.313,14.4549,0.8701,9.7909,7.0759,51.5832,19.4057,86.3693,12.7387,19.4057,-,2.3724,2.0688,2018
Carrier Global,CARR,-,-,-,29.1063,17.0091,17.0091,19.0973,17.1438,6.8878,-,-,-,-,-,-,-,-,-,-,-,2017
Carrier Global,CARR,,,,,,,,,,,,,,,,,,,,,2016
Carrier Global,CARR,,,,,,,,,,,,,,,,,,,,,2015
Carrier Global,CARR,,,,,,,,,,,,,,,,,,,,,2014
Phillips 66,PSX,1.2576,0.361,0.6117,13.1025,5.6791,5.6791,7.0401,6.4241,4.7592,1.9523,34.1563,12.566,29.0467,22.872,24.8081,9.588,14.6163,73.5251,-7.3158,-8.0198,2023
Phillips 66,PSX,1.3797,0.3282,0.504,11.7995,7.2245,7.2245,8.1964,8.6117,6.4851,2.2238,45.7668,15.4747,23.5868,33.3988,35.8332,14.9015,22.4378,73.2134,9.1615,8.754,2022
Phillips 66,PSX,1.1481,0.3746,0.6677,8.409,-0.5221,-0.5221,0.9392,1.5609,1.1814,2.0052,30.0831,14.9232,24.4586,7.367,8.242,2.8672,4.6075,49.3709,8.8608,11.2805,2021
Phillips 66,PSX,1.3948,0.4092,0.7384,10.0142,-8.801,-8.801,-6.5914,-7.7406,-6.1984,1.1719,14.8233,9.8327,37.121,-17.256,-19.2885,-6.7872,-10.1952,49.2663,-5.79,-3.9006,2020
Phillips 66,PSX,1.236,0.2922,0.433,10.9644,2.3431,2.3431,3.6144,3.894,2.8669,1.8272,25.299,12.6079,28.9502,12.4296,14.6635,5.751,8.7977,61.6041,-5.3823,-8.3483,2019
Phillips 66,PSX,1.4783,0.29,0.411,12.1397,4.703,4.703,5.9402,6.6795,5.0197,2.0526,27.6404,18.0562,20.2147,21.6293,25.5193,10.8154,15.3559,59.5245,8.9396,6.9059,2018
Phillips 66,PSX,1.4238,0.2685,0.3686,22.4173,2.209,2.209,3.5182,3.4732,4.9886,1.8825,23.39,13.6363,26.7668,19.1337,22.541,9.6522,13.9958,54.6081,1.4457,3.2779,2017
Phillips 66,PSX,1.34,0.2878,0.4273,25.8795,1.3052,1.3052,2.716,2.5997,1.8451,1.6316,19.8311,13.1748,27.7045,6.9294,8.4019,3.1828,4.935,45.7334,-4.8548,0.3177,2016
Phillips 66,PSX,1.6274,0.2698,0.3713,25.8409,4.88,4.88,5.9904,6.1066,4.2708,2.0374,21.1099,19.133,19.077,17.8795,21.6632,8.8102,13.0563,45.2164,4.2698,0.3337,2015
