Stock Name,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year
Citigroup,C,-,0.5815,3.6728,-,-,-,-,18.2665,11.107,0.0293,-,-,-,4.9732,5.1625,0.389,1.9035,108.3755,-50.2999,-50.802,2023
Citigroup,C,-,0.5737,3.4275,-,-,-,-,26.6415,19.407,0.0292,-,-,-,8.294,8.5331,0.6275,3.2031,104.2021,-10.2152,-11.1331,2022
Citigroup,C,-,0.5566,3.1339,-,-,-,-,36.6317,27.6821,0.0327,-,-,-,11.9874,12.4481,0.9609,4.8175,102.1349,34.1676,33.8683,2021
Citigroup,C,-,0.5757,3.3404,-,-,-,-,22.8805,16.5814,0.0264,-,-,-,6.146,6.4095,0.4914,2.3537,96.1534,-5.4827,-4.8434,2020
Citigroup,C,-,0.5619,2.9907,-,-,-,-,35.7537,27.1822,0.0343,-,-,-,11.0652,11.6594,0.9979,4.3982,91.7383,-20.5279,-21.3565,2019
Citigroup,C,-,0.5407,2.9756,-,-,-,-,35.7939,25.4519,0.0342,-,-,-,10.1269,10.652,0.9434,4.2156,83.2074,18.0719,17.7491,2018
Citigroup,C,-,0.54,2.7897,-,-,-,-,35.0487,-12.3928,0.0352,-,-,-,-3.6328,-3.8027,-0.3597,-1.5117,78.4744,-21.8564,-22.2389,2017
Citigroup,C,-,0.4769,2.2895,-,-,-,-,33.5327,21.2965,0.0357,-,-,-,7.2662,7.5999,0.8389,3.4773,81.5696,5.3932,5.5414,2016
Citigroup,C,-,0.4743,2.1801,-,-,-,-,35.8519,23.4656,0.04,-,-,-,8.4245,8.9049,1.0043,4.0969,75.5404,-2.0477,-2.0094,2015
Citigroup,C,-,0.5131,2.8054,-,-,-,-,20.8848,9.5012,0.0382,-,-,-,3.7291,4.13,0.4073,1.7259,70.0072,-5.5335,-5.5313,2014
