Stock Name,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year
MetLife,MET,-,0.3485,0.6434,-,3.2314,3.2314,2.3137,3.2314,2.0626,0.0973,-,-,-,5.2953,7.6224,0.233,3.4498,41.3959,1.8739,1.8739,2023
MetLife,MET,-,0.3377,0.6206,-,9.254,9.254,8.7902,9.254,7.4146,0.1037,-,-,-,17.6,25.4561,0.7996,11.6558,38.6665,1.9238,1.9238,2022
MetLife,MET,-,0.1783,0.2686,-,12.3996,12.3996,12.1375,12.3996,9.6862,0.0904,-,-,-,10.1492,11.8116,0.9051,8.3398,82.0663,1.4565,1.4565,2021
MetLife,MET,-,0.1711,0.2539,-,10.2105,10.2105,9.9201,10.2105,7.6516,0.0853,-,-,-,7.2417,8.3734,0.6814,6.0023,83.79,-1.8523,-1.8523,2020
MetLife,MET,-,0.1789,0.2688,-,9.7601,9.7601,9.2301,9.7601,8.2175,0.094,-,-,-,8.9015,10.3532,0.798,7.3094,72.5218,3.0205,3.0205,2019
MetLife,MET,-,0.2078,0.3267,-,9.2831,9.2831,8.7164,9.2831,7.3328,0.0988,-,-,-,9.6831,11.7788,0.7458,7.6712,55.2444,0.1881,0.1881,2018
MetLife,MET,-,0.2221,0.347,-,5.675,5.675,5.2754,5.675,6.2705,0.0866,-,-,-,8.5035,10.1583,0.6954,6.615,56.4112,-1.9389,-1.9389,2017
MetLife,MET,-,0.2074,0.312,-,7.0426,7.0426,6.2892,7.0426,1.2289,0.0676,-,-,-,5.2997,6.1352,0.3992,4.2006,61.799,0.8738,0.8738,2016
MetLife,MET,-,0.2447,0.3721,-,9.2121,9.2121,8.4818,9.2121,8.5014,0.0699,-,-,-,5.9355,6.8898,0.4626,4.4833,62.3107,-1.8794,-1.8794,2015
MetLife,MET,-,0.2201,0.3277,-,12.0083,12.0083,12.1474,12.0083,8.4388,0.0813,-,-,-,8.7363,10.112,0.7025,6.8131,64.103,-0.1182,-0.1182,2014
Suncor Energy,SU,1.4389,0.2039,0.2676,60.6077,23.3634,23.3634,36.0442,20.8667,16.3461,0.5731,3.726,7.5571,48.2989,19.1663,20.8674,9.3688,15.2577,24.8516,-1.6965,-1.33,2023
Suncor Energy,SU,1.1295,0.1993,0.3202,61.6091,24.5044,24.5044,39.5317,21.0649,15.525,0.691,4.4377,9.2628,39.4048,23.0574,25.3682,10.727,18.4616,22.6406,2.3731,1.9754,2022
Suncor Energy,SU,1.0556,0.2764,0.4234,60.9473,17.4548,17.4548,32.4161,14.2452,10.5343,0.4669,3.7153,8.3872,43.5188,11.2498,12.4475,4.9189,8.1398,20.2701,4.9953,4.6194,2021
Suncor Energy,SU,0.8898,0.2786,0.5255,57.9674,-20.4255,-20.4255,17.5994,-24.3374,-17.2401,0.2961,2.9113,6.4501,56.5887,-12.0788,-13.3183,-5.1042,-8.7131,17.5016,-3.7223,-3.0568,2020
