Stock Name,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year
Anheuser-Busch,BUD,0.6289,0.4445,0.8434,53.8633,23.518,23.518,32.6305,15.3654,8.9946,0.2707,4.907,8.6737,42.0813,7.4357,-10.4961,3.1417,4.1303,53.348,-0.0287,0.1492,2023
Anheuser-Busch,BUD,0.6743,0.4835,0.9491,54.4786,25.1203,25.1203,33.9079,16.4815,10.3295,0.2714,3.9784,9.4068,38.8017,9.0143,-11.0196,3.5676,4.6562,48.514,-0.7499,-0.4214,2022
Anheuser-Busch,BUD,0.7006,0.5241,1.1196,57.4672,25.4549,25.4549,34.758,15.5845,8.5997,0.2495,4.278,10.0063,36.4772,7.7062,-7.952,2.8094,3.6675,45.6729,1.8901,1.0116,2021
Anheuser-Busch,BUD,0.8197,0.5493,1.258,58.1195,21.0832,21.0832,31.3837,4.4346,2.997,0.2071,4.3806,8.5425,42.7278,0.1876,-0.1747,0.0649,0.0846,46.2728,-1.728,-1.0914,2020
Anheuser-Busch,BUD,0.827,0.5357,1.2187,61.0885,30.9026,30.9026,39.802,24.4148,17.5257,0.2211,4.5995,7.6796,47.5283,11.8151,-11.6145,4.2215,5.4855,43.1591,0.0229,-0.1522,2019
Anheuser-Busch,BUD,0.5249,0.5981,1.5537,62.4196,31.1325,31.1325,39.8503,14.5944,8.2389,0.2268,4.7078,7.7636,47.0142,7.1722,-4.8526,2.2047,2.8823,42.4564,-0.6249,-0.8447,2018
Anheuser-Busch,BUD,0.6617,0.5759,1.4522,62.1111,30.7296,30.7296,38.3052,19.623,14.1663,0.2293,5.192,7.552,48.3313,11.4138,-8.5896,3.72,4.8401,49.9036,1.9159,2.581,2017
Anheuser-Busch,BUD,1.0656,0.5832,1.5074,60.8893,28.4553,28.4553,36.0942,9.5217,2.7265,0.1774,4.5778,6.0982,59.8537,3.3417,-2.7422,1.0605,1.3928,50.6532,-2.7051,-2.8218,2016
Anheuser-Busch,BUD,0.6429,0.4878,1.082,60.6986,30.9926,30.9926,38.2236,28.5777,18.973,0.3239,5.9878,8.4866,43.0091,21.5818,-20.1289,7.3287,11.0542,28.4287,-0.0291,-0.1535,2015
Anheuser-Busch,BUD,0.6815,0.4457,0.9422,60.147,31.938,31.938,39.0625,29.3245,19.5823,0.3302,6.3067,9.2808,39.3285,20.8305,-24.3452,7.9284,11.546,33.7608,0.0925,-0.1941,2014
Prologis,PLD,-,0.334,0.5015,-,46.2118,46.2118,70.4716,43.1756,38.0555,0.0863,-,-,-,5.6322,5.626,3.4972,3.7468,62.5533,0.5609,-1.2432,2023
Prologis,PLD,-,0.2921,0.4126,-,58.0468,58.0468,84.3087,61.7844,56.2265,0.068,-,-,-,6.1513,6.1445,4.0449,4.3497,62.6806,1.1667,-2.2644,2022
Prologis,PLD,-,0.3194,0.4694,-,67.3818,67.3818,97.603,69.816,61.6369,0.0814,-,-,-,8.3565,8.3424,5.3835,5.6775,51.0149,0.0245,0.0617,2021
Prologis,PLD,-,0.3169,0.4638,-,47.7376,47.7376,80.2581,39.36,33.1879,0.0792,-,-,-,4.4584,4.4505,2.8835,3.0403,49.1284,0.436,-0.0095,2020
Prologis,PLD,-,0.3135,0.4567,-,55.5382,55.5382,87.3178,53.3343,47.0468,0.0832,-,-,-,6.5448,6.5275,4.2512,4.4812,41.2661,0.4015,0.6659,2019
Prologis,PLD,-,0.3006,0.4298,-,60.19,60.19,92.0297,67.2606,58.6007,0.073,-,-,-,7.0844,7.0655,4.7451,4.9415,40.9788,0.0007,-3.1457,2018
Prologis,PLD,-,0.3348,0.5032,-,74.6345,74.6345,105.1474,69.3459,62.7138,0.0888,-,-,-,9.4488,9.414,5.9732,6.2627,35.1489,0.4628,1.2965,2017
Prologis,PLD,-,0.365,0.5747,-,26.3854,26.3854,58.8448,53.1793,47.4992,0.0837,-,-,-,7.0324,7.0025,4.2729,4.4468,34.9142,0.5014,0.7276,2016
Prologis,PLD,-,0.3869,0.6312,-,17.3036,17.3036,55.9246,43.1758,39.2699,0.07,-,-,-,5.0457,5.0243,2.948,3.0802,35.12,0.3243,0.1545,2015
Prologis,PLD,-,0.3808,0.6149,-,18.1628,18.1628,53.4166,40.5289,35.3385,0.0683,-,-,-,4.8942,4.869,2.8682,3.015,29.8011,0.7797,-6.1968,2014
Marsh & McLennan,MMC,1.0987,0.4891,1.0884,100,23.2319,23.2319,26.3679,22.1059,16.5201,0.4734,-,3.5425,103.0335,30.7357,-50.7542,7.9159,15.7017,25.142,1.6717,1.7687,2023
Marsh & McLennan,MMC,1.0632,0.5109,1.0694,100,20.6564,20.6564,24.1265,19.7008,14.7201,0.4697,-,3.5407,103.0878,28.719,-38.4003,6.9978,14.0471,21.7245,0.0076,-0.1317,2022
Marsh & McLennan,MMC,1.242,0.4935,0.9758,100,21.7558,21.7558,25.5247,21.2311,15.8577,0.5764,-,3.5482,102.8703,28.2837,-40.1518,9.23,14.3263,22.2864,0.2483,0.1366,2021
Marsh & McLennan,MMC,1.2439,0.5383,1.2217,100,17.8007,17.8007,22.1029,16.2158,11.7046,0.5212,-,3.2339,112.8652,22.095,-22.845,6.1908,10.2014,18.2382,1.9851,2.1293,2020
Marsh & McLennan,MMC,1.0582,0.5749,1.5052,100,16.0762,16.0762,19.9616,14.6469,10.4612,0.531,-,3.1803,114.7694,22.3215,-18.6592,5.6542,9.4894,15.7715,-0.1311,-0.3464,2019
Marsh & McLennan,MMC,1.2051,0.4208,0.7679,100,18.4682,18.4682,21.7726,15.01,11.0368,0.6928,-,3.4631,105.3983,22.02,-48.3778,7.7394,12.7539,15.0525,1.1041,1.062,2018
