Stock Name,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year
Canadian Pacific Kansas City,CP,0.5257,0.3133,0.5304,68.0207,34.9502,34.9502,47.2401,-24.317,31.2784,0.1571,10.0375,6.6534,54.859,9.25,18.0717,4.9098,6.3518,33.7068,-0.1329,-0.8344,2023
Canadian Pacific Kansas City,CP,0.5879,0.3181,0.5053,66.8482,37.7695,37.7695,47.4473,47.0275,39.9024,0.1199,10.2887,8.6752,42.074,9.0444,9.1351,4.7854,6.1673,32.1452,-0.8945,-0.4524,2022
Canadian Pacific Kansas City,CP,0.428,0.3545,0.595,71.3946,40.1001,40.1001,50.2439,45.2783,35.6723,0.1173,9.7319,9.7619,37.3902,8.4306,8.5241,4.1832,5.4421,29.0332,1.2337,1.3658,2021
Canadian Pacific Kansas City,CP,0.4979,0.5398,1.335,75.1232,42.9442,42.9442,53.048,41.5305,31.6991,0.3261,9.2212,9.3455,39.0564,33.3925,35.1503,10.3384,15.3672,8.1975,-0.1591,-0.2154,2020
Canadian Pacific Kansas City,CP,0.5279,0.5358,1.2388,70.6751,40.0924,40.0924,49.153,40.3747,31.3142,0.3484,12.5549,9.6795,37.7086,34.5169,35.553,10.9089,16.0242,7.7769,0.3149,0.1471,2019
Canadian Pacific Kansas City,CP,0.5714,0.5524,1.3104,70.0519,38.696,38.696,48.2094,35.3745,26.6676,0.3442,12.6647,8.9767,40.6609,29.4002,30.3233,9.1794,13.1593,7.2878,0.6192,0.4019,2018
Canadian Pacific Kansas City,CP,0.6421,0.5352,1.2675,70.6591,42.6152,42.6152,52.7007,38.1141,36.6952,0.3255,12.6513,9.54,38.2598,37.3621,38.48,11.9444,17.3646,6.8537,0.2045,-0.0945,2017
Canadian Pacific Kansas City,CP,0.7491,0.6518,1.8772,73.4917,41.3671,41.3671,51.6367,34.5315,25.6579,0.3242,8.9783,10.5448,34.6141,34.5655,36.1438,8.319,12.0361,4.7759,-0.2971,0.0037,2016
Canadian Pacific Kansas City,CP,1.0622,0.6505,1.8676,70.9178,40.0477,40.0477,48.9124,29.1865,20.143,0.3418,10.383,10.4062,35.0752,28.1902,29.4875,6.885,9.8521,4.9125,0.1876,0.3226,2015
Canadian Pacific Kansas City,CP,0.905,0.5022,1.0326,60.8308,35.2722,35.2722,43.6104,30.7855,22.296,0.3978,14.6506,9.4302,38.7053,23.9848,24.7616,8.0862,11.9402,-,0.0596,-0.1659,2014
Freeport-McMoRan,FCX,2.4187,0.2407,0.345,31.3279,27.2369,27.2369,36.2853,26.2787,8.0858,0.4353,2.5899,13.735,26.5745,13.7349,13.7349,7.1439,10.4293,19.0314,0.1167,-0.8914,2023
Freeport-McMoRan,FCX,2.4607,0.2781,0.427,33.7621,30.8911,30.8911,39.7542,29.4776,15.2239,0.4459,2.9129,12.6908,28.761,18.0089,18.0089,8.7664,12.9999,17.3923,-1.6641,-2.7199,2022
Freeport-McMoRan,FCX,2.517,0.2828,0.4105,38.5861,36.6207,36.6207,45.3666,33.5259,18.8488,0.4757,3.1199,13.1142,27.8324,23.3068,23.3068,11.172,16.715,15.7989,3.1408,2.7406,2021
Freeport-McMoRan,FCX,2.7226,0.3414,0.5202,17.911,17.1644,17.1644,27.9265,12.6567,4.2189,0.3369,2.9938,10.0552,36.2995,4.6336,4.6336,2.0525,3.0517,12.8038,1.0436,1.6244,2020
Freeport-McMoRan,FCX,2.4665,0.3602,0.5632,8.8668,7.5753,7.5753,17.3795,2.1247,-1.6595,0.3529,3.2224,12.3411,29.5761,-1.1004,-1.1004,-0.4705,-0.7041,12.0248,-1.6281,-2.0308,2019
Freeport-McMoRan,FCX,3.1433,0.3834,0.6227,27.711,25.5207,25.5207,34.9367,20.8933,13.9682,0.4413,2.9905,14.0908,25.9035,16.2587,16.2587,6.8908,10.0255,12.3478,-0.5596,-0.6282,2018
Freeport-McMoRan,FCX,2.1624,0.5112,1.1711,26.9646,22.4959,22.4959,32.9452,17.6919,11.0772,0.4397,2.8874,9.8517,37.0496,17.9621,17.9621,5.4394,8.7794,7.8011,0.3737,1.5382,2017
Freeport-McMoRan,FCX,2.4467,0.6151,1.7313,-18.2333,-18.4019,-18.4019,-0.8024,-23.412,-28.0108,0.3974,4.8144,7.3965,49.3476,-41.3957,-41.3957,-10.2688,-15.9322,6.4062,-0.1406,3.5967,2016
Freeport-McMoRan,FCX,1.7325,0.6203,1.6875,-87.684,-92.5036,-92.5036,-68.563,-96.7208,-83.7681,0.3136,6.7276,6.861,53.1995,-101.1292,-101.1292,-26.1502,-38.3997,9.6661,-2.4436,-1.3711,2015
Freeport-McMoRan,FCX,1.7488,0.4498,0.8387,7.5346,-1.4899,-1.4899,17.8241,-3.9998,-6.5397,0.3409,3.4497,7.8037,46.7724,-4.5475,-4.5475,-1.7418,-2.5021,21.6304,-0.6828,-2.3724,2014
CME Group,CME,1.0158,0.1136,0.1281,100,61.5838,61.5838,67.9041,74.452,57.1009,0.043,-,10.4162,35.0417,12.066,-81.0012,2.4873,10.6958,74.4303,1.099,1.1362,2023
CME Group,CME,1.0101,0.1129,0.1279,100,60.0849,60.0849,67.3089,69.5362,52.9386,0.0288,-,10.3878,35.1373,10.0117,-66.4642,1.545,8.8809,74.8852,1.815,1.8101,2022
CME Group,CME,1.0085,0.0896,0.1257,100,56.4045,56.4045,64.6225,71.9364,55.8053,0.0238,-,10.7933,33.8172,9.624,-68.7408,1.34,8.7619,76.4059,-0.8812,-0.5751,2021
CME Group,CME,1.0123,0.1156,0.1307,100,54.0052,54.0052,63.5146,55.7396,43.1075,0.0392,-,10.5866,34.4775,7.9935,-32.4666,1.6897,7.0696,73.5843,0.1135,0.2481,2020
CME Group,CME,1.0271,0.1252,0.1431,100,53.1594,53.1594,62.8821,55.2506,43.4778,0.0647,-,9.8983,36.8749,8.0881,-30.7699,2.813,7.0757,73.1786,0.3601,0.0141,2019
CME Group,CME,1.0149,0.1285,0.1695,100,60.5096,60.5096,66.2807,64.4591,45.533,0.0556,-,7.7885,46.8637,7.5628,-26.129,2.5346,6.5913,72.7672,1.9539,1.8551,2018
CME Group,CME,1.027,0.0906,0.0996,100,63.3962,63.3962,69.1168,69.3144,111.4879,0.0481,-,10.1326,36.0223,18.1306,-86.8471,5.3613,16.4878,66.0657,0.0372,0.0674,2017
