Stock Name,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year
Intuitive Surgical,ISRG,4.7555,-,-,66.3873,24.8003,24.8003,31.2868,27.4968,25.2383,0.4614,1.9618,6.3034,57.9053,13.5647,14.6416,11.7689,13.5647,38.0281,0.9568,-0.5501,2023
Intuitive Surgical,ISRG,4.397,-,-,67.436,25.3463,25.3463,32.4403,25.8237,21.2513,0.4796,2.2685,6.6046,55.2645,12.098,13.3718,10.3623,12.098,31.7503,-1.5937,-2.1363,2022
Intuitive Surgical,ISRG,5.0834,-,-,69.3245,31.8909,31.8909,37.8943,33.1045,29.8524,0.4213,2.9835,7.2954,50.0316,14.4593,15.7462,12.7488,14.4593,33.4121,1.5989,1.6168,2021
Intuitive Surgical,ISRG,6.8648,-,-,65.6479,24.0868,24.0868,30.8164,27.6937,24.3346,0.3902,2.4891,6.752,54.0583,10.9313,11.9613,9.5515,10.9313,27.6383,-0.3463,-0.1048,2020
Intuitive Surgical,ISRG,4.5259,-,-,69.4474,30.6911,30.6911,35.5164,33.5425,30.7983,0.4601,2.2977,6.9413,52.5841,16.6789,18.3357,14.1968,16.6789,23.8066,1.1776,0.5159,2019
Intuitive Surgical,ISRG,5.2805,-,-,69.9237,32.2056,32.2056,35.7876,34.3564,30.2857,0.4746,2.7386,5.4583,66.8706,16.8224,18.1865,14.3372,16.8224,19.4687,0.0031,0.0239,2018
Intuitive Surgical,ISRG,4.2379,-,-,70.1676,33.8697,33.8697,37.3749,35.2049,21.3785,0.5432,3.8814,6.1788,59.0732,14.0344,15.3051,11.6137,14.0344,14.1894,0.2054,-0.1888,2017
Intuitive Surgical,ISRG,5.4491,-,-,69.939,35.0896,35.0896,38.8657,36.405,27.2788,0.4172,4.463,6.2913,58.017,12.7782,13.239,11.3814,12.7782,16.5458,0.7097,0.7947,2016
Intuitive Surgical,ISRG,4.4633,-,-,66.176,31.0351,31.0351,35.8958,31.8109,24.6938,0.4859,4.8035,6.0472,60.3588,13.6312,14.7362,11.9985,13.6312,12.8327,0.4033,0.4771,2015
Intuitive Surgical,ISRG,3.6151,-,-,66.3227,25.5571,25.5571,30.6375,25.7541,19.6463,0.5384,3.951,6.7652,53.953,12.3927,13.7082,10.5774,12.3927,10.2593,-0.4781,-0.4995,2014
Royal Bank Of Canada,RY,-,0.0882,3.1281,-,-,-,-,34.4123,27.2507,0.0268,-,-,-,13.46,14.977,0.7414,11.511,62.3396,1.7624,2.7745,2023
Royal Bank Of Canada,RY,-,0.0848,2.7903,-,-,-,-,41.461,32.055,0.0253,-,-,-,15.6727,17.5995,0.8245,13.3731,60.7634,-21.9052,-22.2842,2022
Royal Bank Of Canada,RY,-,0.0885,2.9532,-,-,-,-,40.8972,31.283,0.0296,-,-,-,17.4309,19.2361,0.9406,14.8124,55.138,-38.2496,-38.0559,2021
Royal Bank Of Canada,RY,-,0.1021,3.4888,-,-,-,-,33.5956,26.0658,0.0264,-,-,-,14.1509,16.1738,0.704,11.8354,45.3759,64.8273,64.5489,2020
Royal Bank Of Canada,RY,-,0.105,3.0433,-,-,-,-,36.0551,29.1359,0.0309,-,-,-,16.5187,19.0076,0.9007,13.7746,43.9967,-1.9118,-1.9489,2019
Royal Bank Of Canada,RY,-,0.1025,2.8967,-,-,-,-,38.1885,29.3562,0.0309,-,-,-,16.8794,19.3838,0.9313,13.9539,43.1841,-10.2118,-10.5574,2018
Royal Bank Of Canada,RY,-,0.1107,2.2681,-,-,-,-,37.1265,28.1586,0.0326,-,-,-,16.8625,19.4574,0.9456,13.7037,39.1987,6.0155,5.6223,2017
Royal Bank Of Canada,RY,-,0.12,1.7601,-,-,-,-,36.0807,27.4316,0.0312,-,-,-,16.1143,18.7393,0.8861,12.8518,36.3938,0.1316,0.4187,2016
Royal Bank Of Canada,RY,-,0.1032,1.628,-,-,-,-,36.8835,28.442,0.0319,-,-,-,17.0377,19.3399,0.9333,14.0605,35.7147,3.8309,4.0052,2015
Royal Bank Of Canada,RY,-,0.126,1.3245,-,-,-,-,32.4036,24.9156,0.0384,-,-,-,17.1965,20.1292,0.922,13.9056,-,4.7497,4.6067,2014
NextEra Energy,NEE,0.5493,0.5153,1.2673,80.5897,36.4125,36.4125,58.2912,25.923,26.0013,0.1584,2.5912,6.1748,59.1109,10.8745,11.9255,3.5394,5.2713,28.1521,1.3891,-1.2312,2023
NextEra Energy,NEE,0.5053,0.5335,1.3443,69.5123,19.4741,19.4741,42.3316,18.2859,19.7891,0.1319,3.3035,4.1147,88.7071,6.7169,7.4669,2.0423,3.1337,24.3211,0.346,-1.248,2022
NextEra Energy,NEE,0.5327,0.5287,1.207,73.4782,17.066,17.066,41.7541,18.601,20.9327,0.1211,2.9001,4.1551,87.8446,6.2236,6.9665,2.0062,2.9331,23.1401,-0.2251,-1.4701,2021
NextEra Energy,NEE,0.4745,0.4828,1.0704,80.3356,28.427,28.427,52.4032,13.4078,16.2194,0.1409,2.2803,6.0514,60.3162,5.2728,5.8242,1.8554,2.727,22.923,-0.1447,1.263,2020
NextEra Energy,NEE,0.5348,0.4758,1.0296,77.2808,27.8744,27.8744,51.1925,19.975,19.6261,0.1632,3.2854,6.8415,53.3511,8.1915,9.1183,2.8787,4.2939,21.1452,0.7439,-5.3347,2019
NextEra Energy,NEE,0.364,0.4172,1.008,77.6888,25.5874,25.5874,50.3796,43.9529,39.6843,0.1613,3.0515,5.6339,64.7866,15.4385,15.8151,5.5698,8.9976,19.5675,0.0387,0.5684,2018
NextEra Energy,NEE,0.6387,0.5154,1.186,76.2942,30.1229,30.1229,45.4842,27.1531,31.3283,0.1753,3.198,6.2744,58.173,18.0251,18.0251,5.4337,8.7347,15.6746,-0.0014,-0.8445,2017
