Stock Name,Ticker,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share,Year
Microsoft,MSFT,1.7692,0.1692,0.2291,68.9201,41.7729,41.7729,48.3137,42.1447,34.1462,0.5144,26.3452,4.3525,83.8597,35.0887,56.1064,17.5644,29.1528,27.748,-0.087,-0.6808,2023
Microsoft,MSFT,1.7846,0.2202,0.2989,68.4017,42.0553,42.0553,49.3484,42.2232,36.6863,0.5434,16.7424,4.4796,81.4811,43.6755,82.9207,19.937,34.0575,22.3127,1.7216,1.2643,2022
Microsoft,MSFT,2.08,0.2607,0.4095,68.9258,41.5949,41.5949,48.5472,42.3005,36.4517,0.5036,19.8149,4.4184,82.6097,43.1522,72.5298,18.3568,31.9017,18.8839,2.1895,1.4887,2021
Microsoft,MSFT,2.5158,0.3349,0.5353,67.781,37.0304,37.0304,45.9777,37.0842,30.9625,0.4746,24.3156,4.4677,81.6978,37.4298,65.2006,14.6961,24.8935,15.6259,1.1664,0.9526,2020
Microsoft,MSFT,2.5288,0.3945,0.7053,65.902,34.137,34.137,43.42,34.7163,31.1817,0.4392,20.7998,4.2624,85.6326,38.3465,74.6661,13.6937,23.22,13.3887,1.1004,0.7968,2019
Microsoft,MSFT,2.9008,0.4662,0.9217,65.2474,31.7669,31.7669,41.0647,33.05,15.0154,0.4264,14.4076,4.1675,87.5822,20.0331,42.5094,6.4018,10.6937,10.7748,0.5862,0.1317,2018
Microsoft,MSFT,2.9186,0.4645,0.9827,64.5225,30.0556,30.0556,39.1453,30.9627,26.3941,0.3858,15.7089,4.3052,84.7803,29.0602,59.9981,10.1829,15.5626,11.3792,0.8854,0.8887,2017
Microsoft,MSFT,2.3529,0.3603,0.7425,64.0389,28.6087,28.6087,36.5645,28.1271,22.5322,0.4712,14.5624,4.9874,73.185,28.5276,40.7585,10.6162,18.2481,9.2209,0.5645,0.2435,2016
Microsoft,MSFT,2.4734,0.2577,0.4407,64.6955,19.4069,19.4069,33.785,19.7767,13.0295,0.5364,11.3846,5.2256,69.8485,15.2255,20.911,6.9885,11.3012,9.9767,-0.2753,-0.3425,2015
Microsoft,MSFT,2.504,0.187,0.2522,68.816,31.9683,31.9683,37.9706,32.0385,25.4212,0.5037,10.1797,4.4429,82.1526,24.5857,35.2192,12.8051,19.9893,10.8974,0.4656,0.3152,2014
Apple,AAPL,0.988,0.6052,1.7875,44.1311,29.8214,29.8214,32.8268,29.674,25.3062,1.0871,33.8236,6.2849,58.0757,156.076,156.076,27.5098,61.6127,3.9965,-0.4913,-0.5284,2023
Apple,AAPL,0.8794,0.6614,2.3695,43.3096,30.2887,30.2887,33.1047,30.204,25.3096,1.1179,45.1973,6.4716,56.4002,196.9589,196.9589,28.2924,66.6994,3.1782,1.3132,1.3146,2022
Apple,AAPL,1.0746,0.6336,1.9768,41.7794,29.7824,29.7824,32.867,29.8529,25.8818,1.0422,32.3679,7.1024,51.391,150.0713,150.0713,26.9742,54.9839,3.8407,1.5664,1.3261,2021
Apple,AAPL,1.3636,0.6016,1.7208,38.2333,24.1473,24.1473,28.1748,24.4398,20.9136,0.8476,41.753,7.3312,49.7875,87.8664,87.8664,17.7256,35.0054,3.8487,0.8709,1.0183,2020
Apple,AAPL,1.5401,0.5036,1.194,37.8178,24.572,24.572,29.3946,25.2666,21.2381,0.7686,39.4014,5.6802,64.2588,61.0645,61.0645,16.323,30.3113,5.0913,-0.14,-0.0388,2019
Apple,AAPL,1.1329,0.4666,1.0685,38.3437,26.694,26.694,30.7992,27.4489,22.4142,0.7262,41.3943,5.4209,67.3325,55.5601,55.5601,16.2775,29.6348,5.6334,0.8143,0.7414,2018
Apple,AAPL,1.2761,0.4203,0.863,38.4699,26.7604,26.7604,31.1913,27.9579,21.0924,0.6108,29.0521,6.426,56.8007,36.0702,36.0702,12.8826,20.9082,6.5373,0.047,0.033,2017
