Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Meta Platforms,META,"$17,928","$2,867","$15,061","$4,816","$4,020",-,"$8,836","$6,225",$-31,"$6,194","$2,506","$3,688",-,"$3,688",-,"$3,669","$8,170","$6,225","2,803","2,853",$1.31,$1.29,2015
Meta Platforms,META,"$12,466","$2,153","$10,313","$2,666","$2,653",-,"$5,319","$4,994",$-84,"$4,910","$1,970","$2,940",-,"$2,940",-,"$2,925","$6,237","$4,994","2,614","2,664",$1.12,$1.10,2014
Taiwan Semiconductor Manufacturing,TSM,"$70,598.8","$32,221.6","$38,377.2","$5,955.9","$2,333.9",$6.2,"$8,283.6","$30,093.6","$1,889.3","$31,982.9","$4,189.7","$27,793.2",-,"$27,793.2",-,"$27,816.5","$47,474.1","$30,093.6","5,186","5,186",$5.36,$5.36,2023
Taiwan Semiconductor Manufacturing,TSM,"$73,670.4","$29,792.9","$43,877.5","$5,312.9","$2,064.5",$-12,"$7,389.4","$36,488.1",$741.7,"$37,229.8","$4,906.5","$32,323.3",-,"$32,323.3",-,"$32,311.2","$50,717","$36,488.1","5,186","5,186",$6.23,$6.23,2022
Taiwan Semiconductor Manufacturing,TSM,"$57,224.8","$27,681.3","$29,543.5","$4,496.6","$1,603.7",$-12,"$6,112.3","$23,431.2",$470.6,"$23,901.8","$2,529","$21,372.8",-,"$21,372.8",-,"$21,354","$38,658.2","$23,431.2","5,186","5,186",$4.12,$4.12,2021
Taiwan Semiconductor Manufacturing,TSM,"$47,693.7","$22,368.6","$25,325.1","$3,899.1","$1,266.7",$25.3,"$5,140.5","$20,184.6",$639.7,"$20,824.3","$2,626","$18,198.3",-,"$18,198.3",-,"$18,188.9","$31,998.1","$20,184.6","5,186","5,186",$3.51,$3.51,2020
Taiwan Semiconductor Manufacturing,TSM,"$35,773.6","$19,300.8","$16,472.8","$3,056.5",$938.9,$-16.6,"$4,012","$12,460.8",$573.7,"$13,034.5","$1,198.1","$11,836.4",-,"$11,836.4",-,"$11,833.8","$22,052.4","$12,460.8","5,186","5,186",$2.28,$2.28,2019
Taiwan Semiconductor Manufacturing,TSM,"$33,693.7","$17,428.6","$16,265.1","$2,806.1",$857.7,$-68.7,"$3,732.5","$12,532.6",$454.8,"$12,987.4","$1,125.1","$11,862.3",-,"$11,862.3",-,"$11,860.6","$22,089.9","$12,532.6","5,186","5,186",$2.29,$2.29,2018
Taiwan Semiconductor Manufacturing,TSM,"$32,977.1","$16,282.6","$16,694.5","$2,723.8",$916.6,$-46,"$3,686.4","$13,008.1",$357.7,"$13,365.8","$1,724.8","$11,641",-,"$11,641",-,"$11,639.6","$21,784.8","$13,008.1","5,186","5,186",$2.24,$2.24,2017
Taiwan Semiconductor Manufacturing,TSM,"$29,256.5","$14,601.1","$14,655.4","$2,197.8",$793.1,$0.9,"$2,990","$11,665.4",$245.8,"$11,911.2","$1,670.5","$10,240.7",-,"$10,240.7",-,"$10,238.1","$18,573.6","$11,665.4","5,186","5,186",$1.97,$1.97,2016
Taiwan Semiconductor Manufacturing,TSM,"$26,570.64","$13,643.2","$12,927.44","$2,064.654",$722.041,$-59.24,"$2,845.94","$10,081.51",$957.006,"$11,038.51","$1,381.991","$9,656.52",-,"$9,656.52",-,"$9,657.076","$17,090.43","$10,081.51","5,186","5,186",$1.86,$1.86,2015
Taiwan Semiconductor Manufacturing,TSM,"$24,140.3","$12,187.1","$11,953.2","$1,798.4",$760.1,$-31.7,"$2,590.2","$9,363.001",$196.3,"$9,559.3","$1,515.5","$8,043.8",-,"$8,043.8",-,"$8,047.5","$15,700.1","$9,363.001","5,186","5,186",$1.55,$1.55,2014
Berkshire Hathaway,BRK.A,"$364,482","$76,486","$287,996",-,"$39,069","$-196,570","$160,784","$127,212","$-9,019","$118,193","$23,019","$95,174",-,"$97,147",-,"$96,223","$214,553","$202,067","2,175","2,175",$44.25,$44.25,2023
Berkshire Hathaway,BRK.A,"$302,020","$74,595","$227,425",-,"$36,788","$-145,765","$250,452","$-23,027","$-9,336","$-32,363","$-8,502","$-23,861",-,"$-21,998",-,"$-22,759","$-80,027","$-90,926","2,205","2,205",$-10.32,$-10.32,2022
Berkshire Hathaway,BRK.A,"$276,185","$68,347","$207,838",-,"$33,320","$-132,298","$87,076","$120,762","$-9,787","$110,975","$20,912","$90,063",-,"$90,949",-,"$89,937","$210,022","$199,304","2,267","2,267",$39.68,$39.68,2021
Berkshire Hathaway,BRK.A,"$245,579","$62,561","$183,018",-,"$32,929","$-116,249","$108,432","$74,586","$-19,550","$55,036","$12,440","$42,596",-,"$43,253",-,"$42,521","$125,928","$115,332","2,393","2,393",$17.77,$17.77,2020
Berkshire Hathaway,BRK.A,"$254,616","$60,642","$193,974",-,"$34,662","$-122,340","$84,395","$109,579","$-8,059","$101,520","$20,904","$80,616",-,"$81,792",-,"$81,417","$192,250","$182,186","2,453","2,453",$33.20,$33.20,2019
Berkshire Hathaway,BRK.A,"$247,837","$55,398","$192,439",-,"$33,901","$-121,785","$178,141","$14,298","$-8,130","$6,168",$-321,"$6,489",-,"$4,322",-,"$4,021","$1,622","$-8,157","2,467","2,467",$1.63,$1.63,2018
Berkshire Hathaway,BRK.A,"$239,933","$63,830","$176,103",-,"$33,220","$-116,570","$147,662","$28,441","$-7,617","$20,824","$-21,515","$42,339",-,"$45,353",-,"$44,940","$39,757","$30,569","2,469","2,469",$18.20,$18.20,2017
Berkshire Hathaway,BRK.A,"$215,114","$43,750","$171,364",-,"$31,107","$-109,673","$132,476","$38,888","$-6,330","$32,558","$9,240","$23,318",-,"$24,427",-,"$24,074","$56,093","$47,192","2,467","2,467",$9.76,$9.76,2016
Berkshire Hathaway,BRK.A,"$210,943","$39,457","$171,486",-,"$15,309","$-117,594","$132,903","$38,583","$-3,637","$34,946","$10,532","$24,414",-,"$24,414",-,"$24,083","$46,362","$38,583","2,466","2,466",$9.76,$9.76,2015
Berkshire Hathaway,BRK.A,"$194,699","$38,585","$156,114",-,"$13,721","$-111,009","$124,730","$31,384","$-3,279","$28,105","$7,935","$20,170",-,"$20,170",-,"$19,872","$38,754","$31,384","2,467","2,467",$8.06,$8.06,2014
Berkshire Hathaway,BRK.B,"$364,482","$76,486","$287,996",-,"$39,069","$-196,570","$160,784","$127,212","$-9,019","$118,193","$23,019","$95,174",-,"$97,147",-,"$96,223","$214,553","$202,067","2,175","2,175",$44.25,$44.25,2023
Berkshire Hathaway,BRK.B,"$302,020","$74,595","$227,425",-,"$36,788","$-145,765","$250,452","$-23,027","$-9,336","$-32,363","$-8,502","$-23,861",-,"$-21,998",-,"$-22,759","$-80,027","$-90,926","2,205","2,205",$-10.32,$-10.32,2022
Berkshire Hathaway,BRK.B,"$276,185","$68,347","$207,838",-,"$33,320","$-132,298","$87,076","$120,762","$-9,787","$110,975","$20,912","$90,063",-,"$90,949",-,"$89,937","$210,022","$199,304","2,267","2,267",$39.68,$39.68,2021
Berkshire Hathaway,BRK.B,"$245,579","$62,561","$183,018",-,"$32,929","$-116,249","$108,432","$74,586","$-19,550","$55,036","$12,440","$42,596",-,"$43,253",-,"$42,521","$125,928","$115,332","2,393","2,393",$17.77,$17.77,2020
Berkshire Hathaway,BRK.B,"$254,616","$60,642","$193,974",-,"$34,662","$-122,340","$84,395","$109,579","$-8,059","$101,520","$20,904","$80,616",-,"$81,792",-,"$81,417","$192,250","$182,186","2,453","2,453",$33.20,$33.20,2019
Berkshire Hathaway,BRK.B,"$247,837","$55,398","$192,439",-,"$33,901","$-121,785","$178,141","$14,298","$-8,130","$6,168",$-321,"$6,489",-,"$4,322",-,"$4,021","$1,622","$-8,157","2,467","2,467",$1.63,$1.63,2018
Berkshire Hathaway,BRK.B,"$239,933","$63,830","$176,103",-,"$33,220","$-116,570","$147,662","$28,441","$-7,617","$20,824","$-21,515","$42,339",-,"$45,353",-,"$44,940","$39,757","$30,569","2,469","2,469",$18.20,$18.20,2017
Berkshire Hathaway,BRK.B,"$215,114","$43,750","$171,364",-,"$31,107","$-109,673","$132,476","$38,888","$-6,330","$32,558","$9,240","$23,318",-,"$24,427",-,"$24,074","$56,093","$47,192","2,467","2,467",$9.76,$9.76,2016
Berkshire Hathaway,BRK.B,"$210,943","$39,457","$171,486",-,"$15,309","$-117,594","$132,903","$38,583","$-3,637","$34,946","$10,532","$24,414",-,"$24,414",-,"$24,083","$46,362","$38,583","2,466","2,466",$9.76,$9.76,2015
Berkshire Hathaway,BRK.B,"$194,699","$38,585","$156,114",-,"$13,721","$-111,009","$124,730","$31,384","$-3,279","$28,105","$7,935","$20,170",-,"$20,170",-,"$19,872","$38,754","$31,384","2,467","2,467",$8.06,$8.06,2014
Eli Lilly,LLY,"$34,124.1","$7,082.2","$27,041.9","$9,313.4","$7,403.1",$-67.7,"$20,584","$6,457.9",$96.7,"$6,554.6","$1,314.2","$5,240.4",-,"$5,240.4",-,"$5,240.4","$7,985.2","$6,457.9",900,903,$5.82,$5.80,2023
Eli Lilly,LLY,"$28,541.4","$6,629.8","$21,911.6","$7,190.8","$6,440.4",$-244.6,"$14,784.3","$7,127.301",$-320.9,"$6,806.4",$561.6,"$6,244.8",-,"$6,244.8",-,"$6,244.8","$8,649.801","$7,127.301",902,905,$6.93,$6.90,2022
Eli Lilly,LLY,"$28,318.4","$7,312.8","$21,005.6","$6,930.7","$6,431.6",$-316.1,"$14,648.5","$6,357.102",$-201.6,"$6,155.5",$573.8,"$5,581.7",-,"$5,581.7",-,"$5,581.7","$7,904.702","$6,357.102",907,912,$6.15,$6.12,2021
Eli Lilly,LLY,"$24,539.8","$5,483.3","$19,056.5","$5,976.3","$6,121.2",$-131.2,"$12,998.5","$6,058.002","$1,171.9","$7,229.9","$1,036.2","$6,193.7",-,"$6,193.7",-,"$6,193.7","$7,381.902","$6,058.002",908,913,$6.82,$6.79,2020
Eli Lilly,LLY,"$22,319.5","$4,721.2","$17,598.3","$5,595","$6,213.8",$-575.6,"$12,624","$4,974.301",$291.6,"$5,265.9",$628,"$4,637.9",-,"$4,637.9","$3,680.5","$8,318.4","$6,206.901","$4,974.301",931,936,$8.93,$8.89,2019
Eli Lilly,LLY,"$21,493.3","$4,681.7","$16,811.6","$5,051.2","$5,975.1",$-266.9,"$13,277.1","$3,534.5",$145.6,"$3,680.1",$529.5,"$3,150.6",-,"$3,150.6",$81.4,"$3,232","$5,143.5","$3,534.5","1,028","1,034",$3.14,$3.13,2018
Eli Lilly,LLY,"$19,973.8","$4,447.7","$15,526.1","$5,096.2","$5,982.4","$-1,331.6","$13,522.8","$2,003.301",$301.5,"$2,304.8","$2,391.2",$-86.4,-,$-86.4,$-117.7,$-204.1,"$3,570.601","$2,003.301","1,052","1,052",$-0.19,$-0.19,2017
Eli Lilly,LLY,"$21,222.1","$5,710.1","$15,512","$5,310.3","$6,528",$-382.5,"$12,250.8","$3,261.199",$112.8,"$3,374",$636.4,"$2,737.6",-,"$2,737.6",-,"$2,737.6","$4,757.799","$3,261.199","1,058","1,062",$2.59,$2.58,2016
Eli Lilly,LLY,"$19,958.7","$5,037.2","$14,921.5","$4,796.4","$6,533",$-367.7,"$12,232.1","$2,689.4",$100.6,"$2,790",$381.6,"$2,408.4",-,"$2,408.4",-,"$2,408.4","$4,117.101","$2,689.4","1,062","1,066",$2.27,$2.26,2015
Eli Lilly,LLY,"$19,615.6","$4,932.5","$14,683.1","$4,733.6","$6,620.8",$-468.7,"$12,023.3","$2,659.801",$340.5,"$3,000.3",$609.8,"$2,390.5",-,"$2,390.5",-,"$2,390.5","$4,038.801","$2,659.801","1,070","1,074",$2.23,$2.23,2014
