Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Cisco,CSCO,"$56,998","$21,245","$35,753","$7,551","$12,358",-,"$20,722","$15,031",$287,"$15,318","$2,705","$12,613",-,"$12,613",-,"$12,613","$16,757","$15,031","4,093","4,105",$3.08,$3.07,2023
Cisco,CSCO,"$51,557","$19,309","$32,248","$6,774","$11,186",-,"$18,279","$13,969",$508,"$14,477","$2,665","$11,812",-,"$11,812",-,"$11,812","$15,926","$13,969","4,170","4,192",$2.83,$2.82,2022
Cisco,CSCO,"$49,818","$17,924","$31,894","$6,549","$11,411",-,"$19,061","$12,833",$429,"$13,262","$2,671","$10,591",-,"$10,591",-,"$10,591","$14,695","$12,833","4,222","4,236",$2.51,$2.50,2021
Cisco,CSCO,"$49,301","$17,618","$31,683","$6,347","$11,094",-,"$18,063","$13,620",$350,"$13,970","$2,756","$11,214",-,"$11,214",-,"$11,214","$15,428","$13,620","4,236","4,254",$2.65,$2.64,2020
Cisco,CSCO,"$51,904","$19,238","$32,666","$6,577","$11,398",-,"$18,447","$14,219",$352,"$14,571","$2,950","$11,621",-,"$11,621",-,"$11,621","$16,116","$14,219","4,419","4,453",$2.63,$2.61,2019
Cisco,CSCO,"$49,330","$18,724","$30,606","$6,332","$11,386",-,"$18,297","$12,309",$730,"$13,039","$12,929",$110,-,$110,-,$110,"$14,501","$12,309","4,837","4,881",$0.02,$0.02,2018
Cisco,CSCO,"$48,005","$17,781","$30,224","$6,059","$11,177",-,"$18,251","$11,973",$314,"$12,287","$2,678","$9,609",-,"$9,609",-,"$9,609","$14,259","$11,973","5,010","5,049",$1.92,$1.90,2017
Cisco,CSCO,"$49,247","$18,287","$30,960","$6,296","$11,433",-,"$18,300","$12,660",$260,"$12,920","$2,181","$10,739",-,"$10,739",-,"$10,739","$14,810","$12,660","5,053","5,088",$2.13,$2.11,2016
Cisco,CSCO,"$49,161","$19,480","$29,681","$6,207","$11,861",-,"$18,911","$10,770",$431,"$11,201","$2,220","$8,981",-,"$8,981",-,"$8,981","$13,212","$10,770","5,104","5,146",$1.76,$1.75,2015
Cisco,CSCO,"$47,142","$19,373","$27,769","$6,294","$11,437",-,"$18,424","$9,345",$370,"$9,715","$1,862","$7,853",-,"$7,853",-,"$7,853","$11,784","$9,345","5,234","5,281",$1.50,$1.49,2014
Disney,DIS,"$88,898","$59,201","$29,697",-,"$15,336",-,"$24,597","$5,100",$-331,"$4,769","$1,379","$3,390",-,"$3,390",-,"$2,354","$10,469","$5,100","1,828","1,830",$1.29,$1.29,2023
Disney,DIS,"$82,722","$54,401","$28,321",-,"$16,388",-,"$21,788","$6,533","$-1,248","$5,285","$1,732","$3,553",-,"$3,553",$-48,"$3,145","$11,696","$6,533","1,822","1,827",$1.73,$1.72,2022
Disney,DIS,"$67,418","$45,131","$22,287",-,"$13,517",-,"$19,282","$3,005",$-444,"$2,561",$25,"$2,536",-,"$2,536",$-29,"$1,995","$8,116","$3,005","1,816","1,828",$1.10,$1.09,2021
Disney,DIS,"$65,388","$43,880","$21,508",-,"$12,369",-,"$23,449","$-1,941",$198,"$-1,743",$699,"$-2,442",-,"$-2,442",$-32,"$-2,864","$8,357","$-1,941","1,808","1,808",$-1.58,$-1.58,2020
Disney,DIS,"$69,607","$42,061","$27,546",-,"$11,549",-,"$16,899","$10,647","$3,276","$13,923","$3,026","$10,897",-,"$10,897",$687,"$11,054","$14,814","$10,647","1,656","1,666",$6.68,$6.64,2019
Disney,DIS,"$59,434","$32,726","$26,708",-,"$8,860",-,"$11,904","$14,804",$-75,"$14,729","$1,663","$13,066",-,"$13,066",-,"$12,598","$17,815","$14,804","1,499","1,507",$8.40,$8.36,2018
Disney,DIS,"$55,137","$30,306","$24,831",-,"$8,176",-,"$11,056","$13,775",$13,"$13,788","$4,422","$9,366",-,"$9,366",-,"$8,980","$16,557","$13,775","1,568","1,578",$5.73,$5.69,2017
Disney,DIS,"$55,632","$29,993","$25,639",-,"$8,754",-,"$11,437","$14,202",$666,"$14,868","$5,078","$9,790",-,"$9,790",-,"$9,391","$16,729","$14,202","1,629","1,639",$5.76,$5.73,2016
Disney,DIS,"$52,465","$28,364","$24,101",-,"$8,523",-,"$10,930","$13,171",$697,"$13,868","$5,016","$8,852",-,"$8,852",-,"$8,382","$15,525","$13,171","1,694","1,709",$4.95,$4.90,2015
Disney,DIS,"$48,813","$26,420","$22,393",-,"$8,565",-,"$10,993","$11,400",$846,"$12,246","$4,242","$8,004",-,"$8,004",-,"$7,501","$13,688","$11,400","1,740","1,759",$4.31,$4.26,2014
McDonald's,MCD,"$25,493.7","$10,931.2","$14,562.5",-,"$2,816.9",$-98.9,"$2,915.8","$11,646.7","$-1,124.5","$10,522.2","$2,053.4","$8,468.801",-,"$8,468.801",-,"$8,468.8","$13,624.9","$11,646.7",728,732,$11.63,$11.56,2023
McDonald's,MCD,"$23,182.6","$9,975.399","$13,207.2",-,"$2,862.6",$-973.6,"$3,836.201","$9,371","$-1,545.6","$7,825.4","$1,648","$6,177.4",-,"$6,177.4",-,"$6,177.4","$11,241.6","$9,371",737,741,$8.39,$8.33,2022
