Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
ING Group,ING,"$58,832.75","$39,219.3","$19,613.44",-,"$13,075.27",-,"$13,080.68","$6,532.766",-,"$6,533.845","$1,798.783","$4,735.063",-,"$4,735.063",-,"$4,480.722",-,-,"3,563","3,565",$1.26,$1.26,2023
ING Group,ING,"$46,568.07","$14,518.61","$32,049.46",-,"$13,760.02",-,"$13,760.02","$18,289.44",-,"$18,288.39","$5,404.968","$12,883.42",-,"$12,883.42",-,"$12,775.95",-,-,"3,619","3,624",$3.53,$3.53,2022
ING Group,ING,"$32,118.8","$8,342.038","$23,776.76",-,"$13,851.73",-,"$13,855.282","$9,921.479",-,"$9,920.294","$2,728.229","$7,192.065",-,"$7,192.065",-,"$7,040.628",-,-,"3,889","3,891",$1.81,$1.81,2021
ING Group,ING,"$30,234.4","$10,288.7","$19,945.7",-,"$15,795.72",-,"$16,064.16","$3,881.537",-,"$3,882.678","$1,222.261","$2,660.417",-,"$2,660.417",-,"$2,570.175",-,-,"3,899","3,901",$0.66,$0.66,2020
ING Group,ING,"$35,254.24","$16,075.36","$19,178.88",-,"$12,849.76",-,"$12,849.76","$6,329.121",-,"$6,331.36","$1,850.24","$4,481.12",-,"$4,481.12",-,"$4,371.36",-,-,"3,895","3,895",$1.12,$1.12,2019
ING Group,ING,"$37,923.09","$16,282.45","$21,640.64",-,"$13,390.18",-,"$13,390.18","$8,250.465",-,"$8,250.466","$2,498.996","$5,751.47",-,"$5,750.289",-,"$5,622.741",-,-,"3,889","3,890",$1.38,$1.38,2018
ING Group,ING,"$21,012.28",-,"$21,012.28",-,"$11,873.8",-,-,"$9,138.476",-,"$9,138.476","$2,869.832","$6,268.644",-,$-0.001,-,"$6,175.959",-,-,"3,883","3,886",$1.59,$1.59,2017
ING Group,ING,"$19,810.35",-,"$19,810.35",-,"$12,823.28",-,-,"$6,987.071",-,"$6,987.072","$1,886.753","$5,100.319",-,"$5,100.319",$488.011,"$5,505.335",-,-,"3,875","3,879",$1.42,$1.42,2016
ING Group,ING,"$18,379.34",-,"$18,379.34",-,"$11,762.47",-,-,"$6,616.873",-,"$6,616.874","$1,852.147","$4,764.727",-,"$4,684.778",$-506.342,"$4,452.704",-,-,"3,855","3,855",$1.16,$1.16,2015
ING Group,ING,"$20,332.97",-,"$20,332.97",-,"$13,937.71",-,-,"$6,278.283",-,"$6,279.613","$1,623.075","$4,656.538",-,"$4,551.523","$-1,868.996","$1,662.954",-,-,"3,909","3,909",$0.43,$0.43,2014
