Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Canadian Pacific Kansas City,CP,"$9,300.744","$2,974.312","$6,326.432",-,"$1,727.546",-,"$3,075.802","$3,250.63","$-5,512.293","$-2,261.662","$-5,167.821","$2,906.158",-,"$2,906.158",-,"$2,909.122","$4,393.685","$3,250.63",931,934,$3.12,$3.12,2023
Canadian Pacific Kansas City,CP,"$6,779.729","$2,247.602","$4,532.127",-,"$1,207.644",-,"$1,971.46","$2,560.667",$627.667,"$3,188.334",$483.058,"$2,705.276",-,"$2,705.276",-,"$2,705.276","$3,216.795","$2,560.667",930,933,$2.91,$2.90,2022
Canadian Pacific Kansas City,CP,"$6,379.21","$1,824.797","$4,554.413",-,"$1,252.703",-,"$1,996.346","$2,558.067",$330.331,"$2,888.398",$612.787,"$2,275.611",-,"$2,275.611",-,"$2,275.611","$3,205.164","$2,558.067",680,683,$3.35,$3.34,2021
Canadian Pacific Kansas City,CP,"$5,755.515","$1,431.787","$4,323.728",-,"$1,164.54",-,"$1,852.067","$2,471.662",$-81.369,"$2,390.293",$565.847,"$1,824.446",-,"$1,824.446",-,"$1,824.446","$3,053.185","$2,471.662",678,680,$2.69,$2.68,2020
Canadian Pacific Kansas City,CP,"$5,872.051","$1,721.976","$4,150.075",-,"$1,160.544",-,"$1,795.829","$2,354.247",$16.579,"$2,370.826",$532.042,"$1,838.784",-,"$1,838.784",-,"$1,838.784","$2,886.288","$2,354.247",694,697,$2.65,$2.64,2019
Canadian Pacific Kansas City,CP,"$5,644.294","$1,690.356","$3,953.938",-,"$1,132.562",-,"$1,769.821","$2,184.117",$-187.475,"$1,996.642",$491.446,"$1,505.197",-,"$1,505.197",-,"$1,505.197","$2,721.081","$2,184.117",715,717,$2.11,$2.10,2018
Canadian Pacific Kansas City,CP,"$5,055.755","$1,483.402","$3,572.353",-,$798.399,-,"$1,417.833","$2,154.52",$-227.563,"$1,926.957",$71.74,"$1,855.217",-,"$1,855.217",-,"$1,855.217","$2,664.416","$2,154.52",730,732,$2.54,$2.54,2017
Canadian Pacific Kansas City,CP,"$4,706.406","$1,247.59","$3,458.816",-,$897.933,-,"$1,511.911","$1,946.905",$-321.715,"$1,625.19",$417.626,"$1,207.565",-,"$1,207.565",-,"$1,207.565","$2,430.233","$1,946.905",748,753,$1.61,$1.61,2016
Canadian Pacific Kansas City,CP,"$5,259.456","$1,529.568","$3,729.888",-,"$1,074.302",$53.284,"$1,623.598","$2,106.29",$-571.237,"$1,535.053",$475.639,"$1,059.414",-,"$1,059.414",-,"$1,059.414","$2,572.526","$2,106.29",799,805,$1.33,$1.32,2015
Canadian Pacific Kansas City,CP,"$5,998.38","$2,349.51","$3,648.87",-,"$1,032.95",-,"$1,533.11","$2,115.76",$-269.11,"$1,846.63",$509.22,"$1,337.41",-,"$1,219.197",-,"$1,337.4","$2,615.92","$2,115.76",864,872,$1.41,$1.39,2014
