Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Mastercard,MA,"$25,098",-,"$25,098",-,"$9,752",$-539,-,"$14,008",$-369,"$13,639","$2,444","$11,195",-,"$11,195",-,"$11,195","$16,429","$14,008",944,946,$11.86,$11.83,2023
Mastercard,MA,"$22,237",-,"$22,237",-,"$8,867",$-356,-,"$12,264",$-532,"$11,732","$1,802","$9,930",-,"$9,930",-,"$9,930","$14,600","$12,264",968,971,$10.26,$10.22,2022
Mastercard,MA,"$18,884",-,"$18,884",-,"$7,982",$-94,-,"$10,082",$225,"$10,307","$1,620","$8,687",-,"$8,687",-,"$8,687","$12,179","$10,082",988,992,$8.79,$8.76,2021
Mastercard,MA,"$15,301",-,"$15,301",-,"$6,567",$-73,-,"$8,081",$-321,"$7,760","$1,349","$6,411",-,"$6,411",-,"$6,411","$9,733","$8,081","1,002","1,006",$6.40,$6.37,2020
Mastercard,MA,"$16,883",-,"$16,883",-,"$6,697",-,-,"$9,664",$67,"$9,731","$1,613","$8,118",-,"$8,118",-,"$8,118","$11,327","$9,664","1,017","1,022",$7.98,$7.94,2019
Mastercard,MA,"$14,950",-,"$14,950",-,"$6,081","$-1,128",-,"$7,282",$-78,"$7,204","$1,345","$5,859",-,"$5,859",-,"$5,859","$8,976","$7,282","1,041","1,047",$5.63,$5.60,2018
Mastercard,MA,"$12,497",-,"$12,497",-,"$5,424",$-15,-,"$6,622",$-100,"$6,522","$2,607","$3,915",-,"$3,915",-,"$3,915","$8,060","$6,622","1,067","1,072",$3.67,$3.65,2017
Mastercard,MA,"$10,776",-,"$10,776",-,"$4,525",$-117,-,"$5,761",$-115,"$5,646","$1,587","$4,059",-,"$4,059",-,"$4,059","$6,994","$5,761","1,098","1,101",$3.70,$3.69,2016
Mastercard,MA,"$9,667",-,"$9,667",-,"$4,162",$-61,-,"$5,078",$-120,"$4,958","$1,150","$3,808",-,"$3,808",-,"$3,808","$6,208","$5,078","1,134","1,137",$3.36,$3.35,2015
Mastercard,MA,"$9,441",-,"$9,441",-,"$4,014",-,-,"$5,106",$-27,"$5,079","$1,462","$3,617",-,"$3,617",-,"$3,617","$6,118","$5,106","1,165","1,169",$3.11,$3.10,2014
Procter & Gamble,PG,"$82,006","$42,760","$39,246",-,"$21,112",-,"$21,112","$18,134",$219,"$18,353","$3,615","$14,738",-,"$14,738",-,"$14,371","$20,848","$18,134","2,368","2,484",$6.07,$5.90,2023
Procter & Gamble,PG,"$80,187","$42,157","$38,030",-,"$20,217",-,"$20,217","$17,813",$182,"$17,995","$3,202","$14,793",-,"$14,793",-,"$14,461","$20,620","$17,813","2,410","2,539",$6.00,$5.81,2022
Procter & Gamble,PG,"$76,118","$37,108","$39,010",-,"$21,024",-,"$21,024","$17,986",$-371,"$17,615","$3,263","$14,352",-,"$14,352",-,"$14,035","$20,721","$17,986","2,466","2,601",$5.69,$5.50,2021
Procter & Gamble,PG,"$70,950","$35,250","$35,700",-,"$19,994",-,"$19,994","$15,706",$128,"$15,834","$2,731","$13,103",-,"$13,103",-,"$12,764","$18,719","$15,706","2,487","2,626",$5.13,$4.96,2020
Procter & Gamble,PG,"$67,684","$34,768","$32,916",-,"$19,084","$-8,345","$27,429","$5,487",$582,"$6,069","$2,103","$3,966",-,"$3,966",-,"$3,634","$8,311","$5,487","2,504","2,540",$1.45,$1.43,2019
Procter & Gamble,PG,"$66,832","$34,432","$32,400",-,"$19,037",-,"$19,037","$13,363",$-37,"$13,326","$3,465","$9,861",-,"$9,861",-,"$9,485","$16,197","$13,363","2,529","2,657",$3.75,$3.67,2018
Procter & Gamble,PG,"$65,058","$32,638","$32,420",-,"$18,654",-,"$18,654","$13,766",$-509,"$13,257","$3,063","$10,194",-,"$10,194","$5,217","$15,079","$16,586","$13,766","2,598","2,740",$5.80,$5.59,2017
Procter & Gamble,PG,"$65,299","$32,909","$32,390",-,"$18,949",-,"$18,949","$13,441",$-72,"$13,369","$3,342","$10,027",-,"$10,027",$577,"$10,253","$16,519","$13,441","2,699","2,844",$3.80,$3.69,2016
Procter & Gamble,PG,"$70,749","$37,056","$33,693",-,"$20,616","$-2,028","$22,644","$11,049",$-37,"$11,012","$2,725","$8,287",-,"$8,287","$-1,143","$6,777","$14,183","$11,049","2,712","2,884",$2.50,$2.44,2015
Procter & Gamble,PG,"$74,401","$39,030","$35,371",-,"$21,461",-,"$21,461","$13,910",$-401,"$13,509","$2,851","$10,658",-,"$10,658","$1,127","$11,390","$17,051","$13,910","2,720","2,905",$4.19,$4.01,2014
Oracle,ORCL,"$52,961","$15,143","$37,818","$8,915","$9,822",-,"$22,465","$15,353","$-3,612","$11,741","$1,274","$10,467",-,"$10,467",-,"$10,467","$21,492","$15,353","2,744","2,823",$3.82,$3.71,2023
Oracle,ORCL,"$49,954","$13,564","$36,390","$8,623","$10,412",-,"$23,297","$13,093","$-3,967","$9,126",$623,"$8,503",-,"$8,503",-,"$8,503","$19,201","$13,093","2,696","2,766",$3.15,$3.07,2022
Oracle,ORCL,"$42,440","$8,877","$33,563","$7,219","$9,364",-,"$22,637","$10,926","$-3,277","$7,649",$932,"$6,717",-,"$6,717",-,"$6,717","$14,048","$10,926","2,700","2,786",$2.49,$2.41,2021
Oracle,ORCL,"$40,479","$7,855","$32,624","$6,527","$8,936",-,"$17,411","$15,213","$-2,214","$12,999",$-747,"$13,746",-,"$13,746",-,"$13,746","$18,129","$15,213","2,945","3,022",$4.67,$4.55,2020
