Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
TotalEnergies SE,TTE,"$218,945","$143,041","$75,904",$573,-,"$-29,138","$42,473","$33,431","$1,380","$34,811","$13,301","$21,510",-,"$21,510",-,"$21,384","$47,249","$33,431","2,417","2,434",$8.72,$8.67,2023
TotalEnergies SE,TTE,"$263,310","$169,448","$93,862","$1,299",-,"$-34,284","$47,804","$46,058","$-2,772","$43,286","$22,242","$21,044",-,"$21,044",-,"$20,526","$59,738","$46,058","2,555","2,572",$7.91,$7.85,2022
TotalEnergies SE,TTE,"$184,634","$118,622","$66,012",$740,-,"$-27,899","$42,195","$23,817","$2,136","$25,953","$9,587","$16,366",-,"$16,366",-,"$16,032","$38,160","$23,817","2,631","2,647",$5.95,$5.92,2021
TotalEnergies SE,TTE,"$119,704","$77,486","$42,218",$731,-,"$-24,807","$47,802","$-5,584","$-1,434","$-7,018",$318,"$-7,336",-,"$-7,336",-,"$-7,242","$17,277","$-5,584","2,602","2,602",$-2.90,$-2.90,2020
TotalEnergies SE,TTE,"$176,249","$116,221","$60,028",$785,-,"$-27,284","$43,800","$16,228","$1,082","$17,310","$5,872","$11,438",-,"$11,438",-,"$11,267","$32,629","$16,228","2,683","2,702",$4.20,$4.17,2019
TotalEnergies SE,TTE,"$184,106","$125,816","$58,290",$797,-,"$-26,919","$41,708","$16,582","$1,484","$18,066","$6,516","$11,550",-,"$11,550",-,"$11,446","$31,166","$16,582","2,607","2,624",$4.27,$4.24,2018
TotalEnergies SE,TTE,"$149,099","$99,411","$49,688",$864,-,"$-22,189","$39,156","$10,532",$796,"$11,328","$3,029","$8,299",-,"$8,299",-,"$8,631","$27,143","$10,532","2,482","2,495",$3.36,$3.34,2017
TotalEnergies SE,TTE,"$127,925","$83,377","$44,548","$1,264",-,"$-24,030","$38,817","$5,731","$1,445","$7,176",$970,"$6,206",-,"$6,206",-,"$6,196","$20,154","$5,731","2,379","2,390",$2.52,$2.51,2016
TotalEnergies SE,TTE,"$143,421","$96,671","$46,750","$1,991",-,"$-22,316","$42,027","$4,723","$1,716","$6,439","$1,653","$4,786",-,"$4,786",-,"$5,087","$24,057","$4,723","2,344","2,355",$2.17,$2.16,2015
TotalEnergies SE,TTE,"$212,018","$152,975","$59,043","$1,964",-,"$-26,726","$48,346","$10,697","$2,167","$12,864","$8,614","$4,250",-,"$4,250",-,"$4,244","$31,556","$10,697","2,270","2,282",$1.87,$1.86,2014
Amgen,AMGN,"$28,190","$8,451","$19,739","$4,784","$6,179",$-879,"$11,842","$7,897",$-42,"$7,855","$1,138","$6,717",-,"$6,717",-,"$6,717","$11,968","$7,897",535,538,$12.56,$12.49,2023
Amgen,AMGN,"$26,323","$6,406","$19,917","$4,434","$5,414",$-503,"$10,351","$9,566","$-2,220","$7,346",$794,"$6,552",-,"$6,552",-,"$6,552","$12,983","$9,566",538,541,$12.18,$12.11,2022
Amgen,AMGN,"$25,979","$6,454","$19,525","$4,819","$5,368",$-194,"$11,886","$7,639",$-938,"$6,701",$808,"$5,893",-,"$5,893",-,"$5,893","$11,037","$7,639",570,573,$10.34,$10.28,2021
