Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Netflix,NFLX,"$33,723.3","$19,715.37","$14,007.93","$2,675.758","$4,378.168",-,"$7,053.92","$6,954.004",$-748.598,"$6,205.405",$797.415,"$5,407.99",-,"$5,407.99",-,"$5,407.99","$21,508.39","$6,954.004",442,449,$12.25,$12.03,2023
Netflix,NFLX,"$31,615.55","$19,168.29","$12,447.27","$2,711.041","$4,103.393",-,"$6,814.43","$5,632.832",$-368.902,"$5,263.929",$772.005,"$4,491.924",-,"$4,491.924",-,"$4,491.924","$19,995.64","$5,632.832",445,451,$10.10,$9.95,2022
Netflix,NFLX,"$29,697.84","$17,332.68","$12,365.16","$2,273.885","$3,896.767",-,"$6,170.66","$6,194.508",$-354.406,"$5,840.103",$723.875,"$5,116.228",-,"$5,116.228",-,"$5,116.228","$18,633.29","$6,194.508",443,455,$11.55,$11.24,2021
Netflix,NFLX,"$24,996.06","$15,276.32","$9,719.737","$1,829.6","$3,304.848",-,"$5,134.45","$4,585.289","$-1,385.94","$3,199.349",$437.954,"$2,761.395",-,"$2,761.395",-,"$2,761.395","$15,507.91","$4,585.289",441,454,$6.26,$6.08,2020
Netflix,NFLX,"$20,156.45","$12,440.21","$7,716.234","$1,545.149","$3,566.831",-,"$5,111.98","$2,604.254",$-542.023,"$2,062.231",$195.315,"$1,866.916",-,"$1,866.916",-,"$1,866.916","$11,924.08","$2,604.254",438,452,$4.26,$4.13,2019
Netflix,NFLX,"$15,794.34","$9,967.538","$5,826.803","$1,221.814","$2,999.763",-,"$4,221.572","$1,605.227",$-378.768,"$1,226.458",$15.216,"$1,211.242",-,"$1,211.242",-,"$1,211.242","$9,220.472","$1,605.227",435,451,$2.78,$2.68,2018
Netflix,NFLX,"$11,692.71","$8,033","$3,659.713",$953.71,"$1,867.324",-,"$2,821.03",$838.679,$-353.358,$485.321,$-73.608,$558.929,-,$558.929,-,$558.929,"$7,108.407",$838.679,432,447,$1.29,$1.25,2017
Netflix,NFLX,"$8,830.669","$6,257.462","$2,573.207",$780.232,"$1,413.182",-,"$2,193.414",$379.793,$-119.286,$260.507,$73.829,$186.678,-,$186.678,-,$186.678,"$5,304.771",$379.793,429,439,$0.44,$0.43,2016
Netflix,NFLX,"$6,779.511","$4,591.476","$2,188.035",$650.788,"$1,231.421",-,"$1,882.209",$305.826,$-163.941,$141.885,$19.244,$122.641,-,$122.641,-,$122.641,"$3,852.871",$305.826,426,436,$0.29,$0.28,2015
Netflix,NFLX,"$5,504.656","$3,752.76","$1,751.896",$472.321,$876.927,-,"$1,349.248",$402.648,$-53.279,$349.369,$82.57,$266.799,-,$266.799,-,$266.799,"$3,184.446",$402.648,421,432,$0.63,$0.62,2014
Toyota,TM,"$311,157.8","$246,516.3","$64,641.41",-,"$27,706.14",-,"$27,706.2","$36,935.25","$11,123.83","$48,059.09","$13,066.29","$34,992.8",-,"$34,992.8",-,"$34,120.04","$51,336.01","$36,935.25","1,366","1,366",$25.25,$25.25,2023
Toyota,TM,"$274,941.8","$228,225.5","$46,716.33",-,"$26,551.13",-,"$26,551.1","$20,165.2","$6,983.431","$27,148.63","$8,700.661","$18,447.96",-,"$18,447.96",-,"$18,139.75","$35,260.49","$20,165.2","1,366","1,366",$13.28,$13.28,2022
Toyota,TM,"$279,277.6","$226,129.7","$53,147.89",-,"$26,486.2",-,"$26,486.2","$26,661.69","$8,854.031","$35,515.73","$9,931.67","$25,584.06",-,"$25,584.06",-,"$25,365.98","$42,876.42","$26,661.69","1,389","1,389",$18.27,$18.27,2021
Toyota,TM,"$255,817.2","$210,392.9","$45,424.31",-,"$24,765.47",-,"$24,765.4","$20,658.84","$6,905.296","$27,564.13","$6,109.774","$21,454.35",-,"$21,454.35",-,"$21,105.45","$36,115.17","$20,658.84","1,398","1,421",$15.10,$14.86,2020
Toyota,TM,"$275,355.9","$225,605.8","$49,750.19",-,"$27,275.78",-,"$27,275.7","$22,474.41","$1,027.99","$23,502.38","$6,287.556","$17,214.83",-,"$19,709.43",-,"$19,100.88","$37,243.93","$22,474.41","1,399","1,423",$13.64,$13.42,2019
