Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Toronto Dominion Bank,TD,"$75,045.99","$37,611.22","$37,434.77",-,"$26,965.46",-,"$27,463.69","$9,971.086",$-269.128,"$9,701.96","$2,348.755","$7,353.205",-,"$7,353.205",-,"$7,576.367",-,-,"1,823","1,824",$4.16,$4.15,2023
Toronto Dominion Bank,TD,"$48,713.91","$10,625.85","$38,088.06",-,"$21,757.39",-,"$22,222.69","$15,865.37",-,"$15,865.36","$3,096.325","$12,769.04",-,"$12,769.04",-,"$13,337.66",-,-,"1,811","1,814",$7.37,$7.35,2022
Toronto Dominion Bank,TD,"$38,288.13","$4,334.385","$33,953.74",-,"$20,084.51",-,"$20,645.995","$13,307.75",$-37.379,"$13,626.67","$2,879.781","$10,746.89",-,"$10,746.89",-,"$11,173.17",-,-,"1,818","1,820",$6.15,$6.14,2021
Toronto Dominion Bank,TD,"$39,934.04","$7,465.78","$32,468.26",-,"$23,009.57",-,"$23,617.34","$8,850.922",$11.902,"$8,862.824",$856.973,"$8,005.852",-,"$8,005.852",-,"$8,650.069",-,-,"1,807","1,809",$4.78,$4.78,2020
Toronto Dominion Bank,TD,"$44,491.67","$13,594.36","$30,897.3",-,"$20,210.22",-,"$20,812.14","$10,085.17",$-131.67,"$9,953.5","$2,057.814","$7,895.686",-,"$7,895.686",-,"$8,589.398",-,-,"1,824","1,827",$4.71,$4.70,2019
Toronto Dominion Bank,TD,"$41,199.51","$11,021.61","$30,177.9",-,"$18,784.84",-,"$19,418.18","$10,759.72",$-56.728,"$10,703","$2,472.732","$8,230.268",-,"$8,230.268",-,"$8,585.4",-,-,"1,835","1,840",$4.68,$4.68,2018
Toronto Dominion Bank,TD,"$34,527.51","$6,873.525","$27,653.99",-,"$17,688.33",-,"$18,226.885","$9,427.098",$-1.53,"$9,425.565","$1,723.545","$7,702.021",-,"$7,702.021",-,"$7,805.295",-,-,"1,851","1,855",$4.22,$4.21,2017
Toronto Dominion Bank,TD,"$30,890.09","$5,006.289","$25,883.8",-,"$17,333.06",-,"$17,867.111","$8,016.697",$13.577,"$8,030.278","$1,616.465","$6,413.813",-,"$6,413.813",-,"$6,547.324",-,-,"1,853","1,857",$3.53,$3.52,2016
Toronto Dominion Bank,TD,"$30,247.71","$4,920.936","$25,326.78",-,"$16,850.13",-,"$17,383.654","$7,943.129",$-552.86,"$7,390.268","$1,227.413","$6,162.855",-,"$6,162.855",-,"$6,296.637",-,-,"1,849","1,854",$3.41,$3.40,2015
Toronto Dominion Bank,TD,"$31,463.04","$5,825.05","$25,637.99",-,"$16,462.4",-,"$17,011.48","$8,626.508",-,"$8,332.66","$1,388.31","$6,944.35",-,"$7,042.843",-,"$7,238.17",-,-,"1,839","1,845",$3.64,$3.63,2014
