Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Citigroup,C,"$156,820","$78,358","$78,462",-,"$65,552",-,"$65,552","$12,910",-,"$12,910","$3,528","$9,382",-,"$9,382",$-1,"$7,850",-,-,"1,930","1,956",$4.07,$4.04,2023
Citigroup,C,"$101,078","$25,740","$75,338",-,"$56,531",-,"$56,531","$18,807",-,"$18,807","$3,642","$15,165",-,"$15,165",$-231,"$13,700",-,-,"1,947","1,964",$7.04,$7.00,2022
Citigroup,C,"$79,865","$7,981","$71,884",-,"$44,415",-,"$44,415","$27,469",-,"$27,469","$5,451","$22,018",-,"$22,018",$7,"$20,758",-,-,"2,033","2,049",$10.21,$10.14,2021
Citigroup,C,"$88,839","$13,338","$75,501",-,"$61,869",-,"$61,869","$13,632",-,"$13,632","$2,525","$11,107",-,"$11,107",$-20,"$9,879",-,-,"2,086","2,099",$4.74,$4.72,2020
Citigroup,C,"$103,449","$28,382","$75,067",-,"$51,166",-,"$51,166","$23,901",-,"$23,901","$4,430","$19,471",-,"$19,471",$-4,"$18,171",-,-,"2,249","2,249",$8.08,$8.04,2019
Citigroup,C,"$97,120","$24,266","$72,854",-,"$49,409",-,"$49,409","$23,445",-,"$23,445","$5,357","$18,088",-,"$18,088",$-8,"$16,671",-,-,"2,493","2,493",$6.69,$6.68,2018
Citigroup,C,"$88,962","$16,518","$72,444",-,"$49,683",-,"$49,683","$22,761",-,"$22,761","$29,388","$-6,627",-,"$-6,627",$-111,"$-8,048",-,-,"2,699","2,699",$-2.98,$-2.98,2017
Citigroup,C,"$83,309","$12,512","$70,797",-,"$49,320",-,"$49,320","$21,477",-,"$21,477","$6,444","$15,033",-,"$15,033",$-58,"$13,640",-,-,"2,888","2,888",$4.72,$4.72,2016
Citigroup,C,"$88,275","$11,921","$76,354",-,"$51,528",-,"$51,528","$24,826",-,"$24,826","$7,440","$17,386",-,"$17,386",$-54,"$16,249",-,-,"3,004","3,008",$5.41,$5.40,2015
Citigroup,C,"$90,909","$13,690","$77,219",-,"$62,518",-,"$62,518","$14,701",-,"$14,701","$7,197","$7,504",-,"$7,504",$-2,"$6,688",-,-,"3,032","3,037",$2.21,$2.20,2014
BlackRock,BLK,"$17,859",-,"$17,859",-,"$7,990","$-3,382",-,"$6,275",$880,"$7,155","$1,479","$5,676",-,"$5,676",-,"$5,502","$6,702","$6,275",149,151,$36.85,$36.51,2023
BlackRock,BLK,"$17,873",-,"$17,873",-,"$7,841","$-3,405",-,"$6,385",$-95,"$6,290","$1,296","$4,994",-,"$4,994",-,"$5,178","$6,803","$6,385",151,152,$34.31,$33.97,2022
BlackRock,BLK,"$19,374",-,"$19,374",-,"$8,264","$-3,513",-,"$7,450",$723,"$8,173","$1,968","$6,205",-,"$6,205",-,"$5,901","$7,865","$7,450",152,154,$38.76,$38.22,2021
BlackRock,BLK,"$16,205",-,"$16,205",-,"$7,506","$-2,898",-,"$5,695",$829,"$6,524","$1,238","$5,286",-,"$5,286",-,"$4,932","$6,053","$5,695",154,155,$32.13,$31.85,2020
BlackRock,BLK,"$14,539",-,"$14,539",-,"$6,228","$-2,663",-,"$5,551",$236,"$5,787","$1,261","$4,526",-,"$4,526",-,"$4,476","$5,847","$5,551",156,157,$28.69,$28.43,2019
