Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Anheuser-Busch,BUD,"$59,380","$27,396","$31,984",-,"$18,173",$154,"$18,019","$13,965","$-4,842","$9,124","$2,234","$6,890",-,"$6,891",-,"$5,341","$19,376","$13,965","2,016","2,054",$2.65,$2.60,2023
Anheuser-Busch,BUD,"$57,786","$26,305","$31,481",-,"$17,555",$590,"$16,965","$14,516","$-4,993","$9,524","$1,928","$7,596",-,"$7,597",-,"$5,969","$19,594","$14,516","2,013","2,050",$2.97,$2.91,2022
Anheuser-Busch,BUD,"$54,304","$23,097","$31,207",-,"$17,575",$191,"$17,384","$13,823","$-5,361","$8,463","$2,350","$6,113",-,"$6,114",-,"$4,670","$18,875","$13,823","2,007","2,045",$2.33,$2.28,2021
Anheuser-Busch,BUD,"$46,881","$19,634","$27,247",-,"$15,369",$663,"$17,363","$9,884","$-7,805","$2,079","$1,932",$147,-,$147,"$2,055","$1,405","$14,713","$9,884","1,998","2,037",$0.70,$0.69,2020
Anheuser-Busch,BUD,"$52,329","$20,362","$31,967",-,"$16,421",$795,"$15,796","$16,171","$-3,395","$12,776","$2,786","$9,990",-,"$9,990",$424,"$9,171","$20,828","$16,171","1,984","1,984",$4.62,$4.53,2019
Anheuser-Busch,BUD,"$53,041","$19,933","$33,108",-,"$16,807",$575,"$16,595","$16,513","$-8,772","$7,741","$2,585","$5,156",-,"$5,156",$531,"$4,370","$21,137","$16,513","1,975","2,011",$2.21,$2.17,2018
Anheuser-Busch,BUD,"$56,444","$21,386","$35,058",-,"$18,099",$854,"$17,713","$17,345","$-6,271","$11,076","$1,920","$9,156",-,"$9,156",$28,"$7,996","$21,621","$17,345","1,971","2,010",$4.06,$3.98,2017
Anheuser-Busch,BUD,"$45,517","$17,803","$27,714",-,"$15,171",$732,"$14,762","$12,952","$-8,619","$4,334","$1,613","$2,721",-,"$2,721",$48,"$1,241","$16,429","$12,952","1,717","1,755",$0.72,$0.71,2016
Anheuser-Busch,BUD,"$43,604","$17,137","$26,467",-,"$13,732","$1,032","$12,953","$13,514","$-1,054","$12,461","$2,594","$9,867",-,"$9,867",-,"$8,273","$16,667","$13,514","1,638","1,668",$5.05,$4.96,2015
Anheuser-Busch,BUD,"$47,063","$18,756","$28,307",-,"$14,385","$1,386","$13,276","$15,031","$-1,230","$13,801","$2,499","$11,302",-,"$11,302",-,"$9,216","$18,384","$15,031","1,634","1,665",$5.64,$5.54,2014
