Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Intuitive Surgical,ISRG,"$7,124.1","$2,394.6","$4,729.5",$998.8,"$1,963.9",-,"$2,962.7","$1,766.8",$192.1,"$1,958.9",$141.6,"$1,817.3",-,"$1,817.3",-,"$1,798","$2,228.9","$1,766.8",351,357,$5.12,$5.03,2023
Intuitive Surgical,ISRG,"$6,222.2","$2,026.2","$4,196",$879,"$1,739.9",-,"$2,618.9","$1,577.1",$29.7,"$1,606.8",$262.4,"$1,344.4",-,"$1,344.4",-,"$1,322.3","$2,018.5","$1,577.1",356,362,$3.72,$3.65,2022
Intuitive Surgical,ISRG,"$5,710.1","$1,751.6","$3,958.5",$671,"$1,466.5",-,"$2,137.5","$1,821",$69.3,"$1,890.3",$162.2,"$1,728.1",-,"$1,728.1",-,"$1,704.6","$2,163.8","$1,821",356,366,$4.79,$4.66,2021
Intuitive Surgical,ISRG,"$4,358.4","$1,497.2","$2,861.2",$595.1,"$1,216.3",-,"$1,811.4","$1,049.8",$157.2,"$1,207",$140.2,"$1,066.8",-,"$1,066.8",-,"$1,060.6","$1,343.1","$1,049.8",351,361,$3.02,$2.94,2020
Intuitive Surgical,ISRG,"$4,478.5","$1,368.3","$3,110.2",$557.3,"$1,178.4",-,"$1,735.7","$1,374.5",$127.7,"$1,502.2",$120.4,"$1,381.8",-,"$1,381.8",-,"$1,379.3","$1,590.6","$1,374.5",346,358,$3.98,$3.85,2019
Intuitive Surgical,ISRG,"$3,724.2","$1,120.1","$2,604.1",$418.1,$986.6,-,"$1,404.7","$1,199.4",$80.1,"$1,279.5",$154.5,"$1,125",-,"$1,125",-,"$1,127.9","$1,332.8","$1,199.4",341,356,$3.31,$3.16,2018
Intuitive Surgical,ISRG,"$3,138.2",$936.2,"$2,202",$328.6,$810.5,-,"$1,139.1","$1,062.9",$41.9,"$1,104.8",$433.9,$670.9,-,$670.9,-,$670.9,"$1,172.9","$1,062.9",335,349,$2.00,$1.92,2017
Intuitive Surgical,ISRG,"$2,706.5",$813.6,"$1,892.9",$239.6,$703.6,-,$943.2,$949.7,$35.6,$985.3,$247,$738.3,-,$738.3,-,$738.3,"$1,051.9",$949.7,345,354,$2.14,$2.09,2016
Intuitive Surgical,ISRG,"$2,384.4",$806.5,"$1,577.9",$197.4,$640.5,-,$837.9,$740,$18.5,$758.5,$169.7,$588.8,-,$588.8,-,$588.8,$855.9,$740,334,341,$1.76,$1.73,2015
Intuitive Surgical,ISRG,"$2,131.7",$717.9,"$1,413.8",$178,$691,-,$869,$544.8,$4.2,$549,$130.2,$418.8,-,$418.8,-,$418.8,$653.1,$544.8,332,339,$1.26,$1.23,2014
Royal Bank Of Canada,RY,"$87,478.53","$45,864.49","$41,614.04",-,"$26,820.88",-,"$27,923.35","$13,690.7",-,"$13,690.69","$2,669.04","$11,021.65",-,"$11,021.65",-,"$10,841.49",-,-,"1,391","1,393",$7.79,$7.78,2023
Royal Bank Of Canada,RY,"$52,075.89","$14,024.35","$38,051.55",-,"$21,367.44",-,"$22,430.88","$15,620.67",-,"$15,620.67","$3,341.794","$12,278.88",-,"$12,278.88",-,"$12,076.91",-,-,"1,404","1,406",$8.60,$8.59,2022
Royal Bank Of Canada,RY,"$45,996.97","$6,476.128","$39,520.84",-,"$22,089.46",-,"$23,113.012","$16,407.83",-,"$16,407.83","$3,643.269","$12,764.56",-,"$12,764.56",-,"$12,550.63",-,-,"1,424","1,427",$8.81,$8.80,2021
Royal Bank Of Canada,RY,"$45,548.25","$10,450.31","$35,097.94",-,"$23,446.98",-,"$24,393.97","$10,703.97",-,"$10,703.98","$2,195.993","$8,507.984",-,"$8,507.984",-,"$8,304.899",-,-,"1,424","1,429",$5.83,$5.82,2020
