Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Altria,MO,"$24,483","$10,199","$14,284",-,"$2,737",-,"$2,737","$11,547",$-619,"$10,928","$2,798","$8,130",-,"$8,130",-,"$8,113","$11,819","$11,547","1,777","1,777",$4.57,$4.57,2023
Altria,MO,"$25,096","$10,850","$14,246",-,"$2,327",-,"$2,327","$11,919","$-4,530","$7,389","$1,625","$5,764",-,"$5,764",-,"$5,751","$12,145","$11,919","1,804","1,804",$3.19,$3.19,2022
Altria,MO,"$26,013","$12,021","$13,992",-,"$2,432",-,"$2,432","$11,560","$-7,736","$3,824","$1,349","$2,475",-,"$2,475",-,"$2,464","$11,804","$11,560","1,845","1,845",$1.34,$1.34,2021
Altria,MO,"$26,153","$13,130","$13,023",-,"$2,150",-,"$2,150","$10,873","$-3,983","$6,890","$2,436","$4,454",-,"$4,454",-,"$4,459","$11,130","$10,873","1,858","1,859",$2.40,$2.40,2020
Altria,MO,"$25,110","$12,399","$12,711",-,"$2,226",$-159,"$2,385","$10,326","$-9,560",$766,"$2,064","$-1,298",-,"$-1,298",-,"$-1,300","$10,552","$10,326","1,869","1,869",$-0.70,$-0.70,2019
Altria,MO,"$25,364","$13,110","$12,254",-,"$2,756",$-383,"$3,139","$9,115",$226,"$9,341","$2,374","$6,967",-,"$6,967",-,"$6,955","$9,342","$9,115","1,887","1,888",$3.69,$3.68,2018
Altria,MO,"$25,576","$13,613","$11,963",-,"$2,338",$-32,"$2,370","$9,593",$235,"$9,828",$-399,"$10,227",-,"$10,227",-,"$10,208","$9,802","$9,593","1,921","1,921",$5.31,$5.31,2017
Altria,MO,"$25,744","$14,172","$11,572",-,"$2,662",$-149,"$2,811","$8,761","$13,091","$21,852","$7,608","$14,244",-,"$14,244",-,"$14,215","$8,965","$8,761","1,952","1,952",$7.28,$7.28,2016
Altria,MO,"$25,434","$14,320","$11,114",-,"$2,708",$-45,"$2,753","$8,361",$-283,"$8,078","$2,835","$5,243",-,"$5,243",-,"$5,231","$8,586","$8,361","1,961","1,961",$2.67,$2.67,2015
Altria,MO,"$24,522","$14,362","$10,160",-,"$2,539",$-1,"$2,540","$7,620",$154,"$7,774","$2,704","$5,070",-,"$5,070",-,"$5,058","$7,828","$7,620","1,978","1,978",$2.56,$2.56,2014
