Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Carrier Global,CARR,"$22,098","$15,715","$6,383",$617,"$3,297",$-173,"$4,087","$2,296",$-212,"$2,084",$644,"$1,440",-,"$1,440",-,"$1,349","$2,838","$2,296",837,853,$1.61,$1.58,2023
Carrier Global,CARR,"$20,421","$14,957","$5,464",$539,"$2,512","$2,102",$949,"$4,515",$-223,"$4,292",$708,"$3,584",-,"$3,584",-,"$3,534","$4,895","$4,515",843,861,$4.19,$4.10,2022
Carrier Global,CARR,"$20,613","$14,633","$5,980",$503,"$3,120",$288,"$3,335","$2,645",$-245,"$2,400",$699,"$1,701",-,"$1,701",-,"$1,664","$2,983","$2,645",868,890,$1.92,$1.87,2021
Carrier Global,CARR,"$17,456","$12,347","$5,109",$419,"$2,820","$1,213","$2,026","$3,083",$-228,"$2,855",$849,"$2,006",-,"$2,006",-,"$1,982","$3,419","$3,083",867,880,$2.29,$2.25,2020
Carrier Global,CARR,"$18,608","$13,189","$5,419",$401,"$2,761",$234,"$2,928","$2,491",$181,"$2,672",$517,"$2,155",-,"$2,155",-,"$2,116","$2,826","$2,491",866,866,$2.44,$2.44,2019
Carrier Global,CARR,"$18,914","$13,345","$5,569",$400,"$2,689","$1,157","$1,932","$3,637",$205,"$3,842","$1,073","$2,769",-,"$2,769",-,"$2,734","$3,994","$3,637",866,866,$3.16,$3.16,2018
Carrier Global,CARR,"$17,814","$12,629","$5,185",$364,"$2,584",$793,"$2,155","$3,030",$24,"$3,054","$1,787","$1,267",-,"$1,267",-,"$1,227","$3,402","$3,030",-,-,-,-,2017
Carrier Global,CARR,,,,,,,,,,,,,,,,,,,,,,,2016
Carrier Global,CARR,,,,,,,,,,,,,,,,,,,,,,,2015
Carrier Global,CARR,,,,,,,,,,,,,,,,,,,,,,,2014
Phillips 66,PSX,"$147,399","$128,086","$19,313",-,"$3,232","$-5,733","$10,942","$8,371","$1,098","$9,469","$2,230","$7,239",-,"$7,239",-,"$7,015","$10,377","$8,371",450,453,$15.56,$15.48,2023
Phillips 66,PSX,"$169,990","$149,932","$20,058",-,"$2,698","$-3,450","$7,777","$12,281","$2,358","$14,639","$3,248","$11,391",-,"$11,391",-,"$11,024","$13,933","$12,281",471,474,$23.36,$23.27,2022
Phillips 66,PSX,"$111,476","$102,102","$9,374",-,"$2,154","$-6,197","$9,956",$-582,"$2,322","$1,740",$146,"$1,594",-,"$1,594",-,"$1,317","$1,047",$-582,440,440,$2.97,$2.97,2021
Phillips 66,PSX,"$64,129","$57,707","$6,422",-,"$2,008","$-8,663","$12,066","$-5,644",$680,"$-4,964","$-1,250","$-3,714",-,"$-3,714",-,"$-3,975","$-4,227","$-5,644",440,440,$-9.06,$-9.06,2020
Phillips 66,PSX,"$107,293","$95,529","$11,764",-,"$2,090","$-5,819","$9,250","$2,514","$1,664","$4,178",$801,"$3,377",-,"$3,377",-,"$3,076","$3,878","$2,514",451,454,$6.80,$6.77,2019
Phillips 66,PSX,"$111,461","$97,930","$13,531",-,"$2,102","$-4,831","$8,289","$5,242","$2,203","$7,445","$1,572","$5,873",-,"$5,873",-,"$5,595","$6,621","$5,242",471,474,$11.87,$11.80,2018
Phillips 66,PSX,"$102,354","$79,409","$22,945",-,"$15,157","$-4,209","$20,684","$2,261","$1,294","$3,555","$-1,693","$5,248",-,"$5,248",-,"$5,106","$3,601","$2,261",515,519,$9.90,$9.85,2017
Phillips 66,PSX,"$84,279","$62,468","$21,811",-,"$15,326","$-4,217","$20,711","$1,100","$1,091","$2,191",$547,"$1,644",-,"$1,644",-,"$1,555","$2,289","$1,100",528,530,$2.94,$2.92,2016
Phillips 66,PSX,"$98,975","$73,399","$25,576",-,"$15,747","$-3,921","$20,746","$4,830","$1,214","$6,044","$1,764","$4,280",-,"$4,280",-,"$4,227","$5,929","$4,830",542,547,$7.78,$7.73,2015
Phillips 66,PSX,"$161,212","$135,748","$25,464",-,"$16,703","$-4,194","$21,892","$3,572","$2,173","$5,745","$1,654","$4,091",-,"$4,091",$706,"$4,762","$4,591","$3,572",566,572,$8.40,$8.33,2014
