Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Motorola Solutions,MSI,"$9,978","$5,008","$4,970",$858,"$1,561",$-257,"$2,676","$2,294",$-148,"$2,146",$432,"$1,714",-,"$1,714",-,"$1,709","$2,650","$2,294",167,172,$10.23,$9.93,2023
Motorola Solutions,MSI,"$9,112","$4,883","$4,229",$779,"$1,450",$-339,"$2,568","$1,661",$-146,"$1,515",$148,"$1,367",-,"$1,367",-,"$1,363","$2,101","$1,661",168,172,$8.14,$7.93,2022
Motorola Solutions,MSI,"$8,171","$4,131","$4,040",$734,"$1,353",$-286,"$2,373","$1,667",$-115,"$1,552",$302,"$1,250",-,"$1,250",-,"$1,245","$2,105","$1,667",169,174,$7.36,$7.17,2021
Motorola Solutions,MSI,"$7,414","$3,806","$3,608",$686,"$1,293",$-246,"$2,225","$1,383",$-209,"$1,174",$221,$953,-,$953,-,$949,"$1,792","$1,383",170,174,$5.58,$5.45,2020
Motorola Solutions,MSI,"$7,887","$3,956","$3,931",$687,"$1,403",$-260,"$2,350","$1,581",$-580,"$1,001",$130,$871,-,$871,-,$868,"$1,975","$1,581",167,176,$5.21,$4.95,2019
Motorola Solutions,MSI,"$7,343","$3,863","$3,480",$637,"$1,254",$-334,"$2,225","$1,255",$-153,"$1,102",$133,$969,-,$969,-,$966,"$1,615","$1,255",162,172,$5.95,$5.62,2018
Motorola Solutions,MSI,"$6,380","$3,356","$3,024",$568,"$1,025",$-147,"$1,740","$1,284",$-208,"$1,076","$1,227",$-151,-,$-151,-,$-155,"$1,627","$1,284",163,163,$-0.95,$-0.95,2017
Motorola Solutions,MSI,"$6,038","$3,169","$2,869",$553,"$1,044",$-224,"$1,821","$1,048",$-204,$844,$282,$562,-,$562,-,$560,"$1,343","$1,048",170,173,$3.30,$3.24,2016
Motorola Solutions,MSI,"$5,695","$2,976","$2,719",$620,"$1,021",$-84,"$1,725",$994,$-77,$917,$274,$643,-,$643,$-30,$610,"$1,144",$994,200,202,$3.06,$3.02,2015
Motorola Solutions,MSI,"$5,881","$3,050","$2,831",$681,"$1,184","$-1,972","$3,837","$-1,006",$-155,"$-1,161",$-465,$-696,-,$-696,"$1,996","$1,299",$-833,"$-1,006",246,246,$5.29,$5.29,2014
Northrop Grumman,NOC,"$39,290","$32,739","$6,551",-,"$4,014",-,"$4,014","$2,537",$-191,"$2,346",$290,"$2,056",-,"$2,056",-,"$2,056","$3,875","$2,537",152,152,$13.57,$13.53,2023
Northrop Grumman,NOC,"$36,602","$29,128","$7,474",-,"$3,873",-,"$3,873","$3,601","$2,235","$5,836",$940,"$4,896",-,"$4,896",-,"$4,896","$4,943","$3,601",155,156,$31.61,$31.47,2022
Northrop Grumman,NOC,"$35,667","$28,399","$7,268",-,"$3,597","$1,980","$1,617","$5,651","$3,287","$8,938","$1,933","$7,005",-,"$7,005",-,"$7,005","$6,890","$5,651",160,161,$43.70,$43.54,2021
Northrop Grumman,NOC,"$36,799","$29,321","$7,478",-,"$3,413",-,"$3,413","$4,065",$-337,"$3,728",$539,"$3,189",-,"$3,189",-,"$3,189","$5,332","$4,065",167,168,$19.08,$19.03,2020
Northrop Grumman,NOC,"$33,841","$26,582","$7,259",-,"$3,290",-,"$3,290","$3,969","$-1,421","$2,548",$300,"$2,248",-,"$2,248",-,"$2,248","$5,234","$3,969",169,170,$13.28,$13.22,2019
Northrop Grumman,NOC,"$30,095","$23,304","$6,791",-,"$3,011",-,"$3,011","$3,780",$-38,"$3,742",$513,"$3,229",-,"$3,229",-,"$3,229","$4,580","$3,780",174,175,$18.59,$18.49,2018
Northrop Grumman,NOC,"$26,004","$20,074","$5,930",-,"$2,712",-,"$2,712","$3,218","$1,011","$4,229","$1,360","$2,869",-,"$2,869",-,"$2,869","$3,693","$3,218",174,176,$16.45,$16.34,2017
Northrop Grumman,NOC,"$24,706","$18,797","$5,909",-,"$2,632",-,"$2,632","$3,277",$-596,"$2,681",$638,"$2,043",-,"$2,043",-,"$2,043","$3,733","$3,277",179,181,$11.42,$11.32,2016
Northrop Grumman,NOC,"$23,526","$17,884","$5,642",-,"$2,566",-,"$2,566","$3,076",$-286,"$2,790",$800,"$1,990",-,"$1,990",-,"$1,990","$3,543","$3,076",189,192,$10.51,$10.39,2015
Northrop Grumman,NOC,"$23,979","$18,378","$5,601",-,"$2,405",-,"$2,405","$3,196",$-259,"$2,937",$868,"$2,069",-,"$2,069",-,"$2,069","$3,658","$3,196",209,212,$9.91,$9.75,2014
Air Products And Chemicals,APD,"$12,600","$8,833","$3,767",$105.6,$957,$34.8,"$1,272.4","$2,494.601",$387.8,"$2,882.4",$551.2,"$2,331.2",-,"$2,331.2",$7.4,"$2,300.2","$3,852.901","$2,494.601",222,223,$10.35,$10.33,2023
Air Products And Chemicals,APD,"$12,698.6","$9,338.5","$3,360.1",$102.9,$900.6,$55.9,"$1,021.3","$2,338.8",$415.9,"$2,754.7",$500.8,"$2,253.9",-,"$2,253.9",$12.6,"$2,256.1","$3,677","$2,338.8",222,223,$10.16,$10.14,2022
Air Products And Chemicals,APD,"$10,323","$7,186.1","$3,136.9",$93.5,$828.4,$66.4,$855.5,"$2,281.4",$226,"$2,507.4",$462.8,"$2,044.6",-,"$2,044.6",$70.3,"$2,099.1","$3,602.7","$2,281.4",222,223,$9.47,$9.43,2021
Air Products And Chemicals,APD,"$8,856.3","$5,858.1","$2,998.2",$83.9,$775.9,$99.2,$760.6,"$2,237.6",$186.2,"$2,423.8",$478.4,"$1,945.4",-,"$1,945.4",$-14.3,"$1,886.7","$3,422.6","$2,237.6",221,222,$8.53,$8.49,2020
Air Products And Chemicals,APD,"$8,918.9","$5,975.5","$2,943.4",$72.9,$750,$49.2,$799.2,"$2,144.201",$145.1,"$2,289.5",$480.1,"$1,809.4",-,"$1,809.4",-,"$1,760","$3,227.001","$2,144.201",220,222,$7.99,$7.94,2019
Air Products And Chemicals,APD,"$8,930.2","$6,189.5","$2,740.7",$64.5,$760.8,$50.2,$775.1,"$1,965.601",$49.4,"$2,015",$524.3,"$1,490.7",-,"$1,490.7",$42.2,"$1,497.8","$2,936.301","$1,965.601",219,221,$6.83,$6.78,2018
Air Products And Chemicals,APD,"$8,187.6","$5,751.5","$2,436.1",$57.6,$713.5,$-30.4,$996.1,"$1,440",$-23.9,"$1,416.1",$260.9,"$1,155.2",-,"$1,155.2","$1,866","$3,000.4","$2,305.8","$1,440",218,220,$13.76,$13.65,2017
Air Products And Chemicals,APD,"$7,503.7","$5,177.3","$2,326.4",$71.8,$683.8,$49.4,$791.3,"$1,535.101",$19.5,"$1,554.6",$432.6,"$1,122",-,"$1,122",$-460.5,$631.1,"$2,389.701","$1,535.101",216,218,$2.92,$2.89,2016
Air Products And Chemicals,APD,"$7,824.3","$5,598.2","$2,226.1",$76.4,$773,$63.4,$992.9,"$1,233.2",$32.9,"$1,266.1",$300.2,$965.9,-,$965.9,$351.7,"$1,277.9","$2,091.7","$1,233.2",215,217,$5.95,$5.88,2015
Air Products And Chemicals,APD,"$10,439","$7,629.9","$2,809.1",$139.8,"$1,054.7",$52.8,"$1,470","$1,339.1",$26.3,"$1,365.4",$369.4,$996,-,$996,$-2.9,$991.7,"$2,296","$1,339.1",213,215,$4.66,$4.61,2014
Coinbase Global,COIN,"$3,108.383",$420.705,"$2,687.678","$1,324.541","$1,373.62",$-43.26,"$2,849.34",$-161.662,$84.817,$-76.845,$-171.716,$94.871,-,$94.871,-,$94.871,$-22.02,$-161.662,236,254,$0.40,$0.37,2023
Coinbase Global,COIN,"$3,194.208",$629.88,"$2,564.328","$2,326.354","$2,110.675",$-74.593,"$5,274.536","$-2,710.208",$-354.374,"$-3,064.582",$-439.633,"$-2,624.949",-,"$-2,624.949",-,"$-2,624.949","$-2,556.139","$-2,710.208",222,222,$-11.81,$-11.83,2022
Coinbase Global,COIN,"$7,839.444","$1,267.924","$6,571.52","$1,291.561","$1,573.081",$-477.148,"$3,494.95","$3,076.57",$-49.623,"$3,026.947",$-597.173,"$3,624.12",-,"$3,624.12",-,"$3,624.12","$3,140.221","$3,076.57",177,220,$17.47,$14.50,2021
Coinbase Global,COIN,"$1,277.481",$135.514,"$1,141.967",$271.732,$336.662,$-124.622,$733.016,$408.951,$0.248,$409.199,$86.882,$322.317,-,$322.317,-,$322.317,$439.913,$408.951,69,91,$1.58,$1.40,2020
Coinbase Global,COIN,$533.735,$82.055,$451.68,$185.044,$256.079,$-46.2,$497.463,$-45.783,$0.367,$-45.416,$-15.029,$-30.387,-,$-30.387,-,$-30.387,$-28.905,$-45.783,61,61,$-0.50,$-0.50,2019
Coinbase Global,COIN,,,,,,,,,,,,,,,,,,,,,,,2018
Coinbase Global,COIN,,,,,,,,,,,,,,,,,,,,,,,2017
Coinbase Global,COIN,,,,,,,,,,,,,,,,,,,,,,,2016
Coinbase Global,COIN,,,,,,,,,,,,,,,,,,,,,,,2015
Coinbase Global,COIN,,,,,,,,,,,,,,,,,,,,,,,2014
Emerson Electric,EMR,"$15,165","$7,738","$7,427",-,"$4,186",$161,"$4,025","$3,402",$-676,"$2,726",$599,"$2,127",-,"$2,127","$11,073","$13,219","$4,453","$3,402",574,577,$23.00,$22.88,2023
Emerson Electric,EMR,"$13,804","$7,498","$6,306",-,"$3,614",$453,"$3,161","$3,145",$-713,"$2,432",$549,"$1,883",-,"$1,883","$1,347","$3,231","$3,987","$3,145",593,596,$5.44,$5.41,2022
Emerson Electric,EMR,"$12,932","$7,202","$5,730",-,"$3,494",-,"$3,494","$2,236",$-474,"$1,762",$346,"$1,416",-,"$1,416",$911,"$2,303","$2,998","$2,236",598,602,$3.85,$3.82,2021
Emerson Electric,EMR,"$16,785","$9,776","$7,009",-,"$3,986",-,"$3,986","$3,023",$-688,"$2,335",$345,"$1,990",-,"$1,990",-,"$1,965","$3,877","$3,023",603,607,$3.26,$3.24,2020
Emerson Electric,EMR,"$18,372","$10,557","$7,815",-,"$4,457",-,"$4,457","$3,358",$-499,"$2,859",$531,"$2,328",-,"$2,328",-,"$2,306","$4,180","$3,358",616,621,$3.74,$3.71,2019
Emerson Electric,EMR,"$17,408","$9,976","$7,432",-,"$4,269",-,"$4,269","$3,163",$-496,"$2,667",$443,"$2,224",-,"$2,224",-,"$2,203","$3,921","$3,163",632,635,$3.48,$3.46,2018
Emerson Electric,EMR,"$15,264","$8,833","$6,431",-,"$3,607",-,"$3,607","$2,824",$-489,"$2,335",$660,"$1,675",-,"$1,675",$-125,"$1,518","$3,460","$2,824",642,643,$2.35,$2.35,2017
Emerson Electric,EMR,"$14,522","$8,260","$6,262",-,"$3,464",-,"$3,464","$2,798",$-482,"$2,316",$697,"$1,619",-,"$1,619",$45,"$1,635","$3,366","$2,798",644,647,$2.53,$2.52,2016
Emerson Electric,EMR,"$16,249","$9,241","$7,008",-,"$3,735","$1,039","$2,696","$4,312",$-505,"$3,807","$1,267","$2,540",-,"$2,540",$193,"$2,710","$4,885","$4,312",673,677,$4.01,$3.99,2015
Emerson Electric,EMR,"$17,733","$9,971","$7,762",-,"$4,164",-,"$4,164","$3,598",$-407,"$3,191",$953,"$2,238",-,"$2,238",$-54,"$2,147","$4,167","$3,598",700,704,$3.05,$3.03,2014
Bank Of Montreal,BMO,"$50,483.41","$27,352.47","$23,130.94",-,"$18,031.59",-,"$18,784.11","$4,346.824",-,"$4,346.828","$1,101.72","$3,245.108",-,"$3,245.108",-,"$2,990.808",-,-,709,711,$4.22,$4.21,2023
