Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Interactive Brokers,IBKR,"$4,340",$386,"$3,954",-,$878,-,$878,"$3,076",$-7,"$3,069",$257,"$2,812",-,"$2,812",-,$600,"$3,170","$3,076",105,106,$5.72,$5.67,2023
Interactive Brokers,IBKR,"$3,067",$324,"$2,743",-,$742,-,$742,"$2,001",$-3,"$1,998",$156,"$1,842",-,"$1,842",-,$380,"$2,085","$2,001",100,101,$3.78,$3.75,2022
Interactive Brokers,IBKR,"$2,714",$236,"$2,478",-,$688,-,$688,"$1,790",$-3,"$1,787",$151,"$1,636",-,"$1,636",-,$308,"$1,864","$1,790",94,95,$3.27,$3.24,2021
Interactive Brokers,IBKR,"$2,218",$293,"$1,925",-,$656,-,$656,"$1,269",$-13,"$1,256",$77,"$1,179",-,"$1,179",-,$195,"$1,331","$1,269",80,81,$2.44,$2.42,2020
Interactive Brokers,IBKR,"$1,937",$251,"$1,686",-,$485,-,$485,"$1,201",$-44,"$1,157",$68,"$1,089",-,"$1,089",-,$161,"$1,253","$1,201",76,77,$2.11,$2.10,2019
Interactive Brokers,IBKR,"$1,903",$269,"$1,634",-,$434,-,$434,"$1,200",$-4,"$1,196",$71,"$1,125",-,"$1,125",-,$169,"$1,226","$1,200",73,74,$2.30,$2.28,2018
Interactive Brokers,IBKR,"$1,702",$241,"$1,461",-,$410,-,$410,"$1,051",$-2,"$1,049",$256,$793,-,$793,-,$76,"$1,076","$1,051",70,71,$1.09,$1.07,2017
Interactive Brokers,IBKR,"$1,396",$244,"$1,152",-,$385,-,$385,$767,$-6,$761,$62,$699,-,$699,-,$84,$792,$767,66,67,$1.28,$1.25,2016
Interactive Brokers,IBKR,"$1,189",$231,$958,-,$354,-,$354,$604,$-146,$458,$43,$415,-,$415,-,$49,$626,$604,61,63,$0.80,$0.78,2015
Interactive Brokers,IBKR,"$1,043",$212,$831,-,$322,-,$322,$509,$-3,$506,$47,$459,-,$459,-,$45,$529,$509,56,58,$0.79,$0.77,2014
Eni SpA,E,"$102,619.4","$79,912.7","$22,706.66",-,"$3,394.093","$-2,281.489","$13,770.11","$8,936.547","$2,133.213","$11,069.76","$5,809.787","$5,259.978",-,"$5,259.978",-,"$5,163.653","$17,031.07","$8,936.547","1,652","1,664",$3.05,$3.03,2023
Eni SpA,E,"$140,852.6","$108,024.6","$32,828.07",-,"$3,176.604","$-3,611.741","$14,379.5","$18,448.54","$4,782.291","$23,230.83","$8,521.517","$14,709.31",-,"$14,709.31",-,"$14,631.34","$26,039.73","$18,448.54","1,742","1,745",$8.34,$8.32,2022
Eni SpA,E,"$92,010.87","$65,720.02","$26,290.84",-,"$3,416.793",$82.817,"$11,690.21","$14,600.64","$-1,959.214","$12,641.42","$5,732.12","$6,909.304",-,"$6,909.304",-,"$6,886.825","$22,956.88","$14,600.64","1,783","1,787",$3.81,$3.79,2021
Eni SpA,E,"$51,342.96","$38,325.31","$13,017.65",-,"$3,270.405","$-5,144.919","$16,758.68","$-3,741.035","$-3,087.637","$-6,828.669","$3,027.095","$-9,855.765",-,"$-9,855.765",-,"$-9,863.761","$4,602.324","$-3,741.035","1,786","1,790",$-5.53,$-5.53,2020
Eni SpA,E,"$79,565.92","$56,978.88","$22,587.04",-,"$3,355.52","$-2,948.96","$15,383.21","$7,203.836",$-768.32,"$6,435.52","$6,261.92",$173.6,-,$173.6,-,$165.76,"$16,282.56","$7,203.836","1,796","1,797",$0.09,$0.09,2019
Eni SpA,E,"$90,863.78","$65,689.58","$25,174.2",-,"$3,652.833","$-1,478.612","$13,384.27","$11,789.93",$146.444,"$11,936.37","$7,050.57","$4,885.797",-,"$4,885.797",-,"$4,872.806","$20,042.76","$11,789.93","1,801","1,802",$2.72,$2.72,2018
Eni SpA,E,"$80,225.3","$59,296.67","$20,928.64",-,"$3,335.515",$-79.121,"$11,872.67","$9,055.969","$-1,320.19","$7,735.773","$3,918.75","$3,817.023",-,"$3,817.023",-,"$3,813.632","$17,514","$9,055.969","1,801","1,801",$2.13,$2.13,2017
Eni SpA,E,"$62,736.47","$48,827.62","$13,908.86",-,"$3,313.16",$156.031,"$11,521.92","$2,386.938","$-1,399.849",$987.087,"$2,142.378","$-1,155.291",-,"$-1,155.29",$-457.026,"$-1,620.062","$10,751.73","$2,386.938","1,801","1,801",$-0.91,$-0.91,2016
Eni SpA,E,"$76,556.53","$59,942.72","$16,613.81",-,"$3,084.691",$-538.544,"$19,701.83","$-3,088.016","$-1,331.369","$-4,419.392","$3,494.429","$-7,913.821",-,"$-7,913.821","$-2,499.51","$-9,752.644","$7,631.786","$-3,088.016","1,801","1,801",$-5.42,$-5.42,2015
Eni SpA,E,"$147,483.2","$114,771.8","$32,711.41",-,"$7,094.474",$192.749,"$22,187.3","$10,524.06",$-764.348,"$9,759.721","$8,629.815","$1,129.905",-,"$1,129.905",-,"$1,716.126","$23,777.18","$10,524.06","1,805","1,805",$0.96,$0.96,2014
Microchip Technology,MCHP,"$7,634.4","$2,638.7","$4,995.7","$1,097.4",$734.2,$12.3,"$2,424.7","$2,571",$-205.1,"$2,365.9",$459,"$1,906.9",-,"$1,906.9",-,"$1,906.9","$3,495.3","$2,571",542,548,$3.52,$3.48,2023
Microchip Technology,MCHP,"$8,438.7","$2,740.8","$5,697.9","$1,118.3",$797.7,$4,"$2,581.9","$3,116",$-206.3,"$2,909.7",$672,"$2,237.7",-,"$2,237.7",-,"$2,237.7","$4,131.1","$3,116",550,557,$4.07,$4.02,2022
Microchip Technology,MCHP,"$6,820.9","$2,371.3","$4,449.6",$989.1,$718.9,$-29.5,"$2,600","$1,849.6",$-367.1,"$1,482.5",$197,"$1,285.5",-,"$1,285.5",-,"$1,285.5","$3,049.5","$1,849.6",552,566,$2.33,$2.27,2021
Microchip Technology,MCHP,"$5,438.4","$2,059.6","$3,378.8",$836.4,$610.3,$-1.7,"$2,380.7",$998.1,$-658.6,$339.5,$-9.9,$349.4,-,$349.4,-,$349.4,"$2,239.6",$998.1,519,541,$0.67,$0.65,2020
Microchip Technology,MCHP,"$5,274.2","$2,032.1","$3,242.1",$877.8,$676.6,$-46.7,"$2,595",$647.1,$-496.7,$150.4,$-420.2,$570.6,-,$570.6,-,$570.6,"$2,001.5",$647.1,478,512,$1.19,$1.11,2019
Microchip Technology,MCHP,"$5,349.5","$2,418.2","$2,931.3",$826.3,$682.9,$-33.7,"$2,217",$714.3,$-509.8,$204.5,$-151.4,$355.9,-,$355.9,-,$355.9,"$1,721.6",$714.3,472,500,$0.76,$0.71,2018
Microchip Technology,MCHP,"$3,980.8","$1,560.1","$2,420.7",$529.3,$452.1,$-17.5,"$1,484.4",$936.3,$-199,$737.3,$481.9,$255.4,-,$255.4,-,$255.4,"$1,665.2",$936.3,466,498,$0.55,$0.52,2017
Microchip Technology,MCHP,"$3,407.8","$1,650.6","$1,757.2",$545.3,$499.8,$-98.6,"$1,481.4",$275.8,$-186,$89.8,$-80.8,$170.6,-,$170.6,$-6,$164.6,$805.6,$275.8,434,470,$0.38,$0.35,2016
Microchip Technology,MCHP,"$2,173.3",$967.8,"$1,205.5",$372.6,$301.7,$-4,$853.2,$352.3,$-71,$281.3,$-42.6,$323.9,-,$323.9,-,$324.1,$696.5,$352.3,407,435,$0.80,$0.74,2015
