Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Stellantis,STLA,"$205,143.5","$163,860.2","$41,283.25","$6,081.444","$10,326.22",-,"$16,407.7","$24,875.59",$-612.582,"$24,263","$4,105.164","$20,157.84",-,"$20,157.84",-,"$20,126.45","$33,045.88","$24,875.59","3,108","3,108",$6.47,$6.43,2023
Stellantis,STLA,"$189,218.1","$152,062.9","$37,155.2","$5,478.72","$9,462.382",-,"$14,941.1","$22,214.11","$-1,938.624","$20,275.48","$2,875.274","$17,400.2",-,"$17,678.35",-,"$17,699.43","$29,375.43","$22,214.11","3,140","3,164",$5.64,$5.59,2022
Stellantis,STLA,"$176,777.6","$141,904.6","$34,873.06","$5,308.57","$10,801.7",-,"$16,110.2","$18,762.8","$-1,735.608","$17,027.18","$2,260.904","$14,766.27",-,"$15,638.22","$1,171.269","$16,800.02","$25,708.78","$18,762.8","3,059","3,151",$5.49,$5.34,2021
Stellantis,STLA,"$99,009.99","$86,771.39","$12,238.6","$3,402.912","$6,283.792",-,"$9,686.7","$2,551.898","$-1,002.939","$1,548.959","$1,521.544",$27.415,-,$27.415,-,$33.127,"$8,426.748","$2,551.898","1,572","1,572",$0.02,$0.02,2020
Stellantis,STLA,"$121,169.4","$104,343.7","$16,825.76","$4,045.44","$7,229.6",-,"$11,275","$5,550.719","$-1,047.2","$4,503.52","$1,479.52","$3,024",-,"$3,024","$4,401.6","$7,416.64","$11,649.12","$5,550.719","1,564","1,571",$4.74,$4.72,2019
Stellantis,STLA,"$130,396.6","$112,208","$18,188.58","$3,603.231","$8,642.558",-,"$12,245.8","$5,942.789","$-1,091.244","$4,851.548",$918.818,"$3,932.73",-,"$3,932.73",$356.662,"$4,261.048","$12,446.56","$5,942.789","1,548","1,568",$2.75,$2.72,2018
Stellantis,STLA,"$125,388.7","$106,219.9","$19,168.76","$3,650.869","$8,347.266",-,"$11,998.2","$7,170.625",$-206.844,"$6,963.778","$2,996.425","$3,967.353",-,"$3,967.353",-,"$3,945.877","$13,828.09","$7,170.625","1,536","1,556",$2.57,$2.53,2017
Stellantis,STLA,"$122,852.5","$105,453.4","$17,399.07","$3,623.008","$8,374.749",-,"$11,997.8","$5,401.313","$-1,964.215","$3,437.1","$1,429.727","$2,007.372",-,"$2,007.372",-,"$1,995.2","$11,992.22","$5,401.313","1,513","1,526",$1.32,$1.31,2016
Stellantis,STLA,"$122,804.7","$108,397.3","$14,407.44","$3,180.186","$8,581.171",-,"$11,761.3","$2,646.078","$-2,358.49",$287.594,$184.326,$103.267,-,$103.267,$315.354,$370.874,"$8,657.783","$2,646.078","1,511","1,511",$0.25,$0.25,2015
Stellantis,STLA,"$127,732.4","$110,526","$17,206.4","$3,372.43","$9,416.76",-,"$12,789.2","$4,417.211","$-2,854","$1,563.25",$723.13,$840.12,-,"$1,078.367",-,$840.11,"$10,926.79","$4,417.211","1,359","1,359",$0.53,$0.53,2014
