Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Occidental Petroleum,OXY,"$28,257","$11,283","$16,974",$441,"$1,083","$-1,350","$10,545","$6,429",-,"$6,429","$1,733","$4,696",-,"$4,696",-,"$3,773","$14,378","$7,513",889,961,$4.22,$3.90,2023
Occidental Petroleum,OXY,"$36,634","$12,063","$24,571",$216,$945,"$-1,807","$10,771","$13,800",$317,"$14,117",$813,"$13,304",-,"$13,304",-,"$12,504","$21,909","$14,983",926,"1,002",$13.41,$12.40,2022
Occidental Petroleum,OXY,"$25,956","$9,659","$16,297",$252,$863,"$-1,704","$12,714","$3,583",$122,"$3,705",$915,"$2,790",-,"$2,790",$-468,"$1,522","$13,810","$5,363",935,959,$1.62,$1.58,2021
Occidental Petroleum,OXY,"$17,809","$8,468","$9,341",$132,$864,"$-14,224","$24,623","$-15,282",$-423,"$-15,705","$-2,172","$-13,533",-,"$-13,533","$-1,298","$-15,675","$-5,643","$-13,740",919,919,$-17.06,$-17.06,2020
Occidental Petroleum,OXY,"$20,911","$8,387","$12,524",$247,$893,"$-4,274","$12,403",$121,$233,$354,$861,$-507,-,$-507,$-15,$-985,"$7,544","$1,404",810,810,$-1.22,$-1.22,2019
Occidental Petroleum,OXY,"$17,824","$6,568","$11,256",$110,$585,$-723,"$5,648","$5,608",-,"$5,608","$1,477","$4,131",-,"$4,131",-,"$4,131","$10,110","$6,133",762,763,$5.40,$5.39,2018
Occidental Petroleum,OXY,"$12,508","$5,594","$6,914",$82,$546,$-710,"$5,586","$1,328",-,"$1,328",$17,"$1,311",-,"$1,311",-,"$1,305","$5,774","$1,772",765,766,$1.71,$1.70,2017
Occidental Petroleum,OXY,"$10,090","$5,189","$4,901",$62,"$1,330",$-900,"$6,746","$-1,845",-,"$-1,845",$-662,"$-1,183",-,"$-1,002",$428,$-574,"$2,821","$-1,447",764,764,$-0.75,$-0.75,2016
Occidental Petroleum,OXY,"$12,480","$5,804","$6,676",$36,"$1,270","$-10,481","$16,360","$-9,684",-,"$-9,684","$-1,330","$-8,354",-,"$-8,146",$317,"$-7,829","$-4,875","$-9,419",766,766,$-10.23,$-10.23,2015
Occidental Petroleum,OXY,"$19,312","$6,803","$12,509",$150,"$1,503","$-5,424","$11,285","$1,224",-,"$1,224","$1,685",$-461,-,$-130,$760,$616,"$5,692","$1,431",781,781,$0.79,$0.79,2014
Palantir Technologies,PLTR,"$2,225.012",$431.105,"$1,793.907",$404.624,"$1,269.317",-,"$1,673.941",$119.966,$117.125,$237.091,$19.716,$217.375,-,$217.375,-,$209.825,$153.32,$119.966,"2,147","2,298",$0.10,$0.09,2023
Palantir Technologies,PLTR,"$1,905.871",$408.549,"$1,497.322",$359.679,"$1,298.844",-,"$1,658.523",$-161.201,$-199.826,$-361.027,$10.067,$-371.094,-,$-371.094,-,$-373.705,$-138.679,$-161.201,"2,064","2,064",$-0.18,$-0.18,2022
Palantir Technologies,PLTR,"$1,541.889",$339.404,"$1,202.485",$387.487,"$1,226.044",-,"$1,613.531",$-411.046,$-77.448,$-488.494,$31.885,$-520.379,-,$-520.379,-,$-520.379,$-396.149,$-411.046,"1,924","1,924",$-0.27,$-0.27,2021
Palantir Technologies,PLTR,"$1,092.673",$352.547,$740.126,$560.66,"$1,353.145",-,"$1,913.805","$-1,173.679",$-5.348,"$-1,179.027",$-12.636,"$-1,166.391",-,"$-1,166.391",-,"$-1,166.391","$-1,159.808","$-1,173.679",978,979,$-1.19,$-1.20,2020
Palantir Technologies,PLTR,$742.555,$242.373,$500.182,$305.563,$771.063,-,"$1,076.626",$-576.444,$9.173,$-567.271,$12.375,$-579.646,-,$-579.646,-,$-588.127,$-564.189,$-576.444,577,577,$-1.02,$-1.02,2019
Palantir Technologies,PLTR,$595.409,$165.401,$430.008,$285.451,$767.997,-,"$1,053.448",$-623.44,$52.515,$-570.925,$9.102,$-580.027,-,$-580.027,-,$-598.125,$-609.53,$-623.44,537,544,$-1.11,$-1.17,2018
Palantir Technologies,PLTR,,,,,,,,,,,,,,,,,,,,,,,2017
Palantir Technologies,PLTR,,,,,,,,,,,,,,,,,,,,,,,2016
Palantir Technologies,PLTR,,,,,,,,,,,,,,,,,,,,,,,2015
Palantir Technologies,PLTR,,,,,,,,,,,,,,,,,,,,,,,2014
