Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Canadian Natural Resources,CNQ,"$26,645.09","$13,172.91","$13,472.19",-,$698.574,-,"$5,449.32","$8,022.863",$-492.632,"$7,530.232","$1,431.226","$6,099.006",-,"$6,099.006",-,"$6,099.006","$12,773.61","$8,022.863","2,183","2,204",$2.79,$2.77,2023
Canadian Natural Resources,CNQ,"$32,535.62","$14,372.5","$18,163.12",-,$937.655,-,"$6,593.58","$11,569.54","$-1,028.42","$10,541.12","$2,128.376","$8,412.74",-,"$8,412.74",-,"$8,412.74","$17,225.46","$11,569.54","2,270","2,298",$3.71,$3.66,2022
Canadian Natural Resources,CNQ,"$23,982.48","$10,975.91","$13,006.57",-,$702.152,-,"$5,269.33","$7,737.236",$170.751,"$7,907.987","$1,792.881","$6,115.105",-,"$6,115.105",-,"$6,115.105","$12,304.42","$7,737.236","2,363","2,373",$2.59,$2.58,2021
Canadian Natural Resources,CNQ,"$12,610.62","$8,045.777","$4,564.847",-,$230.669,-,"$4,744.003",$-179.16,$-472.535,$-651.695,$-326.967,$-324.728,-,$-324.728,-,$-324.728,"$4,334.179",$-179.16,"2,364","2,364",$-0.14,$-0.14,2020
Canadian Natural Resources,CNQ,"$17,235.59","$8,271.514","$8,964.072",-,$427.291,-,"$4,606.756","$4,357.315",$-622.474,"$3,734.842",$-346.656,"$4,081.498",-,"$4,081.498",-,"$4,081.498","$8,536.781","$4,357.315","2,382","2,386",$1.71,$1.71,2019
Canadian Natural Resources,CNQ,"$16,222.33","$8,218.79","$8,003.54",-,$138.099,-,"$4,119.81","$3,883.729","$-1,166.508","$2,717.223",$718.267,"$1,998.956",-,"$1,998.956",-,"$1,998.957","$7,865.441","$3,883.729","2,438","2,448",$0.82,$0.82,2018
Canadian Natural Resources,CNQ,"$12,844.58","$6,566.928","$6,277.653",-,$349.444,-,"$4,349.922","$1,927.729",$288.504,"$2,216.232",$367.186,"$1,849.046",-,"$1,849.046",-,"$1,849.046","$5,928.209","$1,927.729","2,350","2,366",$0.79,$0.78,2017
Canadian Natural Resources,CNQ,"$7,946.97","$4,608.23","$3,338.739",-,$528.64,-,"$4,197.402",$-858.662,$55.885,$-802.778,$-648.717,$-154.061,-,$-154.061,-,$-154.061,"$2,810.1",$-858.662,"2,201","2,201",$-0.07,$-0.07,2016
Canadian Natural Resources,CNQ,"$9,687.646","$5,567.478","$4,120.168",-,$269.558,-,"$4,566.042",$-445.869,$-76.793,$-522.661,$-23.508,$-499.153,-,$-499.153,-,$-499.153,"$3,850.61",$-445.869,"2,188","2,188",$-0.23,$-0.23,2015
Canadian Natural Resources,CNQ,"$17,091.76","$7,699.13","$9,392.63",-,$392.34,-,"$4,814.1","$4,578.53",$99.67,"$4,678.19","$1,118.12","$3,560.07",-,"$2,765.473",-,"$3,560.06","$9,000.29","$4,578.53","2,184","2,194",$1.44,$1.44,2014
