Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Novartis AG,NVS,"$46,660","$12,472","$34,188","$11,371","$12,517",$-531,"$24,419","$9,769",$-646,"$9,123",$551,"$8,572",-,"$8,572","$6,282","$14,850","$18,152","$9,769","2,077","2,092",$7.15,$7.10,2023
Novartis AG,NVS,"$43,461","$11,582","$31,879","$9,172","$12,193","$-2,568","$23,933","$7,946",$-769,"$7,177","$1,128","$6,049",-,"$6,049",$906,"$6,955","$14,911","$7,946","2,181","2,197",$3.19,$3.17,2022
Novartis AG,NVS,"$52,877","$15,867","$37,010","$9,540","$14,886",$-895,"$25,321","$11,689","$14,448","$26,137","$2,119","$24,018",-,"$24,018",-,"$24,021","$11,689","$11,689","2,243","2,260",$10.71,$10.63,2021
Novartis AG,NVS,"$49,898","$15,121","$34,777","$8,980","$14,197","$-1,448","$24,625","$10,152",$-274,"$9,878","$1,807","$8,071",-,"$8,071",-,"$8,072","$16,281","$10,152","2,277","2,296",$3.55,$3.52,2020
Novartis AG,NVS,"$48,677","$14,425","$34,252","$9,402","$14,369","$-1,395","$25,166","$9,086",$-146,"$8,940","$1,793","$7,147",-,"$7,147","$4,590","$11,732","$14,874","$9,086","2,291","2,319",$5.12,$5.06,2019
Novartis AG,NVS,"$46,099","$14,510","$31,589","$8,489","$13,717",$-980,"$23,186","$8,403","$5,692","$14,095","$1,295","$12,800",-,"$12,800",$-186,"$12,611","$13,620","$8,403","2,319","2,344",$5.44,$5.38,2018
Novartis AG,NVS,"$50,135","$17,175","$32,960","$8,972","$14,997",$-362,"$24,331","$8,629",$370,"$8,999","$1,296","$7,703",-,"$7,703",-,"$7,703","$14,705","$8,629","2,346","2,371",$3.28,$3.25,2017
Novartis AG,NVS,"$49,436","$17,520","$31,916","$9,039","$14,192",$-417,"$23,648","$8,268",$-451,"$7,817","$1,119","$6,698",-,"$6,698",-,"$6,712","$14,311","$8,268","2,378","2,400",$2.82,$2.80,2016
Novartis AG,NVS,"$50,387","$17,404","$32,983","$8,935","$14,247",$-824,"$24,006","$8,977",$-843,"$8,134","$1,106","$7,028",-,"$7,028","$10,766","$17,783","$14,448","$8,977","2,403","2,438",$7.40,$7.29,2015
Novartis AG,NVS,"$53,634","$17,345","$36,289","$9,086","$14,993","$-1,121","$25,200","$11,089","$1,183","$12,272","$1,545","$10,727",-,"$10,727",$-447,"$10,210","$11,089","$11,089","2,426","2,426",$4.21,$4.13,2014
Linde,LIN,"$32,854","$17,492","$15,362",$146,"$3,295",$-81,"$7,338","$8,024",$-36,"$7,988","$1,814","$6,174",-,"$6,341",-,"$6,199","$11,840","$8,024",488,492,$12.70,$12.59,2023
Linde,LIN,"$33,364","$19,450","$13,914",$143,"$3,107","$-1,091","$8,545","$5,369",$174,"$5,543","$1,434","$4,109",-,"$4,281",-,"$4,147","$9,573","$5,369",500,504,$8.30,$8.23,2022
Linde,LIN,"$30,793","$17,543","$13,250",$143,"$3,189",$-299,"$8,266","$4,984",$115,"$5,099","$1,262","$3,837",-,"$3,956",$5,"$3,826","$9,619","$4,984",517,522,$7.40,$7.33,2021
Linde,LIN,"$27,243","$15,383","$11,860",$152,"$3,193",$-567,"$8,538","$3,322",$62,"$3,384",$847,"$2,537",-,"$2,622",$4,"$2,501","$7,948","$3,322",527,531,$4.75,$4.71,2020
Linde,LIN,"$28,228","$16,644","$11,584",$184,"$3,457",$-335,"$8,651","$2,933",$-6,"$2,927",$769,"$2,158",-,"$2,272",$109,"$2,285","$7,620","$2,933",541,545,$4.22,$4.19,2019
Linde,LIN,"$14,836","$9,020","$5,816",$113,"$1,629","$3,003",$569,"$5,247",$-198,"$5,049",$817,"$4,232",-,"$4,288",$117,"$4,381","$7,445","$5,247",330,334,$13.26,$13.11,2018
Linde,LIN,"$11,358","$6,382","$4,976",$93,"$1,207",$-48,"$2,532","$2,444",$-157,"$2,287","$1,026","$1,261",-,"$1,308",-,"$1,247","$3,628","$2,444",286,289,$4.36,$4.32,2017
Linde,LIN,"$10,534","$5,855","$4,679",$92,"$1,145",$-73,"$2,432","$2,247",$-199,"$2,048",$551,"$1,497",-,"$1,538",-,"$1,500","$3,369","$2,247",286,288,$5.25,$5.21,2016
Linde,LIN,"$10,776","$5,960","$4,816",$93,"$1,152",$-144,"$2,495","$2,321",$-161,"$2,160",$612,"$1,548",-,"$1,591",-,"$1,547","$3,427","$2,321",287,289,$5.39,$5.35,2015
Linde,LIN,"$12,273","$6,962","$5,311",$96,"$1,308",$-129,"$2,703","$2,608",$-213,"$2,395",$691,"$1,704",-,"$1,746",-,"$1,694","$3,778","$2,608",292,296,$5.79,$5.73,2014
