Stock Name,Ticker,Revenue,Cost Of Goods Sold,Gross Profit,Research And Development Expenses,SG&A Expenses,Other Operating Income Or Expenses,Operating Expenses,Operating Income,Total Non-Operating Income/Expense,Pre-Tax Income,Income Taxes,Income After Taxes,Other Income,Income From Continuous Operations,Income From Discontinued Operations,Net Income,EBITDA,EBIT,Basic Shares Outstanding,Shares Outstanding,Basic EPS,EPS - Earnings Per Share,Year
Eli Lilly,LLY,"$34,124.1","$7,082.2","$27,041.9","$9,313.4","$7,403.1",$-67.7,"$20,584","$6,457.9",$96.7,"$6,554.6","$1,314.2","$5,240.4",-,"$5,240.4",-,"$5,240.4","$7,985.2","$6,457.9",900,903,$5.82,$5.80,2023
Eli Lilly,LLY,"$28,541.4","$6,629.8","$21,911.6","$7,190.8","$6,440.4",$-244.6,"$14,784.3","$7,127.301",$-320.9,"$6,806.4",$561.6,"$6,244.8",-,"$6,244.8",-,"$6,244.8","$8,649.801","$7,127.301",902,905,$6.93,$6.90,2022
Eli Lilly,LLY,"$28,318.4","$7,312.8","$21,005.6","$6,930.7","$6,431.6",$-316.1,"$14,648.5","$6,357.102",$-201.6,"$6,155.5",$573.8,"$5,581.7",-,"$5,581.7",-,"$5,581.7","$7,904.702","$6,357.102",907,912,$6.15,$6.12,2021
Eli Lilly,LLY,"$24,539.8","$5,483.3","$19,056.5","$5,976.3","$6,121.2",$-131.2,"$12,998.5","$6,058.002","$1,171.9","$7,229.9","$1,036.2","$6,193.7",-,"$6,193.7",-,"$6,193.7","$7,381.902","$6,058.002",908,913,$6.82,$6.79,2020
Eli Lilly,LLY,"$22,319.5","$4,721.2","$17,598.3","$5,595","$6,213.8",$-575.6,"$12,624","$4,974.301",$291.6,"$5,265.9",$628,"$4,637.9",-,"$4,637.9","$3,680.5","$8,318.4","$6,206.901","$4,974.301",931,936,$8.93,$8.89,2019
Eli Lilly,LLY,"$21,493.3","$4,681.7","$16,811.6","$5,051.2","$5,975.1",$-266.9,"$13,277.1","$3,534.5",$145.6,"$3,680.1",$529.5,"$3,150.6",-,"$3,150.6",$81.4,"$3,232","$5,143.5","$3,534.5","1,028","1,034",$3.14,$3.13,2018
Eli Lilly,LLY,"$19,973.8","$4,447.7","$15,526.1","$5,096.2","$5,982.4","$-1,331.6","$13,522.8","$2,003.301",$301.5,"$2,304.8","$2,391.2",$-86.4,-,$-86.4,$-117.7,$-204.1,"$3,570.601","$2,003.301","1,052","1,052",$-0.19,$-0.19,2017
Eli Lilly,LLY,"$21,222.1","$5,710.1","$15,512","$5,310.3","$6,528",$-382.5,"$12,250.8","$3,261.199",$112.8,"$3,374",$636.4,"$2,737.6",-,"$2,737.6",-,"$2,737.6","$4,757.799","$3,261.199","1,058","1,062",$2.59,$2.58,2016
Eli Lilly,LLY,"$19,958.7","$5,037.2","$14,921.5","$4,796.4","$6,533",$-367.7,"$12,232.1","$2,689.4",$100.6,"$2,790",$381.6,"$2,408.4",-,"$2,408.4",-,"$2,408.4","$4,117.101","$2,689.4","1,062","1,066",$2.27,$2.26,2015
Eli Lilly,LLY,"$19,615.6","$4,932.5","$14,683.1","$4,733.6","$6,620.8",$-468.7,"$12,023.3","$2,659.801",$340.5,"$3,000.3",$609.8,"$2,390.5",-,"$2,390.5",-,"$2,390.5","$4,038.801","$2,659.801","1,070","1,074",$2.23,$2.23,2014
Broadcom,AVGO,"$35,819","$11,129","$24,690","$5,253","$1,592",-,"$8,483","$16,207","$-1,110","$15,097","$1,015","$14,082",-,"$14,082",-,"$14,082","$20,042","$16,207",415,427,$33.93,$32.98,2023
Broadcom,AVGO,"$33,203","$11,108","$22,095","$4,919","$1,382",-,"$7,870","$14,225","$-1,791","$12,434",$939,"$11,495",-,"$11,495",-,"$11,223","$19,209","$14,225",409,423,$27.44,$26.53,2022
Broadcom,AVGO,"$27,450","$10,606","$16,844","$4,854","$1,347",-,"$8,325","$8,519","$-1,754","$6,765",$29,"$6,736",-,"$6,736",-,"$6,437","$14,560","$8,519",410,429,$15.70,$15.00,2021
Broadcom,AVGO,"$23,888","$10,372","$13,516","$4,968","$1,935",-,"$9,502","$4,014","$-1,571","$2,443",$-518,"$2,961",-,"$2,961",$-1,"$2,663","$10,919","$4,014",402,421,$6.62,$6.33,2020
Broadcom,AVGO,"$22,597","$10,114","$12,483","$4,696","$1,709",-,"$9,039","$3,444","$-1,218","$2,226",$-510,"$2,736",-,"$2,736",$-12,"$2,695","$9,252","$3,444",398,419,$6.77,$6.43,2019
Broadcom,AVGO,"$20,848","$10,115","$10,733","$3,768","$1,056",$-14,"$5,598","$5,135",$-590,"$4,545","$-8,084","$12,629",-,"$12,629",$-19,"$12,259","$9,216","$5,135",418,431,$29.33,$28.44,2018
Broadcom,AVGO,"$17,636","$9,127","$8,509","$3,302",$789,$-122,"$6,138","$2,371",$-546,"$1,825",$35,"$1,790",-,"$1,790",$-6,"$1,692","$7,108","$2,371",405,421,$4.18,$4.02,2017
Broadcom,AVGO,"$13,240","$7,300","$5,940","$2,674",$806,-,"$6,349",$-409,$-698,"$-1,107",$642,"$-1,749",-,"$-1,749",$-112,"$-1,739","$2,669",$-409,366,383,$-4.75,$-4.86,2016
Broadcom,AVGO,"$6,824","$3,271","$3,553","$1,049",$486,-,"$1,921","$1,632",$-165,"$1,467",$76,"$1,391",-,"$1,391",$-27,"$1,364","$2,616","$1,632",264,281,$5.17,$4.85,2015
Broadcom,AVGO,"$4,269","$2,392","$1,877",$695,$407,-,"$1,439",$438,$-96,$342,$33,$309,-,$309,$-46,$263,"$1,077",$438,251,267,$1.05,$0.99,2014
Novo Nordisk,NVO,"$33,724.3","$5,193.078","$28,531.22","$4,710.724","$8,944.029",$17.279,"$13,637.472","$14,893.74",$304.92,"$15,198.67","$3,047.893","$12,150.77",-,"$12,150.77",-,"$12,150.77","$16,260.51","$14,893.74","4,483","4,495",$2.71,$2.70,2023
Novo Nordisk,NVO,"$25,056.69","$4,028.237","$21,028.45","$3,405.055","$7,176.854",$146.414,"$10,435.493","$10,592.95",$-813.775,"$9,779.18","$1,916.839","$7,862.34",-,"$7,862.34",-,"$7,862.34","$11,635.41","$10,592.95","4,531","4,545",$1.74,$1.73,2022
Novo Nordisk,NVO,"$22,401.28","$3,763.988","$18,637.29","$2,827.525","$6,532.328",$52.821,"$9,307.032","$9,330.261",$69.368,"$9,399.628","$1,801.489","$7,598.139",-,"$7,598.139",-,"$7,598.139","$10,288.84","$9,330.261","4,594","4,605",$1.65,$1.65,2021
Novo Nordisk,NVO,"$19,448.13","$3,206.782","$16,241.34","$2,368.778","$5,650.935",$70.472,"$7,949.238","$8,292.103",$-152.587,"$8,139.516","$1,683.974","$6,455.542",-,"$6,455.542",-,"$6,455.542","$9,173.462","$8,292.103","4,668","4,680",$1.38,$1.38,2020
Novo Nordisk,NVO,"$18,290.95","$3,011.191","$15,279.76","$2,131.578","$5,370.917",$89.94,"$7,412.559","$7,867.202",$-589.107,"$7,278.095","$1,439.34","$5,838.755",-,"$5,838.755",-,"$5,838.755","$8,715.786","$7,867.202","4,749","4,757",$1.23,$1.23,2019
